date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2019-10-29,0.12,0.23,0.35,pos_then_up,positive,up
2020-02-04,2.21,0.62,2.85,pos_then_up,positive,up
2020-04-07,2.04,6.49,8.66,pos_then_up,positive,up
2020-07-28,0.44,2.89,3.34,pos_then_up,positive,up
2020-10-08,5.67,-0.67,4.97,pos_then_down,positive,down
2021-02-02,1.57,-3.27,-1.75,pos_then_down,positive,down
2021-04-27,0.24,-2.57,-2.34,pos_then_down,positive,down
2021-08-03,0.29,0.62,0.9,pos_then_up,positive,up
2021-11-02,0.45,4.0,4.46,pos_then_up,positive,up
2022-02-01,0.69,0.34,1.03,pos_then_up,positive,up
2022-05-03,1.45,2.91,4.41,pos_then_up,positive,up
2022-07-26,1.79,2.16,3.99,pos_then_up,positive,up
2022-11-01,0.07,-2.2,-2.13,pos_then_down,positive,down
2023-01-31,-0.13,5.36,5.22,neg_then_up,negative,up
2023-05-02,0.43,-2.72,-2.3,pos_then_down,positive,down
2023-07-25,-0.87,0.23,-0.64,neg_then_up,negative,up
2023-11-07,-2.85,1.58,-1.32,neg_then_up,negative,up
2024-02-06,0.9,-1.61,-0.73,pos_then_down,positive,down
2024-04-30,-1.11,-1.55,-2.64,neg_then_down,negative,down
2024-07-23,-0.58,-2.44,-3.01,neg_then_down,negative,down
2024-11-05,1.55,1.42,3.0,pos_then_up,positive,up
2025-02-04,-0.32,5.69,5.36,neg_then_up,negative,up
2025-04-28,-7.5,0.61,-6.94,neg_then_up,negative,up
2025-07-22,-1.01,-0.43,-1.44,neg_then_down,negative,down
2025-10-28,-0.32,-3.57,-3.87,neg_then_down,negative,down
