date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-08-06,-2.07,2.0,-0.11,neg_then_up,negative,up
2004-10-21,-2.83,-1.77,-4.55,neg_then_down,negative,down
2005-01-27,1.44,2.34,3.81,pos_then_up,positive,up
2005-04-22,1.81,2.8,4.66,pos_then_up,positive,up
2005-07-22,0.53,-0.06,0.46,pos_then_down,positive,down
2005-10-21,0.78,1.83,2.63,pos_then_up,positive,up
2006-01-27,0.29,2.33,2.63,pos_then_up,positive,up
2006-04-27,0.35,2.29,2.65,pos_then_up,positive,up
2006-07-27,0.52,5.1,5.65,pos_then_up,positive,up
2006-10-26,-1.32,3.01,1.64,neg_then_up,negative,up
2007-02-01,-0.34,-1.37,-1.71,neg_then_down,negative,down
2007-04-26,-0.96,-1.04,-1.99,neg_then_down,negative,down
2007-07-26,1.64,-0.21,1.43,pos_then_down,positive,down
2007-10-25,0.09,3.29,3.39,pos_then_up,positive,up
2008-01-31,2.33,-1.51,0.79,pos_then_down,positive,down
2008-04-23,-1.63,4.03,2.33,neg_then_up,negative,up
2008-07-16,-0.23,3.75,3.51,neg_then_up,negative,up
2008-10-23,-4.66,0.26,-4.41,neg_then_up,negative,up
2009-01-29,1.47,-6.9,-5.54,pos_then_down,positive,down
2009-04-23,1.93,1.22,3.18,pos_then_up,positive,up
2009-07-22,-2.91,3.24,0.24,neg_then_up,negative,up
2009-10-22,-0.67,-2.95,-3.6,neg_then_down,negative,down
2010-01-28,0.11,-0.54,-0.43,pos_then_down,positive,down
2010-04-28,0.87,2.92,3.81,pos_then_up,positive,up
2010-07-28,-0.05,-1.74,-1.79,neg_then_down,negative,down
2010-10-27,0.89,-0.78,0.11,pos_then_down,positive,down
2011-02-02,-1.85,-0.4,-2.24,neg_then_down,negative,down
2011-04-27,0.85,0.16,1.01,pos_then_up,positive,up
2011-07-28,-1.28,2.6,1.28,neg_then_up,negative,up
2011-10-27,-0.16,-1.72,-1.87,neg_then_down,negative,down
2012-02-02,0.39,2.03,2.43,pos_then_up,positive,up
2012-04-26,-1.67,0.74,-0.94,neg_then_up,negative,up
2012-08-02,1.67,-1.6,0.05,pos_then_down,positive,down
2012-10-25,0.31,0.88,1.2,pos_then_up,positive,up
2013-02-07,0.34,0.68,1.03,pos_then_up,positive,up
2013-04-25,0.13,0.03,0.16,pos_then_up,positive,up
2013-07-25,-0.02,2.61,2.59,neg_then_up,negative,up
2013-10-24,0.36,-0.99,-0.63,pos_then_down,positive,down
2014-02-06,0.29,-0.13,0.15,pos_then_down,positive,down
2014-04-24,0.55,0.51,1.06,pos_then_up,positive,up
2014-10-30,2.11,-1.38,0.7,pos_then_down,positive,down
2015-02-05,-1.62,2.36,0.71,neg_then_up,negative,up
2015-04-30,-0.49,1.74,1.24,neg_then_up,negative,up
2015-07-30,0.69,-0.11,0.58,pos_then_down,positive,down
2015-10-29,-0.29,-1.45,-1.73,neg_then_down,negative,down
2016-02-04,-0.05,-0.8,-0.85,neg_then_down,negative,down
2016-04-28,-0.59,-0.26,-0.84,neg_then_down,negative,down
2016-07-28,0.1,-0.09,0.01,pos_then_down,positive,down
2016-10-27,-1.21,-0.69,-1.89,neg_then_down,negative,down
2017-02-02,0.98,1.94,2.95,pos_then_up,positive,up
2017-04-27,-0.17,-1.72,-1.88,neg_then_down,negative,down
2017-07-27,0.02,1.69,1.71,pos_then_up,positive,up
2017-10-26,0.65,4.96,5.64,pos_then_up,positive,up
2018-02-08,1.95,-3.08,-1.19,pos_then_down,positive,down
2018-04-26,0.15,0.65,0.8,pos_then_up,positive,up
2018-07-26,0.76,-0.98,-0.22,pos_then_down,positive,down
2018-10-25,-1.96,1.73,-0.26,neg_then_up,negative,up
2019-02-07,0.1,-0.96,-0.87,pos_then_down,positive,down
2019-04-25,-0.3,1.36,1.06,neg_then_up,negative,up
2019-07-25,1.5,-0.37,1.12,pos_then_down,positive,down
2019-10-24,-1.94,3.51,1.5,neg_then_up,negative,up
2020-02-06,0.88,0.38,1.26,pos_then_up,positive,up
2020-04-23,1.13,-0.85,0.27,pos_then_down,positive,down
2020-07-30,2.33,-0.86,1.45,pos_then_down,positive,down
2020-10-27,-1.42,-0.13,-1.55,neg_then_down,negative,down
2021-02-04,1.47,1.01,2.49,pos_then_up,positive,up
2021-04-22,0.78,2.0,2.8,pos_then_up,positive,up
2021-07-28,0.71,2.73,3.46,pos_then_up,positive,up
2021-10-27,0.82,2.6,3.44,pos_then_up,positive,up
2022-02-02,-0.37,1.43,1.06,neg_then_up,negative,up
2022-04-27,2.63,4.7,7.45,pos_then_up,positive,up
2022-07-27,1.22,5.91,7.2,pos_then_up,positive,up
2022-10-26,-0.78,-2.92,-3.68,neg_then_down,negative,down
2023-02-01,1.53,-0.49,1.03,pos_then_down,positive,down
2023-04-26,-0.11,2.63,2.52,neg_then_up,negative,up
2023-07-26,0.88,-2.9,-2.05,pos_then_down,positive,down
2023-10-25,-0.47,0.14,-0.33,neg_then_up,negative,up
2024-01-31,-1.39,1.72,0.3,neg_then_up,negative,up
2024-04-24,0.87,-0.05,0.82,pos_then_down,positive,down
2024-07-24,0.02,5.68,5.69,pos_then_up,positive,up
2024-10-23,0.81,0.85,1.66,pos_then_up,positive,up
2025-02-05,0.37,0.78,1.15,pos_then_up,positive,up
2025-04-23,-1.02,4.77,3.7,neg_then_up,negative,up
2025-07-30,1.59,0.31,1.9,pos_then_up,positive,up
2025-10-29,0.14,0.68,0.82,pos_then_up,positive,up
