date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2014-11-04,2.07,0.0,-2.03,pos_then_down,positive,down
2015-02-23,-2.57,-4.89,-2.38,neg_then_down,negative,down
2015-05-05,-2.21,-6.49,-4.37,neg_then_down,negative,down
2015-08-04,7.93,-2.44,-9.61,pos_then_down,positive,down
2015-11-03,1.73,-1.5,-3.17,pos_then_down,positive,down
2016-02-22,-0.37,-0.42,-0.05,neg_then_down,negative,down
2016-05-03,1.87,6.65,4.69,pos_then_up,positive,up
2016-08-02,1.27,4.35,3.03,pos_then_up,positive,up
2016-11-01,-1.96,-4.06,-2.14,neg_then_down,negative,down
2017-02-01,0.35,2.89,2.53,pos_then_up,positive,up
2017-05-02,0.57,-0.31,-0.87,pos_then_down,positive,down
2017-08-01,-1.53,-2.41,-0.9,neg_then_down,negative,down
2017-10-31,0.88,0.48,-0.4,pos_then_down,positive,down
2018-02-26,0.57,-0.82,-1.38,pos_then_down,positive,down
2018-05-01,0.13,3.44,3.3,pos_then_up,positive,up
2018-07-31,0.85,-3.29,-4.11,pos_then_down,positive,down
2018-10-30,2.28,3.68,1.38,pos_then_up,positive,up
2019-02-25,-2.2,-4.97,-2.83,neg_then_down,negative,down
2019-04-30,0.06,-0.52,-0.57,pos_then_down,positive,down
2019-07-30,0.48,4.27,3.78,pos_then_up,positive,up
2019-10-30,-0.43,-0.23,0.2,neg_then_up,negative,up
2020-02-24,1.24,-1.94,-3.14,pos_then_down,positive,down
2020-04-28,2.98,1.28,-1.65,pos_then_down,positive,down
2020-07-28,-2.03,5.92,8.11,neg_then_up,negative,up
2020-10-27,3.48,-0.78,-4.12,pos_then_down,positive,down
2021-02-22,-1.3,-1.04,0.26,neg_then_up,negative,up
2021-04-27,0.61,2.46,1.84,pos_then_up,positive,up
2021-08-03,-1.52,0.56,2.11,neg_then_up,negative,up
2021-11-02,-0.27,-0.23,0.03,neg_then_up,negative,up
2022-02-28,0.66,-2.27,-2.91,pos_then_down,positive,down
2022-05-03,1.31,3.42,2.09,pos_then_up,positive,up
2022-08-08,0.61,3.66,3.04,pos_then_up,positive,up
2022-11-01,0.32,-1.67,-1.98,pos_then_down,positive,down
2023-02-27,0.28,-3.66,-3.93,pos_then_down,positive,down
2023-05-02,-1.02,0.13,1.16,neg_then_up,negative,up
2023-08-07,-0.94,-1.61,-0.68,neg_then_down,negative,down
2023-10-31,0.57,-1.01,-1.57,pos_then_down,positive,down
2024-02-26,1.33,2.0,0.66,pos_then_up,positive,up
2024-04-30,-1.93,-2.78,-0.86,neg_then_down,negative,down
2024-08-05,0.94,4.71,3.73,pos_then_up,positive,up
2024-10-29,0.05,0.64,0.59,pos_then_up,positive,up
2025-02-24,0.04,-2.4,-2.43,pos_then_down,positive,down
2025-04-29,-4.11,-6.49,-2.48,neg_then_down,negative,down
2025-08-04,-1.04,-5.17,-4.18,neg_then_down,negative,down
2025-10-28,1.23,-2.75,-3.93,pos_then_down,positive,down
