date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-04-26,-0.29,-0.73,-0.44,neg_then_down,negative,down
2005-07-26,-0.53,-0.4,0.13,neg_then_up,negative,up
2005-10-25,0.07,-1.11,-1.18,pos_then_down,positive,down
2006-02-14,2.38,0.35,-1.98,pos_then_down,positive,down
2006-04-25,-0.52,2.25,2.78,neg_then_up,negative,up
2006-07-25,0.03,2.56,2.52,pos_then_up,positive,up
2006-10-24,-1.31,-0.19,1.13,neg_then_up,negative,up
2007-02-13,-0.06,-0.41,-0.35,neg_then_down,negative,down
2007-07-24,1.09,2.58,1.48,pos_then_up,positive,up
2007-10-23,-1.0,-0.37,0.63,neg_then_up,negative,up
2008-02-12,-0.72,0.45,1.18,neg_then_up,negative,up
2008-04-22,0.02,-0.62,-0.65,pos_then_down,positive,down
2008-07-22,0.75,1.99,1.23,pos_then_up,positive,up
2008-10-21,-2.33,-9.33,-7.16,neg_then_down,negative,down
2009-02-10,0.44,2.07,1.63,pos_then_up,positive,up
2009-04-27,-0.95,0.0,0.96,neg_then_up,negative,up
2009-07-23,-0.64,-1.24,-0.61,neg_then_down,negative,down
2009-10-21,0.97,0.63,-0.33,pos_then_down,positive,down
2010-02-10,-0.03,-0.53,-0.5,neg_then_down,negative,down
2010-04-20,-0.34,-1.63,-1.29,neg_then_down,negative,down
2010-07-20,0.68,-1.54,-2.2,pos_then_down,positive,down
2010-10-19,0.29,2.81,2.51,pos_then_up,positive,up
2011-02-15,0.78,2.58,1.79,pos_then_up,positive,up
2011-07-19,0.45,-0.7,-1.15,pos_then_down,positive,down
2011-10-18,-0.24,-0.05,0.19,neg_then_up,negative,up
2012-02-14,0.44,-1.21,-1.64,pos_then_down,positive,down
2012-04-17,-0.12,0.74,0.86,neg_then_up,negative,up
2012-07-17,-0.18,1.09,1.27,neg_then_up,negative,up
2012-10-16,-0.41,-1.7,-1.29,neg_then_down,negative,down
2013-02-12,0.32,1.21,0.89,pos_then_up,positive,up
2013-04-18,0.71,0.03,-0.67,pos_then_down,positive,down
2013-07-18,0.35,-0.65,-1.0,pos_then_down,positive,down
2013-10-15,-2.25,-0.54,1.75,neg_then_up,negative,up
2014-02-11,-0.26,-0.18,0.08,neg_then_up,negative,up
2014-04-22,-2.22,-1.56,0.67,neg_then_up,negative,up
2014-07-22,-0.07,-0.26,-0.19,neg_then_down,negative,down
2014-10-21,-1.1,-2.96,-1.88,neg_then_down,negative,down
2015-02-10,-0.44,0.59,1.03,neg_then_up,negative,up
2015-07-21,-0.12,0.74,0.86,neg_then_up,negative,up
2015-10-20,0.69,0.62,-0.07,pos_then_down,positive,down
2016-02-09,1.08,2.58,1.49,pos_then_up,positive,up
2016-04-19,-0.44,-1.57,-1.14,neg_then_down,negative,down
2016-07-14,0.59,-0.41,-0.99,pos_then_down,positive,down
2016-10-18,-0.31,-0.66,-0.35,neg_then_down,negative,down
2017-02-07,-0.01,0.84,0.85,neg_then_up,negative,up
2017-04-18,-0.2,0.06,0.26,neg_then_up,negative,up
2017-07-20,-0.75,0.04,0.79,neg_then_up,negative,up
2017-10-17,0.29,-0.19,-0.47,pos_then_down,positive,down
2018-02-15,0.78,1.86,1.08,pos_then_up,positive,up
2018-04-17,-0.04,-0.2,-0.16,neg_then_down,negative,down
2018-07-17,0.01,-0.13,-0.14,pos_then_down,positive,down
2018-10-16,0.86,1.79,0.92,pos_then_up,positive,up
2019-02-12,0.45,-0.81,-1.25,pos_then_down,positive,down
2019-04-16,1.0,3.14,2.12,pos_then_up,positive,up
2019-07-17,-0.72,-0.27,0.46,neg_then_up,negative,up
2019-10-15,-0.36,-0.24,0.12,neg_then_up,negative,up
2020-02-11,0.93,2.03,1.09,pos_then_up,positive,up
2020-04-28,2.35,8.6,6.1,pos_then_up,positive,up
2020-10-27,-1.47,-5.59,-4.18,neg_then_down,negative,down
2021-02-18,0.42,1.33,0.91,pos_then_up,positive,up
2021-04-20,-0.62,2.19,2.83,neg_then_up,negative,up
2021-07-20,0.33,0.86,0.53,pos_then_up,positive,up
2021-10-19,-3.88,-2.28,1.67,neg_then_up,negative,up
2022-02-08,13.15,14.19,0.92,pos_then_up,positive,up
2022-04-19,6.41,4.45,-1.84,pos_then_down,positive,down
2022-07-19,1.94,3.93,1.95,pos_then_up,positive,up
2022-10-18,2.48,-1.26,-3.65,pos_then_down,positive,down
2023-02-07,2.39,2.16,-0.23,pos_then_down,positive,down
2023-04-18,-0.2,-4.14,-3.95,neg_then_down,negative,down
2023-07-18,-9.4,-10.36,-1.06,neg_then_down,negative,down
2023-10-17,-1.75,-1.58,0.17,neg_then_up,negative,up
2024-02-06,1.01,-3.01,-3.98,pos_then_down,positive,down
2024-04-16,2.63,1.64,-0.96,pos_then_down,positive,down
2024-07-16,-5.03,-4.02,1.07,neg_then_up,negative,up
2024-10-15,-1.0,1.41,2.44,neg_then_up,negative,up
2025-02-04,0.26,-2.27,-2.52,pos_then_down,positive,down
2025-04-15,-2.17,-7.28,-5.22,neg_then_down,negative,down
2025-07-15,1.67,4.62,2.9,pos_then_up,positive,up
2025-10-21,-0.28,3.2,3.49,neg_then_up,negative,up
