date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2012-09-10,-6.97,-0.22,-7.18,neg_then_down,negative,down
2012-12-06,-2.53,2.62,0.02,neg_then_up,negative,up
2013-05-30,-12.48,1.93,-10.79,neg_then_up,negative,up
2013-09-09,6.08,-3.52,2.35,pos_then_down,positive,down
2013-11-25,8.96,-1.47,7.35,pos_then_down,positive,down
2014-02-24,-0.13,-2.26,-2.38,neg_then_down,negative,down
2014-05-28,11.55,-5.64,5.27,pos_then_down,positive,down
2014-09-09,4.45,5.9,10.61,pos_then_up,positive,up
2014-11-24,1.4,4.66,6.12,pos_then_up,positive,up
2015-03-02,-2.61,4.73,2.0,neg_then_up,negative,up
2015-05-27,2.61,0.93,3.56,pos_then_up,positive,up
2015-09-09,5.82,1.5,7.4,pos_then_up,positive,up
2015-11-23,4.35,1.87,6.3,pos_then_up,positive,up
2016-02-25,6.81,-1.51,5.2,pos_then_down,positive,down
2016-05-26,-9.74,-2.91,-12.36,neg_then_down,negative,down
2016-08-30,-5.95,-1.3,-7.17,neg_then_down,negative,down
2016-11-21,-10.85,-2.68,-13.24,neg_then_down,negative,down
2017-05-31,12.26,4.4,17.2,pos_then_up,positive,up
2017-08-31,9.13,1.28,10.54,pos_then_up,positive,up
2017-11-20,6.86,-1.91,4.82,pos_then_down,positive,down
2018-02-26,5.6,-3.11,2.32,pos_then_down,positive,down
2018-06-04,-0.14,-1.9,-2.03,neg_then_down,negative,down
2018-09-06,5.21,-1.83,3.29,pos_then_down,positive,down
2018-11-29,4.77,-6.23,-1.76,pos_then_down,positive,down
2019-02-26,9.55,-1.22,8.21,pos_then_down,positive,down
2019-05-29,-5.68,0.59,-5.12,neg_then_up,negative,up
2019-09-04,8.74,-2.74,5.77,pos_then_down,positive,down
2019-11-25,-8.9,-3.35,-11.95,neg_then_down,negative,down
2020-02-24,-14.89,-2.5,-17.01,neg_then_down,negative,down
2020-05-21,4.58,-0.86,3.67,pos_then_down,positive,down
2020-08-24,-2.65,0.39,-2.28,neg_then_up,negative,up
2021-02-22,-1.65,-0.04,-1.69,neg_then_down,negative,down
2021-05-20,5.63,0.15,5.8,pos_then_up,positive,up
2021-08-23,13.71,4.3,18.6,pos_then_up,positive,up
2021-11-18,3.31,-1.28,1.99,pos_then_down,positive,down
2022-02-22,6.45,-5.65,0.44,pos_then_down,positive,down
2022-05-19,11.84,-1.92,9.7,pos_then_down,positive,down
2022-08-22,10.13,1.79,12.1,pos_then_up,positive,up
2022-11-17,9.4,-2.22,6.97,pos_then_down,positive,down
2023-02-21,9.28,2.94,12.5,pos_then_up,positive,up
2023-05-23,3.42,4.12,7.68,pos_then_up,positive,up
2023-08-18,12.79,1.82,14.84,pos_then_up,positive,up
2023-11-15,-6.32,0.96,-5.42,neg_then_up,negative,up
2024-02-20,-24.83,-4.81,-28.44,neg_then_down,negative,down
2024-05-20,-6.98,3.49,-3.74,neg_then_up,negative,up
2024-08-19,1.55,5.54,7.18,pos_then_up,positive,up
2024-11-20,-1.7,2.98,1.22,neg_then_up,negative,up
2025-02-13,-4.89,4.18,-0.92,neg_then_up,negative,up
2025-05-20,-5.0,-1.89,-6.8,neg_then_down,negative,down
2025-08-18,6.61,-3.33,3.06,pos_then_down,positive,down
2025-11-19,-0.89,-6.59,-7.42,neg_then_down,negative,down
