date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-21,0.22,-1.55,-1.33,pos_then_down,positive,down
2004-02-02,0.96,0.27,1.23,pos_then_up,positive,up
2004-04-27,0.82,-4.05,-3.27,pos_then_down,positive,down
2004-07-23,-0.44,4.78,4.32,neg_then_up,negative,up
2004-10-21,0.05,-1.79,-1.74,pos_then_down,positive,down
2005-02-01,-1.1,0.76,-0.35,neg_then_up,negative,up
2005-04-26,-0.27,0.4,0.13,neg_then_up,negative,up
2005-07-26,0.71,-0.1,0.61,pos_then_down,positive,down
2006-01-31,0.42,1.49,1.91,pos_then_up,positive,up
2006-04-25,0.5,2.72,3.23,pos_then_up,positive,up
2006-07-25,0.34,0.41,0.75,pos_then_up,positive,up
2006-10-24,0.18,-0.59,-0.41,pos_then_down,positive,down
2007-01-30,-0.11,1.58,1.47,neg_then_up,negative,up
2007-04-24,0.01,-1.61,-1.59,pos_then_down,positive,down
2007-07-24,-1.7,-3.59,-5.23,neg_then_down,negative,down
2007-10-24,0.27,-2.77,-2.51,pos_then_down,positive,down
2008-01-29,-1.14,1.08,-0.07,neg_then_up,negative,up
2008-04-22,-0.04,1.18,1.13,neg_then_up,negative,up
2008-07-22,0.56,-1.78,-1.23,pos_then_down,positive,down
2008-10-21,-3.06,-6.12,-8.99,neg_then_down,negative,down
2009-01-30,-3.22,4.39,1.02,neg_then_up,negative,up
2009-04-28,1.61,4.86,6.54,pos_then_up,positive,up
2009-07-28,-0.55,0.89,0.34,neg_then_up,negative,up
2009-10-27,-0.05,-1.68,-1.73,neg_then_down,negative,down
2010-01-29,0.36,-0.14,0.22,pos_then_down,positive,down
2010-04-20,-0.44,1.42,0.97,neg_then_up,negative,up
2010-07-27,0.83,-0.96,-0.13,pos_then_down,positive,down
2010-10-26,-0.51,0.69,0.18,neg_then_up,negative,up
2011-02-01,0.04,-2.52,-2.48,pos_then_down,positive,down
2011-04-19,1.65,1.11,2.78,pos_then_up,positive,up
2011-07-26,0.2,-2.79,-2.6,pos_then_down,positive,down
2011-10-25,1.88,-1.77,0.07,pos_then_down,positive,down
2012-01-31,2.22,-2.39,-0.23,pos_then_down,positive,down
2012-04-24,1.3,-0.47,0.83,pos_then_down,positive,down
2012-07-24,0.47,-1.26,-0.79,pos_then_down,positive,down
2012-10-25,0.51,0.79,1.31,pos_then_up,positive,up
2013-01-31,0.98,0.06,1.04,pos_then_up,positive,up
2013-04-23,-0.18,0.66,0.47,neg_then_up,negative,up
2013-07-23,-2.66,0.84,-1.83,neg_then_up,negative,up
2013-10-29,-0.44,-1.44,-1.87,neg_then_down,negative,down
2014-01-31,-0.59,-3.0,-3.57,neg_then_down,negative,down
2014-04-29,-0.25,1.01,0.76,neg_then_up,negative,up
2014-10-28,0.03,0.6,0.64,pos_then_up,positive,up
2015-01-30,0.5,1.66,2.16,pos_then_up,positive,up
2015-04-21,0.81,0.22,1.03,pos_then_up,positive,up
2015-07-28,0.09,1.23,1.33,pos_then_up,positive,up
2015-10-27,0.68,4.23,4.94,pos_then_up,positive,up
2016-01-29,-1.24,0.17,-1.08,neg_then_up,negative,up
2016-04-26,1.7,0.5,2.21,pos_then_up,positive,up
2016-07-26,0.6,0.63,1.23,pos_then_up,positive,up
2016-10-25,-0.44,1.28,0.84,neg_then_up,negative,up
2017-01-31,0.49,1.46,1.96,pos_then_up,positive,up
2017-04-25,-0.08,-0.56,-0.64,neg_then_down,negative,down
2017-07-25,0.12,-0.23,-0.12,pos_then_down,positive,down
2017-10-24,-0.68,0.47,-0.21,neg_then_up,negative,up
2018-01-30,0.65,-2.19,-1.56,pos_then_down,positive,down
2018-04-24,-0.59,0.56,-0.03,neg_then_up,negative,up
2018-07-24,-1.9,3.42,1.45,neg_then_up,negative,up
2018-10-23,0.23,-4.48,-4.27,pos_then_down,positive,down
2019-01-29,0.25,-0.38,-0.14,pos_then_down,positive,down
2019-04-30,0.18,-1.32,-1.14,pos_then_down,positive,down
2019-07-23,0.19,4.01,4.2,pos_then_up,positive,up
2019-10-22,-1.32,-0.33,-1.65,neg_then_down,negative,down
2020-01-28,0.6,-1.45,-0.86,pos_then_down,positive,down
2020-04-21,1.75,-1.09,0.64,pos_then_down,positive,down
2020-07-21,0.2,1.69,1.9,pos_then_up,positive,up
2020-10-20,-0.28,0.91,0.63,neg_then_up,negative,up
2021-01-26,-1.19,-0.26,-1.44,neg_then_down,negative,down
2021-04-27,1.39,-2.02,-0.66,pos_then_down,positive,down
2021-07-27,-0.58,-1.63,-2.2,neg_then_down,negative,down
2021-10-26,-0.03,-1.24,-1.28,neg_then_down,negative,down
2022-01-25,1.27,-1.32,-0.07,pos_then_down,positive,down
2022-04-26,0.75,-0.13,0.62,pos_then_down,positive,down
2022-07-26,0.43,1.98,2.41,pos_then_up,positive,up
2022-10-25,1.85,-0.68,1.16,pos_then_down,positive,down
2023-01-24,-0.25,0.01,-0.24,neg_then_up,negative,up
2023-04-25,-0.43,-1.85,-2.27,neg_then_down,negative,down
2023-07-25,0.39,-2.35,-1.97,pos_then_down,positive,down
2023-10-24,1.12,-1.46,-0.35,pos_then_down,positive,down
2024-01-23,0.81,-0.98,-0.18,pos_then_down,positive,down
2024-07-23,-1.02,2.9,1.85,neg_then_up,negative,up
2024-10-22,-0.75,-0.19,-0.94,neg_then_down,negative,down
2025-01-28,2.55,0.82,3.39,pos_then_up,positive,up
2025-04-29,-2.54,2.51,-0.09,neg_then_up,negative,up
2025-07-22,0.81,1.74,2.57,pos_then_up,positive,up
2025-10-21,0.14,-0.19,-0.05,pos_then_down,positive,down
