date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2014-10-28,1.26,0.81,2.08,pos_then_up,positive,up
2015-02-10,-0.51,-2.34,-2.83,neg_then_down,negative,down
2015-04-29,-0.28,-1.58,-1.85,neg_then_down,negative,down
2015-07-29,-0.53,0.23,-0.31,neg_then_up,negative,up
2015-10-28,-0.38,-0.76,-1.13,neg_then_down,negative,down
2016-02-18,0.14,-0.34,-0.2,pos_then_down,positive,down
2016-05-04,0.03,-0.02,0.02,pos_then_down,positive,down
2016-07-28,-0.03,0.33,0.3,neg_then_up,negative,up
2016-11-04,0.89,1.21,2.11,pos_then_up,positive,up
2017-02-16,0.36,0.47,0.84,pos_then_up,positive,up
2017-05-02,-0.09,0.06,-0.03,neg_then_up,negative,up
2017-07-27,-0.1,-0.04,-0.15,neg_then_down,negative,down
2017-11-02,0.05,0.21,0.26,pos_then_up,positive,up
2018-02-09,0.16,1.84,2.0,pos_then_up,positive,up
2018-05-03,0.52,0.63,1.15,pos_then_up,positive,up
2018-07-26,-0.56,-2.18,-2.73,neg_then_down,negative,down
2018-11-05,0.39,-0.65,-0.27,pos_then_down,positive,down
2019-02-28,0.41,4.74,5.17,pos_then_up,positive,up
2019-05-02,-1.1,3.67,2.53,neg_then_up,negative,up
2019-08-09,-0.66,-6.94,-7.56,neg_then_down,negative,down
2019-11-07,4.32,3.18,7.64,pos_then_up,positive,up
2020-02-18,2.49,6.19,8.83,pos_then_up,positive,up
2020-05-01,4.64,3.68,8.48,pos_then_up,positive,up
2020-07-30,-1.51,2.3,0.75,neg_then_up,negative,up
2020-10-29,-0.31,-1.54,-1.85,neg_then_down,negative,down
2021-02-25,-0.09,-3.31,-3.4,neg_then_down,negative,down
2021-04-29,-0.65,5.6,4.91,neg_then_up,negative,up
2021-07-29,-0.77,-2.44,-3.19,neg_then_down,negative,down
2021-11-01,0.61,-1.22,-0.61,pos_then_down,positive,down
2022-02-10,0.35,-1.49,-1.14,pos_then_down,positive,down
2022-04-28,-0.23,-1.94,-2.17,neg_then_down,negative,down
2022-07-28,0.19,0.56,0.74,pos_then_up,positive,up
2022-10-27,-0.78,-0.07,-0.85,neg_then_down,negative,down
2023-02-23,0.46,2.8,3.27,pos_then_up,positive,up
2023-05-04,-0.23,0.41,0.17,neg_then_up,negative,up
2023-07-27,0.28,0.11,0.4,pos_then_up,positive,up
2023-10-26,-0.38,-0.06,-0.44,neg_then_down,negative,down
2024-02-22,0.54,1.73,2.28,pos_then_up,positive,up
2024-04-25,0.12,-0.35,-0.23,pos_then_down,positive,down
2024-07-25,0.61,-0.55,0.06,pos_then_down,positive,down
2024-11-07,-0.1,1.28,1.18,neg_then_up,negative,up
2025-02-13,-1.07,-2.49,-3.53,neg_then_down,negative,down
2025-04-24,-0.12,-1.32,-1.44,neg_then_down,negative,down
2025-07-31,-0.14,0.86,0.71,neg_then_up,negative,up
2025-10-23,0.49,0.12,0.61,pos_then_up,positive,up
