date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-05-04,-0.17,-1.55,-1.38,neg_then_down,negative,down
2005-08-02,-0.31,0.98,1.3,neg_then_up,negative,up
2005-10-28,0.57,-0.41,-0.98,pos_then_down,positive,down
2006-05-02,-0.33,0.17,0.51,neg_then_up,negative,up
2006-08-01,0.2,0.17,-0.03,pos_then_down,positive,down
2006-11-01,-0.15,-0.02,0.13,neg_then_up,negative,up
2007-01-31,-0.04,0.27,0.31,neg_then_up,negative,up
2007-05-04,0.17,1.65,1.48,pos_then_up,positive,up
2007-08-01,2.42,4.97,2.49,pos_then_up,positive,up
2007-11-01,0.13,0.35,0.22,pos_then_up,positive,up
2008-05-06,-0.3,-1.64,-1.34,neg_then_down,negative,down
2008-08-04,0.23,1.26,1.03,pos_then_up,positive,up
2008-10-31,-0.53,4.41,4.96,neg_then_up,negative,up
2009-02-03,-3.16,-0.42,2.84,neg_then_up,negative,up
2009-05-04,-0.19,-0.61,-0.41,neg_then_down,negative,down
2009-07-31,3.91,1.82,-2.02,pos_then_down,positive,down
2009-10-28,0.65,3.64,2.97,pos_then_up,positive,up
2010-02-18,-0.49,1.07,1.56,neg_then_up,negative,up
2010-05-05,-0.16,-2.79,-2.64,neg_then_down,negative,down
2010-07-30,0.76,1.25,0.48,pos_then_up,positive,up
2010-10-27,0.43,-0.55,-0.98,pos_then_down,positive,down
2011-02-22,0.16,0.22,0.06,pos_then_up,positive,up
2011-05-05,0.28,0.78,0.5,pos_then_up,positive,up
2011-08-03,-0.82,-4.6,-3.81,neg_then_down,negative,down
2011-11-01,1.35,3.13,1.76,pos_then_up,positive,up
2012-05-02,-0.1,0.35,0.45,neg_then_up,negative,up
2012-07-31,-0.18,-1.93,-1.75,neg_then_down,negative,down
2012-11-01,0.03,-0.19,-0.22,pos_then_down,positive,down
2013-02-21,0.25,1.32,1.07,pos_then_up,positive,up
2013-04-30,0.16,-0.05,-0.22,pos_then_down,positive,down
2013-07-30,-0.12,-1.31,-1.2,neg_then_down,negative,down
2013-10-30,0.18,0.96,0.78,pos_then_up,positive,up
2014-02-20,-0.57,0.14,0.72,neg_then_up,negative,up
2014-05-01,-1.41,-3.88,-2.51,neg_then_down,negative,down
2014-07-30,-0.66,-2.55,-1.9,neg_then_down,negative,down
2014-10-30,0.91,1.42,0.51,pos_then_up,positive,up
2015-02-20,0.02,2.33,2.31,pos_then_up,positive,up
2015-05-01,0.14,1.74,1.59,pos_then_up,positive,up
2015-07-31,0.38,-0.1,-0.48,pos_then_down,positive,down
2015-10-30,-0.12,-1.62,-1.5,neg_then_down,negative,down
2016-02-19,0.35,2.02,1.67,pos_then_up,positive,up
2016-04-29,0.28,0.09,-0.19,pos_then_down,positive,down
2016-07-29,-0.24,-1.35,-1.11,neg_then_down,negative,down
2016-10-31,0.07,-1.73,-1.8,pos_then_down,positive,down
2017-02-24,-0.44,0.0,0.44,neg_then_up,negative,up
2017-04-28,0.11,-0.77,-0.88,pos_then_down,positive,down
2017-07-28,-0.11,0.02,0.13,neg_then_up,negative,up
2017-10-31,1.5,0.63,-0.86,pos_then_down,positive,down
2018-02-23,0.12,-0.46,-0.57,pos_then_down,positive,down
2018-04-30,-0.38,-0.56,-0.17,neg_then_down,negative,down
2018-10-30,-0.81,-1.73,-0.93,neg_then_down,negative,down
2019-02-27,-0.1,0.43,0.53,neg_then_up,negative,up
2019-05-02,0.39,0.0,-0.39,pos_then_down,positive,down
2019-07-30,-0.19,-1.28,-1.09,neg_then_down,negative,down
2019-10-31,0.16,-0.51,-0.66,pos_then_down,positive,down
2020-02-26,-0.13,-4.86,-4.74,neg_then_down,negative,down
2020-05-04,0.12,1.42,1.3,pos_then_up,positive,up
2020-07-31,-0.79,-2.63,-1.86,neg_then_down,negative,down
2020-10-30,1.27,0.58,-0.68,pos_then_down,positive,down
2021-02-26,0.82,2.34,1.51,pos_then_up,positive,up
2021-05-05,0.77,2.06,1.28,pos_then_up,positive,up
2021-08-03,-0.74,-0.38,0.36,neg_then_up,negative,up
2021-11-02,-0.25,-0.95,-0.71,neg_then_down,negative,down
2022-02-24,1.17,4.09,2.89,pos_then_up,positive,up
2022-05-03,0.6,1.12,0.52,pos_then_up,positive,up
2022-08-02,-0.11,0.35,0.46,neg_then_up,negative,up
2022-10-31,0.59,0.46,-0.12,pos_then_down,positive,down
2023-02-21,0.15,-0.57,-0.72,pos_then_down,positive,down
2023-05-02,1.0,0.64,-0.36,pos_then_down,positive,down
2023-08-01,-0.27,-0.09,0.17,neg_then_up,negative,up
2023-10-31,-0.52,1.18,1.71,neg_then_up,negative,up
2024-02-26,0.59,3.25,2.65,pos_then_up,positive,up
2024-04-30,-0.3,1.06,1.36,neg_then_up,negative,up
2024-07-30,3.21,2.27,-0.91,pos_then_down,positive,down
2024-11-04,0.39,2.33,1.93,pos_then_up,positive,up
2025-02-25,-0.56,-0.36,0.21,neg_then_up,negative,up
2025-04-30,-0.36,-1.59,-1.23,neg_then_down,negative,down
2025-08-05,0.03,-2.61,-2.64,pos_then_down,positive,down
2025-11-03,-0.79,0.57,1.36,neg_then_up,negative,up
