date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-19,2.57,-0.72,1.84,pos_then_down,positive,down
2005-04-19,-0.13,-2.63,-2.75,neg_then_down,negative,down
2005-07-19,0.42,0.6,1.03,pos_then_up,positive,up
2005-10-18,3.63,-0.25,3.37,pos_then_down,positive,down
2006-01-24,0.42,-0.8,-0.38,pos_then_down,positive,down
2006-04-19,-0.04,0.22,0.18,neg_then_up,negative,up
2006-07-19,0.57,-1.43,-0.87,pos_then_down,positive,down
2007-01-23,0.22,2.87,3.1,pos_then_up,positive,up
2007-04-18,0.04,0.24,0.28,pos_then_up,positive,up
2007-07-19,-1.53,-0.58,-2.1,neg_then_down,negative,down
2007-10-18,-0.45,-2.77,-3.21,neg_then_down,negative,down
2008-01-23,6.51,-4.85,1.34,pos_then_down,positive,down
2008-04-22,0.05,-1.49,-1.44,pos_then_down,positive,down
2008-07-22,0.55,1.81,2.37,pos_then_up,positive,up
2008-10-21,-1.28,-2.76,-4.0,neg_then_down,negative,down
2009-01-21,-2.12,-1.75,-3.83,neg_then_down,negative,down
2009-04-21,0.85,1.56,2.43,pos_then_up,positive,up
2009-07-21,-0.2,0.62,0.41,neg_then_up,negative,up
2009-10-20,-0.19,-2.11,-2.3,neg_then_down,negative,down
2010-01-26,0.66,-2.35,-1.71,pos_then_down,positive,down
2010-04-20,0.49,1.77,2.26,pos_then_up,positive,up
2010-07-20,0.28,-1.82,-1.54,pos_then_down,positive,down
2010-10-19,0.6,2.31,2.93,pos_then_up,positive,up
2011-01-25,0.47,1.78,2.26,pos_then_up,positive,up
2011-04-19,1.52,-4.81,-3.36,pos_then_down,positive,down
2011-07-19,-0.07,1.24,1.17,neg_then_up,negative,up
2011-10-18,-0.36,-0.52,-0.87,neg_then_down,negative,down
2012-01-24,0.64,-1.73,-1.1,pos_then_down,positive,down
2012-10-16,-2.12,2.37,0.19,neg_then_up,negative,up
2013-01-22,0.21,1.03,1.24,pos_then_up,positive,up
2013-04-23,0.48,0.55,1.03,pos_then_up,positive,up
2013-07-17,0.12,1.56,1.68,pos_then_up,positive,up
2013-10-15,0.85,0.22,1.07,pos_then_up,positive,up
2014-02-12,-0.08,-0.93,-1.01,neg_then_down,negative,down
2014-04-23,0.55,-1.52,-0.98,pos_then_down,positive,down
2014-07-22,0.94,0.42,1.37,pos_then_up,positive,up
2014-10-21,0.59,-3.11,-2.53,pos_then_down,positive,down
2015-01-27,0.76,-0.42,0.34,pos_then_down,positive,down
2015-04-21,1.78,0.61,2.41,pos_then_up,positive,up
2015-07-22,0.71,-2.4,-1.71,pos_then_down,positive,down
2015-10-21,0.45,0.37,0.82,pos_then_up,positive,up
2016-01-26,-0.46,0.67,0.2,neg_then_up,negative,up
2016-04-21,0.63,2.23,2.87,pos_then_up,positive,up
2016-07-21,0.01,0.7,0.72,pos_then_up,positive,up
2016-10-20,-0.71,1.23,0.51,neg_then_up,negative,up
2017-01-31,-0.23,1.23,1.0,neg_then_up,negative,up
2017-04-27,0.01,-1.47,-1.46,pos_then_down,positive,down
2017-07-27,0.06,-0.77,-0.71,pos_then_down,positive,down
2017-10-25,-0.98,1.35,0.36,neg_then_up,negative,up
2018-01-31,-0.26,-1.4,-1.66,neg_then_down,negative,down
2018-04-25,0.27,-0.87,-0.6,pos_then_down,positive,down
2018-07-26,-0.15,-1.35,-1.5,neg_then_down,negative,down
2018-10-25,-1.53,3.11,1.54,neg_then_up,negative,up
2019-01-30,-0.19,1.7,1.51,neg_then_up,negative,up
2019-04-25,-0.52,1.82,1.29,neg_then_up,negative,up
2019-07-25,-0.39,0.41,0.02,neg_then_up,negative,up
2019-10-24,-0.06,2.28,2.22,neg_then_up,negative,up
2020-01-29,-6.47,1.5,-5.07,neg_then_up,negative,up
2020-04-28,2.07,-0.12,1.94,pos_then_down,positive,down
2020-07-28,0.03,-0.04,-0.01,pos_then_down,positive,down
2020-10-27,-1.78,-0.01,-1.79,neg_then_down,negative,down
2021-01-27,0.01,-3.07,-3.06,pos_then_down,positive,down
2021-04-27,0.82,-0.4,0.41,pos_then_down,positive,down
2021-10-26,0.03,-0.49,-0.46,pos_then_down,positive,down
2022-01-27,0.33,1.1,1.44,pos_then_up,positive,up
2022-04-25,-0.41,-1.35,-1.76,neg_then_down,negative,down
2022-07-26,0.04,1.71,1.75,pos_then_up,positive,up
2022-10-25,-0.11,0.48,0.37,neg_then_up,negative,up
2023-04-25,-1.17,-0.54,-1.7,neg_then_down,negative,down
2023-07-25,-0.62,-0.76,-1.38,neg_then_down,negative,down
2023-10-24,0.21,-0.25,-0.03,pos_then_down,positive,down
2024-01-25,0.54,-0.37,0.16,pos_then_down,positive,down
2024-04-23,0.65,1.12,1.78,pos_then_up,positive,up
2024-07-24,0.69,-0.2,0.5,pos_then_down,positive,down
2024-10-23,-0.26,-0.24,-0.5,neg_then_down,negative,down
2025-01-29,-0.5,0.09,-0.41,neg_then_up,negative,up
2025-04-23,-0.8,3.0,2.18,neg_then_up,negative,up
2025-07-24,0.17,0.12,0.29,pos_then_up,positive,up
2025-10-23,-0.51,-3.46,-3.95,neg_then_down,negative,down
