date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-13,0.44,0.11,0.55,pos_then_up,positive,up
2005-02-01,-1.87,2.45,0.53,neg_then_up,negative,up
2005-04-18,0.59,0.4,0.99,pos_then_up,positive,up
2005-07-12,0.18,0.31,0.49,pos_then_up,positive,up
2005-10-12,0.02,0.6,0.63,pos_then_up,positive,up
2006-01-23,0.52,1.21,1.74,pos_then_up,positive,up
2006-04-12,-0.1,-1.99,-2.09,neg_then_down,negative,down
2006-07-11,2.61,-1.83,0.74,pos_then_down,positive,down
2006-10-17,0.61,0.61,1.22,pos_then_up,positive,up
2007-01-23,-0.19,2.02,1.83,neg_then_up,negative,up
2007-04-18,-0.13,-0.33,-0.45,neg_then_down,negative,down
2007-07-17,-0.74,1.89,1.14,neg_then_up,negative,up
2007-10-16,1.56,-1.63,-0.09,pos_then_down,positive,down
2008-01-29,0.3,-7.5,-7.22,pos_then_down,positive,down
2008-04-16,-0.64,0.82,0.17,neg_then_up,negative,up
2008-07-16,-3.06,5.77,2.53,neg_then_up,negative,up
2008-10-16,-3.66,-2.4,-5.97,neg_then_down,negative,down
2009-01-23,0.37,-5.35,-5.0,pos_then_down,positive,down
2009-04-28,-2.44,6.37,3.78,neg_then_up,negative,up
2009-07-28,-0.69,-0.96,-1.64,neg_then_down,negative,down
2009-10-21,0.45,6.79,7.27,pos_then_up,positive,up
2010-02-02,-0.81,-2.57,-3.36,neg_then_down,negative,down
2010-04-21,-1.37,2.05,0.65,neg_then_up,negative,up
2010-07-21,-1.6,3.66,2.0,neg_then_up,negative,up
2010-10-20,0.29,-0.32,-0.04,pos_then_down,positive,down
2011-02-03,0.06,-0.03,0.03,pos_then_down,positive,down
2011-04-20,0.22,0.48,0.7,pos_then_up,positive,up
2011-07-28,-1.33,2.33,0.96,neg_then_up,negative,up
2011-10-26,8.37,-1.33,6.93,pos_then_down,positive,down
2012-02-08,0.03,-0.2,-0.18,pos_then_down,positive,down
2012-05-01,-0.95,0.84,-0.11,neg_then_up,negative,up
2012-07-26,0.31,0.53,0.84,pos_then_up,positive,up
2012-10-23,0.58,-1.2,-0.63,pos_then_down,positive,down
2013-02-06,0.03,-1.25,-1.23,pos_then_down,positive,down
2013-04-24,-2.53,-0.36,-2.88,neg_then_down,negative,down
2013-07-24,-0.55,-0.33,-0.88,neg_then_down,negative,down
2013-10-23,0.55,0.17,0.72,pos_then_up,positive,up
2014-01-30,-1.6,1.49,-0.13,neg_then_up,negative,up
2014-04-22,0.7,-1.4,-0.7,pos_then_down,positive,down
2014-07-22,0.55,-0.45,0.1,pos_then_down,positive,down
2014-10-23,-0.15,0.84,0.69,neg_then_up,negative,up
2015-01-27,0.42,-1.92,-1.51,pos_then_down,positive,down
2015-04-20,0.81,-1.47,-0.67,pos_then_down,positive,down
2015-07-21,0.87,-1.28,-0.42,pos_then_down,positive,down
2015-10-20,0.3,-0.23,0.07,pos_then_down,positive,down
2016-01-26,-0.7,-0.25,-0.95,neg_then_down,negative,down
2016-04-19,0.33,-1.96,-1.64,pos_then_down,positive,down
2016-07-19,0.43,-0.64,-0.21,pos_then_down,positive,down
2016-10-20,-1.27,0.69,-0.59,neg_then_up,negative,up
2017-01-24,0.12,-0.19,-0.08,pos_then_down,positive,down
2017-04-18,-0.09,-0.39,-0.48,neg_then_down,negative,down
2017-07-18,0.03,-0.03,0.0,pos_then_down,positive,down
2017-10-17,0.06,1.49,1.55,pos_then_up,positive,up
2018-01-23,-0.02,-0.74,-0.75,neg_then_down,negative,down
2018-04-17,0.49,0.06,0.55,pos_then_up,positive,up
2018-07-17,-0.82,0.11,-0.71,neg_then_up,negative,up
2018-10-16,-0.49,-1.09,-1.57,neg_then_down,negative,down
2019-01-22,0.15,0.29,0.45,pos_then_up,positive,up
2019-04-16,0.56,-1.26,-0.7,pos_then_down,positive,down
2019-07-16,0.41,-0.22,0.18,pos_then_down,positive,down
2020-01-22,-0.43,2.31,1.87,neg_then_up,negative,up
2020-04-21,0.75,-2.01,-1.27,pos_then_down,positive,down
2020-07-21,-0.79,1.26,0.46,neg_then_up,negative,up
2020-10-20,-0.6,-0.25,-0.85,neg_then_down,negative,down
2021-01-26,-0.31,-2.31,-2.61,neg_then_down,negative,down
2021-04-19,0.12,2.11,2.23,pos_then_up,positive,up
2021-07-19,0.87,0.09,0.95,pos_then_up,positive,up
2021-10-15,-0.09,2.14,2.05,neg_then_up,negative,up
2022-01-19,-1.04,1.41,0.36,neg_then_up,negative,up
2022-04-19,0.04,1.79,1.83,pos_then_up,positive,up
2022-07-18,1.15,3.77,4.96,pos_then_up,positive,up
2022-10-19,0.4,0.04,0.44,pos_then_up,positive,up
2023-01-18,0.28,-1.38,-1.11,pos_then_down,positive,down
2023-04-18,0.15,1.02,1.17,pos_then_up,positive,up
2023-07-18,1.15,-2.1,-0.98,pos_then_down,positive,down
2023-10-17,-0.47,-3.01,-3.47,neg_then_down,negative,down
2024-01-17,-0.06,-0.42,-0.47,neg_then_down,negative,down
2024-04-17,-0.5,-1.2,-1.69,neg_then_down,negative,down
2024-07-17,-0.58,0.1,-0.48,neg_then_up,negative,up
2024-10-16,-0.73,-2.65,-3.36,neg_then_down,negative,down
2025-01-21,-0.86,-0.97,-1.82,neg_then_down,negative,down
2025-04-16,0.79,1.01,1.8,pos_then_up,positive,up
2025-07-16,-0.73,-2.69,-3.39,neg_then_down,negative,down
2025-10-15,0.9,-2.17,-1.3,pos_then_down,positive,down
