date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2008-03-05,-0.68,-3.1,-2.43,neg_then_down,negative,down
2008-05-20,0.3,-1.2,-1.5,pos_then_down,positive,down
2008-09-10,-2.54,3.05,5.73,neg_then_up,negative,up
2009-01-22,-3.41,2.19,5.8,neg_then_up,negative,up
2009-04-23,-0.22,5.59,5.83,neg_then_up,negative,up
2009-07-23,-1.01,-4.53,-3.56,neg_then_down,negative,down
2009-10-22,1.11,3.47,2.34,pos_then_up,positive,up
2010-01-15,-0.25,2.03,2.28,neg_then_up,negative,up
2010-04-22,0.97,1.19,0.22,pos_then_up,positive,up
2010-07-22,-0.54,2.07,2.62,neg_then_up,negative,up
2010-10-21,0.43,2.17,1.73,pos_then_up,positive,up
2011-01-20,1.62,-0.28,-1.87,pos_then_down,positive,down
2011-04-21,-0.05,-0.71,-0.67,neg_then_down,negative,down
2011-07-20,0.83,2.12,1.28,pos_then_up,positive,up
2011-10-19,0.9,3.45,2.53,pos_then_up,positive,up
2012-01-18,-0.47,-0.4,0.07,neg_then_up,negative,up
2012-04-18,0.28,1.29,1.0,pos_then_up,positive,up
2012-07-18,-0.25,0.49,0.74,neg_then_up,negative,up
2012-10-16,-0.65,-1.04,-0.4,neg_then_down,negative,down
2013-01-17,0.4,-0.27,-0.67,pos_then_down,positive,down
2013-04-17,0.32,0.29,-0.03,pos_then_down,positive,down
2013-07-17,0.49,3.21,2.71,pos_then_up,positive,up
2013-10-16,-0.39,1.1,1.49,neg_then_up,negative,up
2014-01-16,1.51,1.64,0.13,pos_then_up,positive,up
2014-04-16,-0.56,-0.72,-0.17,neg_then_down,negative,down
2014-07-16,-1.21,-2.16,-0.96,neg_then_down,negative,down
2014-10-15,-1.64,1.12,2.8,neg_then_up,negative,up
2015-01-16,0.34,0.21,-0.13,pos_then_down,positive,down
2015-04-15,-0.16,-0.48,-0.32,neg_then_down,negative,down
2015-07-15,1.06,0.92,-0.14,pos_then_down,positive,down
2015-09-17,-1.85,-2.66,-0.83,neg_then_down,negative,down
2016-01-15,0.94,-1.16,-2.08,pos_then_down,positive,down
2016-04-14,-0.12,-0.63,-0.51,neg_then_down,negative,down
2016-07-15,-0.48,0.04,0.51,neg_then_up,negative,up
2016-09-14,-0.26,1.15,1.41,neg_then_up,negative,up
2017-01-13,-0.72,-4.09,-3.4,neg_then_down,negative,down
2017-04-13,0.16,2.25,2.1,pos_then_up,positive,up
2017-07-14,-0.1,0.15,0.25,neg_then_up,negative,up
2017-09-13,-0.09,-0.09,0.01,neg_then_up,negative,up
2018-01-12,1.14,0.77,-0.36,pos_then_down,positive,down
2018-04-13,0.33,-1.11,-1.44,pos_then_down,positive,down
2018-07-13,0.5,2.56,2.05,pos_then_up,positive,up
2018-10-12,0.83,1.08,0.25,pos_then_up,positive,up
2019-01-16,-0.08,0.56,0.64,neg_then_up,negative,up
2019-04-12,0.17,-0.52,-0.7,pos_then_down,positive,down
2019-07-17,0.01,0.25,0.25,pos_then_up,positive,up
2019-10-16,0.7,0.85,0.15,pos_then_up,positive,up
2020-01-15,0.43,-0.2,-0.63,pos_then_down,positive,down
2020-04-15,0.43,-2.04,-2.47,pos_then_down,positive,down
2020-07-15,-1.04,2.01,3.08,neg_then_up,negative,up
2020-10-14,-0.31,0.81,1.13,neg_then_up,negative,up
2021-01-15,0.63,0.79,0.15,pos_then_up,positive,up
2021-04-16,0.27,-0.64,-0.91,pos_then_down,positive,down
2021-07-14,-0.34,1.29,1.63,neg_then_up,negative,up
2021-10-15,-0.73,0.86,1.6,neg_then_up,negative,up
2022-01-18,0.98,-3.85,-4.79,pos_then_down,positive,down
2022-04-14,-0.6,0.43,1.03,neg_then_up,negative,up
2022-07-15,1.7,0.81,-0.87,pos_then_down,positive,down
2022-10-14,2.43,4.11,1.64,pos_then_up,positive,up
2023-01-18,-1.03,-2.66,-1.65,neg_then_down,negative,down
2023-04-14,-0.14,3.94,4.09,neg_then_up,negative,up
2023-07-18,-0.1,1.55,1.65,neg_then_up,negative,up
2023-10-13,1.14,1.32,0.18,pos_then_up,positive,up
2024-01-16,-1.18,-0.13,1.06,neg_then_up,negative,up
2024-04-16,1.72,0.48,-1.21,pos_then_down,positive,down
2024-07-16,0.24,1.54,1.3,pos_then_up,positive,up
2024-10-15,1.06,-0.42,-1.47,pos_then_down,positive,down
2025-01-16,0.74,1.02,0.27,pos_then_up,positive,up
2025-04-15,-1.11,-1.46,-0.36,neg_then_down,negative,down
2025-07-16,-0.45,1.06,1.52,neg_then_up,negative,up
2025-10-15,0.51,-2.18,-2.67,pos_then_down,positive,down
