date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2009-02-20,1.29,-8.46,-9.63,pos_then_down,positive,down
2009-05-05,1.24,-0.49,-1.71,pos_then_down,positive,down
2009-08-04,-0.5,-0.6,-0.09,neg_then_down,negative,down
2009-10-29,0.25,-2.16,-2.4,pos_then_down,positive,down
2010-02-19,0.54,-0.37,-0.9,pos_then_down,positive,down
2010-05-06,-0.08,-2.25,-2.17,neg_then_down,negative,down
2010-08-03,0.41,1.08,0.66,pos_then_up,positive,up
2010-10-28,-0.19,0.15,0.34,neg_then_up,negative,up
2011-02-18,-0.67,-1.17,-0.5,neg_then_down,negative,down
2011-04-29,0.55,1.06,0.5,pos_then_up,positive,up
2011-08-02,0.7,-0.41,-1.1,pos_then_down,positive,down
2011-11-01,1.64,3.04,1.37,pos_then_up,positive,up
2012-02-24,-0.61,-0.02,0.59,neg_then_up,negative,up
2012-05-03,0.02,0.42,0.4,pos_then_up,positive,up
2012-08-02,1.37,1.62,0.24,pos_then_up,positive,up
2012-11-02,-0.44,-0.71,-0.27,neg_then_down,negative,down
2013-02-22,0.45,-1.84,-2.28,pos_then_down,positive,down
2013-05-03,0.67,-1.32,-1.97,pos_then_down,positive,down
2013-08-02,-0.36,-1.17,-0.82,neg_then_down,negative,down
2013-10-31,0.09,0.37,0.29,pos_then_up,positive,up
2014-02-21,-0.07,-0.53,-0.46,neg_then_down,negative,down
2014-05-02,-0.39,1.18,1.58,neg_then_up,negative,up
2014-07-31,0.04,0.9,0.86,pos_then_up,positive,up
2014-10-31,0.46,1.27,0.81,pos_then_up,positive,up
2015-02-20,-0.3,0.4,0.7,neg_then_up,negative,up
2015-05-01,2.0,0.99,-0.99,pos_then_down,positive,down
2015-07-30,0.49,0.72,0.23,pos_then_up,positive,up
2015-10-30,-0.06,1.04,1.1,neg_then_up,negative,up
2016-02-19,1.0,1.9,0.9,pos_then_up,positive,up
2016-04-29,0.18,0.96,0.78,pos_then_up,positive,up
2016-08-02,-0.01,-0.8,-0.79,neg_then_down,negative,down
2016-11-03,0.58,-0.15,-0.72,pos_then_down,positive,down
2017-02-24,0.01,-0.32,-0.33,pos_then_down,positive,down
2017-05-02,-0.37,-0.4,-0.04,neg_then_down,negative,down
2017-08-03,-0.2,-0.74,-0.54,neg_then_down,negative,down
2017-11-03,-0.11,-0.24,-0.12,neg_then_down,negative,down
2018-02-23,-0.22,0.16,0.39,neg_then_up,negative,up
2018-05-02,-0.28,0.49,0.77,neg_then_up,negative,up
2018-08-03,1.54,1.01,-0.53,pos_then_down,positive,down
2018-11-08,0.34,1.04,0.69,pos_then_up,positive,up
2019-02-22,0.01,0.49,0.48,pos_then_up,positive,up
2019-05-01,-0.34,-1.07,-0.74,neg_then_down,negative,down
2019-08-08,-1.53,-0.37,1.18,neg_then_up,negative,up
2019-11-07,-0.73,-1.63,-0.91,neg_then_down,negative,down
2020-02-21,-0.28,-2.57,-2.29,neg_then_down,negative,down
2020-05-08,-1.18,-0.3,0.89,neg_then_up,negative,up
2020-08-06,-0.36,1.7,2.06,neg_then_up,negative,up
2020-10-30,0.63,-0.61,-1.23,pos_then_down,positive,down
2021-02-24,-0.77,-0.03,0.74,neg_then_up,negative,up
2021-05-05,0.38,1.31,0.93,pos_then_up,positive,up
2021-08-05,-0.11,1.11,1.22,neg_then_up,negative,up
2021-11-05,0.06,-1.43,-1.49,pos_then_down,positive,down
2022-02-25,-0.79,-1.61,-0.83,neg_then_down,negative,down
2022-05-04,-0.78,-1.91,-1.14,neg_then_down,negative,down
2022-08-03,0.08,1.73,1.65,pos_then_up,positive,up
2022-11-03,0.06,1.46,1.4,pos_then_up,positive,up
2023-02-27,-0.62,-0.58,0.04,neg_then_up,negative,up
2023-05-04,-0.93,0.54,1.48,neg_then_up,negative,up
2023-08-03,0.55,-0.91,-1.45,pos_then_down,positive,down
2023-11-02,0.97,-1.66,-2.61,pos_then_down,positive,down
2024-02-27,0.14,-3.06,-3.2,pos_then_down,positive,down
2024-05-02,0.91,1.0,0.09,pos_then_up,positive,up
2024-08-01,-0.08,0.18,0.26,neg_then_up,negative,up
2024-11-06,-0.3,-0.98,-0.68,neg_then_down,negative,down
2025-02-25,-0.77,-1.63,-0.87,neg_then_down,negative,down
2025-05-01,0.63,0.97,0.34,pos_then_up,positive,up
2025-08-06,0.48,1.32,0.84,pos_then_up,positive,up
2025-11-03,1.07,-0.1,-1.16,pos_then_down,positive,down
