date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2007-06-22,2.82,-1.26,1.52,pos_then_down,positive,down
2007-11-14,-0.56,1.08,0.52,neg_then_up,negative,up
2008-03-17,-3.41,-2.36,-5.69,neg_then_down,negative,down
2008-08-12,-11.6,15.48,2.08,neg_then_up,negative,up
2008-11-06,-9.56,-5.48,-14.51,neg_then_down,negative,down
2009-03-05,-31.51,-4.0,-34.25,neg_then_down,negative,down
2009-05-07,2.28,18.52,21.23,pos_then_up,positive,up
2009-08-04,7.47,0.28,7.77,pos_then_up,positive,up
2009-10-26,8.02,9.9,18.71,pos_then_up,positive,up
2010-02-09,-0.45,9.99,9.5,neg_then_up,negative,up
2010-05-06,9.69,-3.45,5.9,pos_then_down,positive,down
2010-07-29,-1.54,0.82,-0.74,neg_then_up,negative,up
2010-11-09,2.29,2.66,5.01,pos_then_up,positive,up
2011-02-15,-7.26,10.09,2.1,neg_then_up,negative,up
2011-05-09,1.41,-1.05,0.34,pos_then_down,positive,down
2011-08-02,-2.66,3.12,0.38,neg_then_up,negative,up
2011-11-03,0.94,13.41,14.48,pos_then_up,positive,up
2012-02-09,-0.45,-0.71,-1.16,neg_then_down,negative,down
2012-05-09,0.17,4.79,4.97,pos_then_up,positive,up
2012-08-08,-1.18,8.65,7.37,neg_then_up,negative,up
2012-11-08,-1.52,7.8,6.17,neg_then_up,negative,up
2013-02-27,-0.47,5.96,5.47,neg_then_up,negative,up
2013-05-06,3.9,10.57,14.88,pos_then_up,positive,up
2013-08-07,11.6,-1.34,10.1,pos_then_down,positive,down
2013-11-07,-2.02,0.36,-1.67,neg_then_up,negative,up
2014-02-27,5.28,-0.46,4.8,pos_then_down,positive,down
2014-05-07,-2.94,-7.74,-10.45,neg_then_down,negative,down
2014-08-07,-13.5,11.71,-3.38,neg_then_up,negative,up
2014-11-05,-1.76,8.04,6.13,neg_then_up,negative,up
2015-01-07,-7.14,-2.01,-9.01,neg_then_down,negative,down
2015-04-30,-12.9,3.73,-9.65,neg_then_up,negative,up
2015-07-30,1.22,-0.21,1.01,pos_then_down,positive,down
2015-11-05,26.66,-10.11,13.85,pos_then_down,positive,down
2016-02-25,11.39,-2.72,8.36,pos_then_down,positive,down
2016-04-28,6.16,-6.25,-0.48,pos_then_down,positive,down
2016-08-03,11.88,5.5,18.03,pos_then_up,positive,up
2016-11-03,15.52,-0.76,14.64,pos_then_down,positive,down
2017-02-27,-5.35,-0.32,-5.65,neg_then_down,negative,down
2017-05-08,2.73,-6.66,-4.11,pos_then_down,positive,down
2017-08-03,7.71,-0.56,7.11,pos_then_down,positive,down
2017-11-02,11.11,7.49,19.43,pos_then_up,positive,up
2018-02-21,0.9,2.58,3.5,pos_then_up,positive,up
2018-05-03,2.48,-6.02,-3.69,pos_then_down,positive,down
2018-08-02,-3.87,2.07,-1.88,neg_then_up,negative,up
2018-11-01,0.12,-1.89,-1.78,pos_then_down,positive,down
2019-01-07,1.29,-1.36,-0.08,pos_then_down,positive,down
2019-05-02,3.93,8.06,12.3,pos_then_up,positive,up
2019-08-05,18.6,2.34,21.37,pos_then_up,positive,up
2019-11-05,7.03,3.23,10.48,pos_then_up,positive,up
2020-02-25,-4.44,-4.25,-8.5,neg_then_down,negative,down
2020-05-07,-5.65,7.21,1.15,neg_then_up,negative,up
2020-08-06,-1.1,-0.12,-1.22,neg_then_down,negative,down
2020-11-04,4.1,6.13,10.48,pos_then_up,positive,up
2021-02-23,0.01,0.61,0.62,pos_then_up,positive,up
2021-05-06,-5.19,-2.43,-7.49,neg_then_down,negative,down
2021-08-05,0.91,-2.64,-1.76,pos_then_down,positive,down
2021-11-04,-3.0,5.28,2.12,neg_then_up,negative,up
2022-02-23,-5.55,17.14,10.64,neg_then_up,negative,up
2022-05-05,-1.53,-8.0,-9.4,neg_then_down,negative,down
2022-08-04,0.66,3.62,4.31,pos_then_up,positive,up
2022-11-03,19.98,2.16,22.58,pos_then_up,positive,up
2023-02-23,4.17,-5.05,-1.09,pos_then_down,positive,down
2023-05-04,1.16,0.86,2.03,pos_then_up,positive,up
2023-08-08,-1.4,-2.26,-3.63,neg_then_down,negative,down
2023-11-02,11.08,4.22,15.76,pos_then_up,positive,up
2024-02-22,-6.19,-0.39,-6.56,neg_then_down,negative,down
2024-05-09,2.44,-8.78,-6.55,pos_then_down,positive,down
2024-07-26,0.23,-0.99,-0.76,pos_then_down,positive,down
2024-11-07,4.87,4.32,9.4,pos_then_up,positive,up
2025-02-20,-4.14,2.33,-1.9,neg_then_up,negative,up
2025-05-08,14.02,6.02,20.88,pos_then_up,positive,up
2025-11-06,0.91,-2.0,-1.11,pos_then_down,positive,down
