date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2010-10-28,-0.04,1.63,1.59,neg_then_up,negative,up
2011-02-04,-0.16,-0.92,-1.08,neg_then_down,negative,down
2011-05-05,1.5,-0.97,0.51,pos_then_down,positive,down
2011-08-05,-1.54,-3.14,-4.63,neg_then_down,negative,down
2011-11-03,-0.73,-0.37,-1.1,neg_then_down,negative,down
2012-08-08,0.86,0.61,1.48,pos_then_up,positive,up
2012-11-08,-0.42,0.24,-0.17,neg_then_up,negative,up
2013-02-14,0.23,-0.62,-0.39,pos_then_down,positive,down
2013-05-02,0.24,-0.88,-0.64,pos_then_down,positive,down
2013-08-01,0.06,-0.22,-0.16,pos_then_down,positive,down
2013-10-31,0.16,0.16,0.33,pos_then_up,positive,up
2014-05-01,-0.76,-0.44,-1.2,neg_then_down,negative,down
2014-07-31,-0.61,1.07,0.45,neg_then_up,negative,up
2014-11-04,1.32,2.8,4.15,pos_then_up,positive,up
2015-02-05,-0.5,-2.55,-3.03,neg_then_down,negative,down
2015-05-07,1.77,-0.26,1.5,pos_then_down,positive,down
2015-08-03,-0.34,-0.76,-1.1,neg_then_down,negative,down
2015-10-29,0.44,1.36,1.81,pos_then_up,positive,up
2016-02-04,-0.93,-0.44,-1.36,neg_then_down,negative,down
2016-04-28,0.05,0.94,0.99,pos_then_up,positive,up
2016-08-09,-0.44,-0.17,-0.61,neg_then_down,negative,down
2016-11-01,-0.21,-0.06,-0.26,neg_then_down,negative,down
2017-02-01,0.4,0.54,0.94,pos_then_up,positive,up
2017-05-04,0.26,-0.03,0.23,pos_then_down,positive,down
2017-08-03,-0.31,-0.51,-0.82,neg_then_down,negative,down
2017-11-01,0.22,-0.32,-0.11,pos_then_down,positive,down
2018-02-22,0.1,2.67,2.78,pos_then_up,positive,up
2018-05-03,0.24,0.8,1.05,pos_then_up,positive,up
2018-08-07,-0.9,-0.38,-1.28,neg_then_down,negative,down
2018-11-01,0.68,-0.19,0.49,pos_then_down,positive,down
2019-02-14,0.23,-0.52,-0.29,pos_then_down,positive,down
2019-05-02,0.03,1.53,1.56,pos_then_up,positive,up
2019-08-06,-0.27,0.98,0.71,neg_then_up,negative,up
2019-11-05,0.06,-0.83,-0.77,pos_then_down,positive,down
2020-02-14,0.14,1.38,1.53,pos_then_up,positive,up
2020-05-08,-2.57,-0.75,-3.29,neg_then_down,negative,down
2020-08-10,1.22,-1.97,-0.77,pos_then_down,positive,down
2021-02-18,0.14,-0.47,-0.32,pos_then_down,positive,down
2021-05-06,-0.55,1.99,1.42,neg_then_up,negative,up
2021-08-05,0.24,1.04,1.28,pos_then_up,positive,up
2021-11-04,0.35,-0.93,-0.59,pos_then_down,positive,down
2022-05-05,-0.49,1.99,1.49,neg_then_up,negative,up
2022-08-03,0.14,-1.48,-1.35,pos_then_down,positive,down
2022-11-04,-0.07,-0.74,-0.81,neg_then_down,negative,down
2023-02-17,-2.08,-1.38,-3.44,neg_then_down,negative,down
2023-05-04,-0.28,0.45,0.17,neg_then_up,negative,up
2023-08-04,0.23,-0.11,0.12,pos_then_down,positive,down
2023-11-02,1.79,-0.63,1.16,pos_then_down,positive,down
2024-02-16,-0.23,-0.53,-0.75,neg_then_down,negative,down
2024-05-01,-0.04,-0.25,-0.29,neg_then_down,negative,down
2024-08-02,1.08,-2.97,-1.93,pos_then_down,positive,down
2025-02-13,0.23,-2.2,-1.98,pos_then_down,positive,down
2025-04-30,-0.11,-1.04,-1.15,neg_then_down,negative,down
2025-07-31,0.36,-0.45,-0.08,pos_then_down,positive,down
2025-11-05,0.41,-0.05,0.36,pos_then_down,positive,down
