date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2012-08-01,-0.86,0.95,0.08,neg_then_up,negative,up
2012-10-31,-0.34,0.81,0.47,neg_then_up,negative,up
2013-01-30,-0.64,0.33,-0.31,neg_then_up,negative,up
2013-05-01,0.67,0.38,1.06,pos_then_up,positive,up
2013-07-31,0.6,-2.18,-1.59,pos_then_down,positive,down
2013-10-30,-0.38,-0.85,-1.23,neg_then_down,negative,down
2014-01-29,0.35,-1.18,-0.84,pos_then_down,positive,down
2014-04-30,0.06,0.94,1.0,pos_then_up,positive,up
2014-07-30,-0.71,-0.04,-0.75,neg_then_down,negative,down
2014-10-29,-0.05,1.38,1.32,neg_then_up,negative,up
2015-01-29,-1.06,0.85,-0.23,neg_then_up,negative,up
2015-04-30,0.13,2.77,2.9,pos_then_up,positive,up
2015-07-31,-1.04,0.01,-1.03,neg_then_up,negative,up
2015-10-30,-0.74,2.5,1.74,neg_then_up,negative,up
2016-01-29,-0.59,-0.25,-0.84,neg_then_down,negative,down
2016-04-29,0.4,-0.29,0.11,pos_then_down,positive,down
2016-07-29,-1.0,-1.38,-2.37,neg_then_down,negative,down
2016-10-28,0.09,1.18,1.27,pos_then_up,positive,up
2017-02-03,0.06,-1.08,-1.01,pos_then_down,positive,down
2017-04-28,-0.05,0.05,0.0,neg_then_up,negative,up
2017-08-01,-0.21,1.43,1.21,neg_then_up,negative,up
2017-10-27,-0.45,-0.61,-1.05,neg_then_down,negative,down
2018-02-02,-1.23,-0.64,-1.86,neg_then_down,negative,down
2018-04-27,0.49,-0.51,-0.03,pos_then_down,positive,down
2018-07-27,0.66,2.16,2.83,pos_then_up,positive,up
2018-10-26,0.76,-1.69,-0.94,pos_then_down,positive,down
2019-02-08,-0.57,1.33,0.76,neg_then_up,negative,up
2019-04-30,-0.02,-2.56,-2.58,neg_then_down,negative,down
2019-07-26,-0.4,0.88,0.48,neg_then_up,negative,up
2019-10-25,0.51,1.96,2.47,pos_then_up,positive,up
2020-01-31,-0.09,-2.54,-2.63,neg_then_down,negative,down
2020-05-01,-0.53,11.32,10.73,neg_then_up,negative,up
2020-07-31,-1.14,-0.31,-1.45,neg_then_down,negative,down
2020-10-30,1.54,1.22,2.79,pos_then_up,positive,up
2021-01-29,0.8,-1.4,-0.62,pos_then_down,positive,down
2021-04-05,0.16,-1.63,-1.47,pos_then_down,positive,down
2021-08-03,-3.04,-2.87,-5.82,neg_then_down,negative,down
2021-10-29,0.84,3.62,4.49,pos_then_up,positive,up
2022-01-28,0.2,0.44,0.64,pos_then_up,positive,up
2022-04-29,-0.09,2.88,2.79,neg_then_up,negative,up
2022-07-29,-1.53,-0.17,-1.7,neg_then_down,negative,down
2022-11-01,-0.62,-3.25,-3.86,neg_then_down,negative,down
2023-01-31,-0.47,-1.81,-2.27,neg_then_down,negative,down
2023-05-03,-0.2,-3.6,-3.79,neg_then_down,negative,down
2023-08-02,0.5,0.79,1.3,pos_then_up,positive,up
2023-10-27,1.16,0.2,1.36,pos_then_up,positive,up
2024-04-26,-0.47,0.56,0.09,neg_then_up,negative,up
2024-07-30,1.26,-2.38,-1.15,pos_then_down,positive,down
2024-10-29,-0.38,-0.59,-0.97,neg_then_down,negative,down
2025-01-31,-0.41,0.4,-0.01,neg_then_up,negative,up
2025-04-25,-0.65,2.41,1.74,neg_then_up,negative,up
2025-07-25,0.47,1.7,2.18,pos_then_up,positive,up
2025-10-29,-0.53,-0.15,-0.67,neg_then_down,negative,down
