date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-22,-0.29,-3.81,-3.53,neg_then_down,negative,down
2004-01-21,-6.35,-7.66,-1.4,neg_then_down,negative,down
2004-04-08,0.96,2.69,1.71,pos_then_up,positive,up
2004-07-21,1.92,4.81,2.83,pos_then_up,positive,up
2004-10-20,2.69,4.35,1.61,pos_then_up,positive,up
2005-01-19,0.18,0.9,0.72,pos_then_up,positive,up
2005-04-27,-0.56,-3.91,-3.37,neg_then_down,negative,down
2005-07-20,0.57,-3.55,-4.09,pos_then_down,positive,down
2005-11-02,2.47,-1.08,-3.46,pos_then_down,positive,down
2006-01-25,-0.15,0.31,0.46,neg_then_up,negative,up
2006-04-26,0.13,-0.13,-0.27,pos_then_down,positive,down
2006-07-26,-0.34,0.67,1.01,neg_then_up,negative,up
2006-10-10,-0.2,0.0,0.2,neg_then_up,negative,up
2007-01-24,0.63,0.36,-0.26,pos_then_down,positive,down
2007-07-05,-19.19,-20.12,-1.15,neg_then_down,negative,down
2007-10-31,1.52,-1.73,-3.2,pos_then_down,positive,down
2008-01-23,0.82,0.06,-0.75,pos_then_down,positive,down
2008-07-22,2.61,-0.41,-2.94,pos_then_down,positive,down
2008-10-29,2.36,-2.2,-4.45,pos_then_down,positive,down
2009-01-08,-0.58,-3.46,-2.9,neg_then_down,negative,down
2009-04-28,-6.23,-7.09,-0.92,neg_then_down,negative,down
2009-07-28,-5.02,-1.08,4.14,neg_then_up,negative,up
2009-10-27,6.51,0.46,-5.68,pos_then_down,positive,down
2010-01-26,9.66,5.91,-3.42,pos_then_down,positive,down
2010-04-27,-3.69,-0.73,3.07,neg_then_up,negative,up
2010-07-27,-3.62,-1.98,1.71,neg_then_up,negative,up
2010-10-27,0.14,-0.79,-0.93,pos_then_down,positive,down
2011-01-26,-3.77,-6.92,-3.28,neg_then_down,negative,down
2011-04-27,-1.07,-0.99,0.08,neg_then_up,negative,up
2011-07-26,0.73,-2.79,-3.5,pos_then_down,positive,down
2011-10-26,7.03,17.76,10.03,pos_then_up,positive,up
2012-01-25,7.09,18.87,11.0,pos_then_up,positive,up
2012-04-05,-2.19,-2.33,-0.14,neg_then_down,negative,down
2012-07-25,4.32,10.61,6.03,pos_then_up,positive,up
2012-10-31,-3.27,6.94,10.55,neg_then_up,negative,up
2013-01-23,-2.53,-1.25,1.32,neg_then_up,negative,up
2013-04-24,0.04,2.06,2.02,pos_then_up,positive,up
2013-07-24,-0.33,1.11,1.45,neg_then_up,negative,up
2013-11-06,3.21,7.34,4.0,pos_then_up,positive,up
2014-01-22,6.15,0.7,-5.14,pos_then_down,positive,down
2014-04-23,1.29,3.58,2.26,pos_then_up,positive,up
2014-07-24,0.05,0.48,0.42,pos_then_up,positive,up
2014-10-01,0.33,0.28,-0.05,pos_then_down,positive,down
2015-01-29,-0.71,-1.71,-1.01,neg_then_down,negative,down
2015-04-06,0.75,-0.32,-1.07,pos_then_down,positive,down
2015-07-10,0.57,-0.36,-0.92,pos_then_down,positive,down
2015-10-28,-1.47,-2.13,-0.67,neg_then_down,negative,down
2016-01-20,5.81,5.17,-0.61,pos_then_down,positive,down
2016-04-20,9.3,9.76,0.43,pos_then_up,positive,up
2016-07-20,1.24,1.54,0.3,pos_then_up,positive,up
2016-10-03,0.51,0.73,0.22,pos_then_up,positive,up
2017-01-18,4.47,5.97,1.43,pos_then_up,positive,up
2017-04-19,0.76,-1.32,-2.07,pos_then_down,positive,down
2017-07-19,-7.84,-8.18,-0.37,neg_then_down,negative,down
2017-10-25,6.49,7.62,1.06,pos_then_up,positive,up
2018-01-17,8.76,4.87,-3.57,pos_then_down,positive,down
2018-04-18,-1.85,1.63,3.55,neg_then_up,negative,up
2018-07-18,-2.95,-1.5,1.5,neg_then_up,negative,up
2018-10-24,-6.91,-1.82,5.47,neg_then_up,negative,up
2019-01-23,-6.3,-5.78,0.55,neg_then_up,negative,up
2019-04-24,-9.71,-10.85,-1.27,neg_then_down,negative,down
2019-09-04,2.06,4.24,2.14,pos_then_up,positive,up
2020-01-22,6.95,6.4,-0.51,pos_then_down,positive,down
2020-04-29,0.21,-1.01,-1.23,pos_then_down,positive,down
2020-07-08,4.46,8.28,3.66,pos_then_up,positive,up
2020-10-28,-3.0,4.12,7.34,neg_then_up,negative,up
2021-01-27,10.82,14.48,3.31,pos_then_up,positive,up
2021-04-28,-4.55,-10.03,-5.74,neg_then_down,negative,down
2021-07-28,-5.98,-8.41,-2.58,neg_then_down,negative,down
2021-11-03,4.74,-6.87,-11.08,pos_then_down,positive,down
2022-01-26,-5.09,-3.26,1.93,neg_then_up,negative,up
2022-04-27,19.02,17.18,-1.55,pos_then_down,positive,down
2022-07-27,1.39,7.22,5.75,pos_then_up,positive,up
2022-11-02,-1.41,6.43,7.95,neg_then_up,negative,up
2023-02-01,-1.53,-4.2,-2.71,neg_then_down,negative,down
2023-04-26,-0.34,-1.49,-1.15,neg_then_down,negative,down
2023-07-26,4.01,0.76,-3.12,pos_then_down,positive,down
2023-11-01,-1.2,5.35,6.63,neg_then_up,negative,up
2024-01-31,-1.61,-0.69,0.93,neg_then_up,negative,up
2024-05-01,-4.77,-2.49,2.39,neg_then_up,negative,up
2024-07-31,-2.26,-1.11,1.17,neg_then_up,negative,up
2024-11-06,-2.12,-4.03,-1.96,neg_then_down,negative,down
2025-02-05,-3.69,-9.56,-6.1,neg_then_down,negative,down
2025-07-30,4.93,6.07,1.09,pos_then_up,positive,up
2025-11-05,-2.71,-8.44,-5.9,neg_then_down,negative,down
