date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-11-03,-0.3,2.86,2.55,neg_then_up,negative,up
2005-03-10,-0.14,2.45,2.31,neg_then_up,negative,up
2005-08-04,7.12,-1.0,6.05,pos_then_down,positive,down
2005-11-04,1.41,4.09,5.55,pos_then_up,positive,up
2006-02-23,7.78,-3.47,4.05,pos_then_down,positive,down
2006-05-04,-0.11,0.49,0.38,neg_then_up,negative,up
2006-08-02,0.06,3.16,3.23,pos_then_up,positive,up
2006-11-02,-1.04,0.99,-0.06,neg_then_up,negative,up
2007-01-23,4.97,0.24,5.23,pos_then_up,positive,up
2007-05-03,1.82,1.14,2.98,pos_then_up,positive,up
2007-08-02,-0.41,-2.59,-2.98,neg_then_down,negative,down
2007-11-08,-1.35,-2.6,-3.91,neg_then_down,negative,down
2008-02-21,0.08,1.14,1.23,pos_then_up,positive,up
2008-05-07,0.6,0.63,1.24,pos_then_up,positive,up
2008-08-06,-1.1,3.94,2.79,neg_then_up,negative,up
2008-11-05,0.74,-7.94,-7.25,pos_then_down,positive,down
2009-02-24,0.86,-3.87,-3.05,pos_then_down,positive,down
2009-05-06,1.2,-2.7,-1.54,pos_then_down,positive,down
2009-08-05,0.17,0.34,0.52,pos_then_up,positive,up
2009-11-04,0.51,0.6,1.12,pos_then_up,positive,up
2010-02-22,-0.26,-0.88,-1.14,neg_then_down,negative,down
2010-05-05,0.71,1.42,2.14,pos_then_up,positive,up
2010-08-04,-2.02,-1.46,-3.45,neg_then_down,negative,down
2010-11-03,1.5,-2.42,-0.95,pos_then_down,positive,down
2011-02-23,-2.39,-1.18,-3.54,neg_then_down,negative,down
2011-05-04,-0.58,1.68,1.1,neg_then_up,negative,up
2011-08-03,-1.85,-6.51,-8.24,neg_then_down,negative,down
2011-11-02,1.13,0.18,1.31,pos_then_up,positive,up
2012-02-07,-0.13,-0.94,-1.07,neg_then_down,negative,down
2012-05-03,-0.09,-1.36,-1.45,neg_then_down,negative,down
2012-08-02,2.21,1.02,3.26,pos_then_up,positive,up
2012-10-31,0.58,-1.38,-0.81,pos_then_down,positive,down
2013-02-21,0.88,0.03,0.91,pos_then_up,positive,up
2013-05-02,1.12,-0.1,1.01,pos_then_down,positive,down
2013-08-01,-0.25,0.32,0.07,neg_then_up,negative,up
2013-10-31,0.07,1.19,1.26,pos_then_up,positive,up
2014-02-20,0.26,-0.38,-0.12,pos_then_down,positive,down
2014-05-01,-0.09,-1.45,-1.54,neg_then_down,negative,down
2014-07-31,0.09,0.92,1.02,pos_then_up,positive,up
2014-11-05,0.15,2.01,2.17,pos_then_up,positive,up
2015-02-19,-0.24,-0.1,-0.34,neg_then_down,negative,down
2015-04-30,0.24,-2.59,-2.35,pos_then_down,positive,down
2015-08-05,0.17,0.82,1.0,pos_then_up,positive,up
2015-10-16,-1.28,4.38,3.04,neg_then_up,negative,up
2016-02-25,0.4,1.05,1.46,pos_then_up,positive,up
2016-05-05,-0.09,2.12,2.03,neg_then_up,negative,up
2016-08-04,0.64,5.3,5.97,pos_then_up,positive,up
2016-11-03,-0.39,-0.43,-0.81,neg_then_down,negative,down
2017-02-21,0.18,-2.28,-2.11,pos_then_down,positive,down
2017-05-04,0.09,-1.4,-1.32,pos_then_down,positive,down
2017-08-03,1.54,0.69,2.24,pos_then_up,positive,up
2017-11-02,-0.25,-2.22,-2.46,neg_then_down,negative,down
2018-02-22,0.67,-1.3,-0.64,pos_then_down,positive,down
2018-05-03,-0.15,2.76,2.61,neg_then_up,negative,up
2018-08-02,-3.3,2.86,-0.54,neg_then_up,negative,up
2018-11-01,1.02,1.81,2.84,pos_then_up,positive,up
2019-02-21,0.86,-0.03,0.83,pos_then_down,positive,down
2019-05-02,0.55,-2.98,-2.44,pos_then_down,positive,down
2019-08-01,-0.93,-4.75,-5.63,neg_then_down,negative,down
2019-10-31,-0.12,2.57,2.45,neg_then_up,negative,up
2020-02-27,-2.11,-1.19,-3.27,neg_then_down,negative,down
2020-05-07,1.35,2.08,3.46,pos_then_up,positive,up
2020-08-06,0.48,1.56,2.05,pos_then_up,positive,up
2020-10-29,-1.21,0.86,-0.37,neg_then_up,negative,up
2021-02-25,-0.02,-0.87,-0.9,neg_then_down,negative,down
2021-05-06,-1.08,2.72,1.61,neg_then_up,negative,up
2021-08-05,1.16,-1.34,-0.19,pos_then_down,positive,down
2021-11-04,0.72,2.92,3.65,pos_then_up,positive,up
2022-02-24,-1.2,0.73,-0.49,neg_then_up,negative,up
2022-05-05,-1.02,-1.81,-2.81,neg_then_down,negative,down
2022-08-04,0.56,2.05,2.62,pos_then_up,positive,up
2022-11-03,2.24,-0.6,1.63,pos_then_down,positive,down
2023-02-23,-0.88,1.54,0.64,neg_then_up,negative,up
2023-05-04,1.48,1.95,3.46,pos_then_up,positive,up
2023-08-03,0.35,-1.85,-1.5,pos_then_down,positive,down
2023-11-02,0.83,-4.17,-3.37,pos_then_down,positive,down
2024-02-22,1.11,-0.48,0.63,pos_then_down,positive,down
2024-05-02,0.96,-0.44,0.52,pos_then_down,positive,down
2024-08-01,-2.82,-2.73,-5.48,neg_then_down,negative,down
2024-10-31,1.29,-0.66,0.62,pos_then_down,positive,down
2025-02-20,3.46,-7.4,-4.2,pos_then_down,positive,down
2025-05-01,1.03,-1.26,-0.25,pos_then_down,positive,down
2025-07-31,-3.33,0.65,-2.7,neg_then_up,negative,up
2025-10-30,0.36,-1.39,-1.04,pos_then_down,positive,down
