date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2015-10-28,-4.9,-1.67,3.4,neg_then_up,negative,up
2016-01-27,6.46,8.39,1.81,pos_then_up,positive,up
2016-04-12,1.19,2.62,1.41,pos_then_up,positive,up
2016-07-21,-7.05,-6.75,0.32,neg_then_up,negative,up
2016-10-20,4.39,10.13,5.5,pos_then_up,positive,up
2017-01-26,-1.2,-2.96,-1.78,neg_then_down,negative,down
2017-04-26,6.39,6.17,-0.21,pos_then_down,positive,down
2017-07-26,3.76,2.31,-1.39,pos_then_down,positive,down
2017-10-19,6.07,5.53,-0.5,pos_then_down,positive,down
2018-01-31,-6.29,-8.11,-1.94,neg_then_down,negative,down
2018-04-25,3.14,2.74,-0.38,pos_then_down,positive,down
2018-07-25,-3.13,-2.44,0.71,neg_then_up,negative,up
2018-10-18,8.09,9.42,1.23,pos_then_up,positive,up
2019-01-30,-3.68,-3.96,-0.29,neg_then_down,negative,down
2019-04-09,0.21,0.54,0.34,pos_then_up,positive,up
2019-07-09,0.63,1.07,0.44,pos_then_up,positive,up
2019-10-08,0.11,0.56,0.45,pos_then_up,positive,up
2020-01-09,0.95,0.32,-0.62,pos_then_down,positive,down
2020-04-09,-0.94,0.13,1.08,neg_then_up,negative,up
2020-07-29,3.91,4.28,0.36,pos_then_up,positive,up
2020-11-02,-5.23,-4.23,1.05,neg_then_up,negative,up
2021-02-03,5.34,7.36,1.92,pos_then_up,positive,up
2021-05-05,3.48,1.87,-1.55,pos_then_down,positive,down
2021-07-28,-5.5,-6.23,-0.77,neg_then_down,negative,down
2021-11-08,-7.42,-10.46,-3.29,neg_then_down,negative,down
2022-02-01,-20.43,-24.59,-5.23,neg_then_down,negative,down
2022-04-27,2.97,11.48,8.26,pos_then_up,positive,up
2022-08-02,12.84,9.25,-3.18,pos_then_down,positive,down
2022-11-03,-2.02,-1.79,0.24,neg_then_up,negative,up
2023-02-09,1.21,3.03,1.8,pos_then_up,positive,up
2023-05-08,-7.93,-12.73,-5.21,neg_then_down,negative,down
2023-08-02,-8.88,-12.32,-3.78,neg_then_down,negative,down
2023-11-01,6.56,6.58,0.02,pos_then_up,positive,up
2024-02-07,-8.32,-11.24,-3.19,neg_then_down,negative,down
2024-04-30,-1.35,-2.62,-1.28,neg_then_down,negative,down
2024-07-30,1.56,2.78,1.2,pos_then_up,positive,up
2024-10-29,-1.56,-2.57,-1.02,neg_then_down,negative,down
2025-02-04,0.62,1.9,1.27,pos_then_up,positive,up
2025-04-29,-1.76,-0.72,1.05,neg_then_up,negative,up
2025-07-29,1.04,-2.44,-3.44,pos_then_down,positive,down
2025-10-28,-0.44,-4.57,-4.15,neg_then_down,negative,down
