date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-11-03,-4.01,-0.52,-4.51,neg_then_down,negative,down
2005-01-19,-6.57,-1.54,-8.01,neg_then_down,negative,down
2005-04-20,-0.48,5.02,4.52,neg_then_up,negative,up
2005-07-20,3.88,4.05,8.09,pos_then_up,positive,up
2005-11-02,5.75,3.09,9.01,pos_then_up,positive,up
2006-01-25,-1.77,1.63,-0.17,neg_then_up,negative,up
2006-04-19,-0.36,-0.9,-1.26,neg_then_down,negative,down
2006-07-19,-1.28,-1.13,-2.4,neg_then_down,negative,down
2006-11-02,-0.19,0.5,0.3,neg_then_up,negative,up
2007-01-24,3.26,-4.31,-1.19,pos_then_down,positive,down
2007-04-25,1.9,-1.95,-0.09,pos_then_down,positive,down
2007-07-25,-0.59,-0.28,-0.87,neg_then_down,negative,down
2007-11-08,-7.37,3.45,-4.18,neg_then_up,negative,up
2008-01-23,7.51,2.62,10.32,pos_then_up,positive,up
2008-04-23,-0.05,3.08,3.03,neg_then_up,negative,up
2008-07-24,0.76,3.07,3.85,pos_then_up,positive,up
2008-11-06,3.81,3.93,7.9,pos_then_up,positive,up
2009-01-28,-6.57,2.12,-4.59,neg_then_up,negative,up
2009-04-23,0.27,1.27,1.55,pos_then_up,positive,up
2009-07-22,-4.35,2.29,-2.17,neg_then_up,negative,up
2009-11-04,3.49,1.86,5.41,pos_then_up,positive,up
2010-01-27,-10.78,-3.87,-14.24,neg_then_down,negative,down
2010-04-21,-6.76,-1.06,-7.74,neg_then_down,negative,down
2010-07-21,6.03,2.01,8.16,pos_then_up,positive,up
2010-11-03,6.39,-0.56,5.8,pos_then_down,positive,down
2011-01-26,4.51,1.29,5.86,pos_then_up,positive,up
2011-04-20,3.58,-0.54,3.02,pos_then_down,positive,down
2011-07-20,-2.27,1.68,-0.63,neg_then_up,negative,up
2011-11-02,7.86,-0.3,7.53,pos_then_down,positive,down
2012-02-01,2.47,-0.49,1.96,pos_then_down,positive,down
2012-04-18,-5.25,-1.43,-6.61,neg_then_down,negative,down
2012-07-18,5.0,-0.7,4.26,pos_then_down,positive,down
2012-11-07,7.98,-3.33,4.39,pos_then_down,positive,down
2013-01-30,5.6,-1.59,3.92,pos_then_down,positive,down
2013-04-24,-4.83,-0.59,-5.39,neg_then_down,negative,down
2013-07-24,3.42,-0.11,3.31,pos_then_down,positive,down
2013-11-06,-4.17,0.39,-3.8,neg_then_up,negative,up
2014-01-29,2.15,0.84,3.01,pos_then_up,positive,up
2014-04-23,-3.98,0.48,-3.52,neg_then_up,negative,up
2014-07-23,-4.9,-1.84,-6.65,neg_then_down,negative,down
2014-11-05,-7.99,-0.63,-8.58,neg_then_down,negative,down
2015-01-28,-7.72,-2.78,-10.28,neg_then_down,negative,down
2015-04-22,-2.31,1.47,-0.87,neg_then_up,negative,up
2015-07-22,-2.52,-1.26,-3.75,neg_then_down,negative,down
2015-11-04,-5.86,-9.98,-15.25,neg_then_down,negative,down
2016-01-27,-3.64,-4.83,-8.29,neg_then_down,negative,down
2016-04-20,-1.52,0.72,-0.81,neg_then_up,negative,up
2016-07-20,7.13,0.22,7.36,pos_then_up,positive,up
2016-11-02,0.89,-1.09,-0.21,pos_then_down,positive,down
2017-01-25,-2.72,-2.35,-5.01,neg_then_down,negative,down
2017-04-19,1.16,-1.05,0.1,pos_then_down,positive,down
2017-07-19,-2.94,-2.07,-4.95,neg_then_down,negative,down
2017-11-01,0.26,2.31,2.58,pos_then_up,positive,up
2018-01-31,-1.83,-0.3,-2.12,neg_then_down,negative,down
2018-04-25,-0.46,1.92,1.45,neg_then_up,negative,up
2018-07-25,6.11,0.84,7.0,pos_then_up,positive,up
2018-11-07,-8.24,0.09,-8.16,neg_then_up,negative,up
2019-01-30,2.05,-3.28,-1.3,pos_then_down,positive,down
2019-05-01,1.31,-0.41,0.89,pos_then_down,positive,down
2019-07-31,-5.85,3.37,-2.68,neg_then_up,negative,up
2019-11-06,6.14,0.17,6.32,pos_then_up,positive,up
2020-02-05,-3.13,2.9,-0.33,neg_then_up,negative,up
2020-04-29,1.65,-1.99,-0.38,pos_then_down,positive,down
2020-07-29,10.09,4.66,15.22,pos_then_up,positive,up
