date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-11-08,0.4,3.24,2.83,pos_then_up,positive,up
2005-02-03,6.62,14.02,6.94,pos_then_up,positive,up
2005-05-05,-1.98,0.08,2.11,neg_then_up,negative,up
2005-08-22,4.56,10.21,5.4,pos_then_up,positive,up
2005-11-02,4.39,4.47,0.08,pos_then_up,positive,up
2006-02-07,3.61,-2.63,-6.02,pos_then_down,positive,down
2006-05-04,4.98,11.43,6.15,pos_then_up,positive,up
2006-08-17,-3.76,-7.31,-3.69,neg_then_down,negative,down
2006-11-08,5.53,5.12,-0.39,pos_then_down,positive,down
2007-02-06,-4.75,-7.56,-2.95,neg_then_down,negative,down
2007-04-23,-14.37,-9.85,5.28,neg_then_up,negative,up
2007-08-07,-6.17,-1.65,4.81,neg_then_up,negative,up
2007-11-01,5.55,4.31,-1.18,pos_then_down,positive,down
2008-02-07,-5.87,-2.19,3.91,neg_then_up,negative,up
2008-05-01,1.07,-1.19,-2.24,pos_then_down,positive,down
2008-08-05,8.94,12.65,3.41,pos_then_up,positive,up
2008-11-06,3.52,9.99,6.26,pos_then_up,positive,up
2009-02-05,4.9,6.52,1.54,pos_then_up,positive,up
2009-05-07,1.23,4.51,3.24,pos_then_up,positive,up
2009-08-06,4.95,7.76,2.68,pos_then_up,positive,up
2009-11-05,-2.66,-5.23,-2.65,neg_then_down,negative,down
2010-02-04,7.99,7.8,-0.18,pos_then_down,positive,down
2010-04-29,6.95,10.93,3.71,pos_then_up,positive,up
2010-08-05,-2.9,-4.48,-1.63,neg_then_down,negative,down
2010-10-28,3.94,-0.44,-4.21,pos_then_down,positive,down
2011-01-27,-5.63,-5.96,-0.35,neg_then_down,negative,down
2011-04-28,-4.02,-5.12,-1.15,neg_then_down,negative,down
2011-08-04,0.96,0.18,-0.77,pos_then_down,positive,down
2011-10-24,-16.15,-13.66,2.97,neg_then_up,negative,up
2012-01-26,6.73,10.47,3.51,pos_then_up,positive,up
2012-04-26,6.55,6.43,-0.12,pos_then_down,positive,down
2012-08-02,8.73,12.0,3.0,pos_then_up,positive,up
2012-10-25,-0.48,-3.43,-2.97,neg_then_down,negative,down
2013-01-24,3.06,6.25,3.09,pos_then_up,positive,up
2013-04-25,-0.07,1.38,1.45,neg_then_up,negative,up
2013-08-01,4.03,-1.01,-4.85,pos_then_down,positive,down
2013-10-24,-9.48,-12.0,-2.79,neg_then_down,negative,down
2014-01-23,-7.66,-6.4,1.36,neg_then_up,negative,up
2014-04-23,3.81,1.41,-2.31,pos_then_down,positive,down
2014-07-31,-10.15,-3.98,6.86,neg_then_up,negative,up
2014-10-23,9.87,9.06,-0.74,pos_then_down,positive,down
2015-01-22,3.44,5.46,1.95,pos_then_up,positive,up
2015-04-23,-9.1,-10.47,-1.5,neg_then_down,negative,down
2015-07-30,0.68,3.26,2.57,pos_then_up,positive,up
2015-10-22,1.48,1.35,-0.12,pos_then_down,positive,down
2016-01-21,6.62,6.53,-0.09,pos_then_down,positive,down
2016-04-26,-5.02,-7.05,-2.14,neg_then_down,negative,down
2016-07-28,4.26,4.84,0.55,pos_then_up,positive,up
2016-10-25,-2.64,-5.58,-3.03,neg_then_down,negative,down
2017-01-23,8.62,9.62,0.93,pos_then_up,positive,up
2017-04-27,-7.76,-6.67,1.18,neg_then_up,negative,up
2017-10-26,4.16,7.39,3.1,pos_then_up,positive,up
2018-01-22,12.82,14.67,1.64,pos_then_up,positive,up
2018-04-26,0.44,-2.89,-3.32,pos_then_down,positive,down
2018-08-02,-2.2,-3.56,-1.39,neg_then_down,negative,down
2018-10-25,2.48,5.69,3.13,pos_then_up,positive,up
2019-01-24,-14.4,-19.39,-5.83,neg_then_down,negative,down
2019-05-02,5.98,6.56,0.55,pos_then_up,positive,up
2019-07-25,4.97,2.45,-2.41,pos_then_down,positive,down
2019-10-24,13.52,12.94,-0.51,pos_then_down,positive,down
2020-01-30,-0.64,-3.91,-3.29,neg_then_down,negative,down
2020-04-30,1.08,2.41,1.32,pos_then_up,positive,up
2020-08-05,-6.39,-13.52,-7.62,neg_then_down,negative,down
2020-10-29,9.07,6.92,-1.97,pos_then_down,positive,down
2021-01-28,-1.5,-6.65,-5.23,neg_then_down,negative,down
2021-04-29,-4.77,-9.59,-5.07,neg_then_down,negative,down
2021-08-05,1.73,2.73,0.99,pos_then_up,positive,up
2021-10-28,1.05,-2.14,-3.15,pos_then_down,positive,down
2022-01-27,-1.46,-3.9,-2.47,neg_then_down,negative,down
2022-04-28,-6.8,-6.34,0.49,neg_then_up,negative,up
2022-08-11,-1.46,-0.36,1.12,neg_then_up,negative,up
2022-10-27,-7.39,-5.84,1.68,neg_then_up,negative,up
2023-01-26,1.44,-3.26,-4.64,pos_then_down,positive,down
2023-04-27,1.33,6.95,5.55,pos_then_up,positive,up
2023-08-03,-9.75,-18.5,-9.7,neg_then_down,negative,down
2023-10-26,4.39,-2.94,-7.02,pos_then_down,positive,down
2024-01-24,10.35,8.48,-1.69,pos_then_down,positive,down
2024-04-25,10.69,18.89,7.41,pos_then_up,positive,up
2024-08-01,-2.13,4.23,6.5,neg_then_up,negative,up
2024-10-24,8.76,7.12,-1.51,pos_then_down,positive,down
2025-01-30,0.14,-8.33,-8.46,pos_then_down,positive,down
2025-04-23,8.74,10.1,1.25,pos_then_up,positive,up
2025-07-31,3.66,2.67,-0.96,pos_then_down,positive,down
2025-10-30,0.89,-2.13,-3.0,pos_then_down,positive,down
