date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-11-13,-1.52,-2.82,-1.32,neg_then_down,negative,down
2004-01-21,1.14,2.09,0.93,pos_then_up,positive,up
2004-04-21,2.34,4.92,2.52,pos_then_up,positive,up
2004-07-21,2.13,4.64,2.47,pos_then_up,positive,up
2004-11-10,-3.49,0.27,3.9,neg_then_up,negative,up
2005-01-26,-0.98,-4.17,-3.23,neg_then_down,negative,down
2005-04-27,4.44,4.63,0.19,pos_then_up,positive,up
2005-07-27,6.38,4.63,-1.64,pos_then_down,positive,down
2005-11-17,0.86,-0.77,-1.62,pos_then_down,positive,down
2006-02-01,5.71,9.69,3.77,pos_then_up,positive,up
2006-05-03,-0.16,3.86,4.02,neg_then_up,negative,up
2006-08-02,-12.64,-7.99,5.33,neg_then_up,negative,up
2006-11-16,-6.11,-5.1,1.08,neg_then_up,negative,up
2007-01-31,0.54,-1.52,-2.05,pos_then_down,positive,down
2007-05-03,0.79,-2.91,-3.67,pos_then_down,positive,down
2007-08-01,1.84,-1.03,-2.82,pos_then_down,positive,down
2007-11-15,-9.25,-3.86,5.94,neg_then_up,negative,up
2008-01-30,-5.46,-1.61,4.07,neg_then_up,negative,up
2008-04-24,1.0,-0.81,-1.8,pos_then_down,positive,down
2008-07-30,-0.82,0.14,0.96,neg_then_up,negative,up
2008-11-10,-6.86,-2.06,5.16,neg_then_up,negative,up
2009-01-28,-4.15,0.0,4.32,neg_then_up,negative,up
2009-05-01,1.45,3.19,1.71,pos_then_up,positive,up
2009-07-21,8.92,18.38,8.69,pos_then_up,positive,up
2009-11-05,3.55,7.21,3.53,pos_then_up,positive,up
2010-01-20,3.56,1.67,-1.82,pos_then_down,positive,down
2010-04-21,2.32,7.33,4.89,pos_then_up,positive,up
2010-07-21,-1.51,-0.08,1.45,neg_then_up,negative,up
2010-11-04,2.76,3.76,0.98,pos_then_up,positive,up
2011-01-26,-2.27,-0.12,2.2,neg_then_up,negative,up
2011-04-27,-1.86,-0.83,1.04,neg_then_up,negative,up
2011-07-28,-0.23,0.28,0.5,neg_then_up,negative,up
2011-11-03,3.67,6.74,2.96,pos_then_up,positive,up
2012-01-26,-0.93,-1.01,-0.08,neg_then_down,negative,down
2012-04-26,-3.94,-5.32,-1.44,neg_then_down,negative,down
2012-07-26,-10.5,-9.41,1.22,neg_then_up,negative,up
2012-11-01,8.37,9.05,0.63,pos_then_up,positive,up
2013-01-24,3.87,4.1,0.23,pos_then_up,positive,up
2013-04-25,-1.98,-0.83,1.18,neg_then_up,negative,up
2013-07-25,6.5,7.61,1.05,pos_then_up,positive,up
2013-10-30,-2.65,0.27,3.0,neg_then_up,negative,up
2014-01-23,1.83,2.17,0.33,pos_then_up,positive,up
2014-04-24,1.28,0.51,-0.76,pos_then_down,positive,down
2014-07-24,-2.55,-2.13,0.43,neg_then_up,negative,up
2014-10-30,-2.68,-2.28,0.41,neg_then_up,negative,up
2015-01-22,4.54,6.62,1.99,pos_then_up,positive,up
2015-04-23,3.82,4.88,1.01,pos_then_up,positive,up
2015-07-23,4.53,1.29,-3.1,pos_then_down,positive,down
2015-10-29,1.9,0.11,-1.76,pos_then_down,positive,down
2016-01-21,-2.51,0.24,2.81,neg_then_up,negative,up
2016-04-21,-2.69,-4.88,-2.25,neg_then_down,negative,down
2016-11-03,-0.66,1.89,2.57,neg_then_up,negative,up
2017-01-26,-4.64,-4.0,0.66,neg_then_up,negative,up
2017-04-27,-3.08,-2.02,1.09,neg_then_up,negative,up
2017-07-27,-7.18,-9.24,-2.23,neg_then_down,negative,down
2017-11-02,-1.29,2.11,3.45,neg_then_up,negative,up
2018-01-25,-4.31,-4.23,0.09,neg_then_up,negative,up
2018-04-26,-2.21,-1.72,0.5,neg_then_up,negative,up
2018-07-26,0.1,1.36,1.26,pos_then_up,positive,up
2018-11-01,5.73,9.7,3.76,pos_then_up,positive,up
2019-01-24,3.54,3.63,0.09,pos_then_up,positive,up
2019-04-25,-0.21,0.44,0.65,neg_then_up,negative,up
2019-07-25,5.96,8.94,2.81,pos_then_up,positive,up
2019-10-30,2.99,0.44,-2.48,pos_then_down,positive,down
2020-01-28,-0.51,-2.12,-1.62,neg_then_down,negative,down
2020-04-08,-0.52,3.23,3.76,neg_then_up,negative,up
2020-07-28,3.91,3.72,-0.18,pos_then_down,positive,down
2020-10-29,-0.62,-1.52,-0.9,neg_then_down,negative,down
2021-01-26,-3.07,-6.51,-3.56,neg_then_down,negative,down
2021-04-27,-2.33,-3.23,-0.92,neg_then_down,negative,down
2021-07-27,-2.75,-2.87,-0.12,neg_then_down,negative,down
2021-10-28,-5.04,-6.3,-1.33,neg_then_down,negative,down
2022-02-01,-3.0,-1.04,2.01,neg_then_up,negative,up
2022-05-03,6.7,9.83,2.94,pos_then_up,positive,up
2022-08-02,2.75,4.25,1.46,pos_then_up,positive,up
2022-11-03,8.62,8.48,-0.13,pos_then_down,positive,down
2023-02-02,-4.19,-4.44,-0.27,neg_then_down,negative,down
2023-05-02,-4.7,-9.17,-4.69,neg_then_down,negative,down
2023-08-01,-0.75,0.86,1.62,neg_then_up,negative,up
2023-11-02,0.61,2.64,2.02,pos_then_up,positive,up
2024-01-30,4.46,-1.12,-5.34,pos_then_down,positive,down
2024-04-30,-14.32,-15.88,-1.82,neg_then_down,negative,down
2024-07-30,4.75,2.65,-2.01,pos_then_down,positive,down
2024-10-22,-3.05,0.86,4.03,neg_then_up,negative,up
2025-01-28,2.28,8.14,5.73,pos_then_up,positive,up
2025-04-29,-9.99,-5.66,4.82,neg_then_up,negative,up
2025-07-29,5.24,-0.22,-5.18,pos_then_down,positive,down
2025-10-29,-2.3,-1.21,1.12,neg_then_up,negative,up
