date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-21,-2.3,-4.0,-1.75,neg_then_down,negative,down
2004-01-22,0.3,0.91,0.61,pos_then_up,positive,up
2004-10-15,0.33,-1.0,-1.33,pos_then_down,positive,down
2005-01-18,1.84,-1.32,-3.1,pos_then_down,positive,down
2005-07-18,0.22,2.92,2.69,pos_then_up,positive,up
2005-10-17,0.07,-0.97,-1.05,pos_then_down,positive,down
2006-01-18,1.71,2.46,0.74,pos_then_up,positive,up
2006-04-17,0.75,1.15,0.4,pos_then_up,positive,up
2006-07-18,0.56,4.31,3.74,pos_then_up,positive,up
2006-10-16,-0.58,-2.28,-1.71,neg_then_down,negative,down
2007-01-17,-0.76,-2.54,-1.79,neg_then_down,negative,down
2007-04-17,-0.26,1.26,1.53,neg_then_up,negative,up
2007-07-17,0.58,-1.98,-2.55,pos_then_down,positive,down
2007-10-15,0.09,0.4,0.31,pos_then_up,positive,up
2008-01-16,-1.18,-3.77,-2.62,neg_then_down,negative,down
2008-04-15,0.05,0.65,0.6,pos_then_up,positive,up
2008-07-16,2.28,3.69,1.38,pos_then_up,positive,up
2008-10-15,0.85,4.66,3.78,pos_then_up,positive,up
2009-01-16,0.74,-7.68,-8.36,pos_then_down,positive,down
2009-04-15,1.05,-2.77,-3.78,pos_then_down,positive,down
2009-07-16,-1.42,-3.23,-1.84,neg_then_down,negative,down
2009-10-15,-0.76,-0.82,-0.05,neg_then_down,negative,down
2010-01-19,-2.64,-1.4,1.28,neg_then_up,negative,up
2010-04-15,-0.47,-1.76,-1.3,neg_then_down,negative,down
2010-07-16,0.53,0.2,-0.33,pos_then_down,positive,down
2010-10-15,0.69,3.31,2.6,pos_then_up,positive,up
2011-04-15,-1.13,-3.06,-1.96,neg_then_down,negative,down
2011-07-18,0.33,1.67,1.33,pos_then_up,positive,up
2011-10-17,0.17,2.09,1.92,pos_then_up,positive,up
2012-01-18,0.5,3.66,3.15,pos_then_up,positive,up
2012-04-16,0.29,1.75,1.45,pos_then_up,positive,up
2012-07-17,-0.15,-0.08,0.08,neg_then_up,negative,up
2012-10-15,0.08,2.23,2.15,pos_then_up,positive,up
2013-01-16,0.8,1.33,0.53,pos_then_up,positive,up
2013-04-15,0.84,2.05,1.19,pos_then_up,positive,up
2013-07-16,0.38,-0.24,-0.62,pos_then_down,positive,down
2013-10-15,1.09,1.74,0.64,pos_then_up,positive,up
2014-01-16,0.04,-0.11,-0.15,pos_then_down,positive,down
2014-04-15,1.91,2.8,0.86,pos_then_up,positive,up
2014-07-16,-0.87,-1.63,-0.77,neg_then_down,negative,down
2014-10-15,-4.07,0.71,4.98,neg_then_up,negative,up
2015-01-16,0.37,-0.56,-0.93,pos_then_down,positive,down
2015-10-15,1.01,0.28,-0.73,pos_then_down,positive,down
2016-01-19,-2.34,-4.68,-2.39,neg_then_down,negative,down
2016-04-15,-0.35,1.12,1.48,neg_then_up,negative,up
2016-10-17,2.18,1.64,-0.53,pos_then_down,positive,down
2017-01-18,0.68,0.83,0.14,pos_then_up,positive,up
2017-04-18,1.11,0.98,-0.13,pos_then_down,positive,down
2017-07-18,0.47,-1.61,-2.07,pos_then_down,positive,down
2017-10-16,0.7,-2.43,-3.1,pos_then_down,positive,down
2018-01-17,-0.55,-1.35,-0.81,neg_then_down,negative,down
2018-04-16,0.85,1.0,0.15,pos_then_up,positive,up
2018-07-17,0.49,2.53,2.03,pos_then_up,positive,up
2018-10-15,0.88,1.24,0.35,pos_then_up,positive,up
2019-01-16,-0.71,0.47,1.19,neg_then_up,negative,up
2019-04-15,0.51,1.4,0.88,pos_then_up,positive,up
2019-07-16,-0.41,-1.01,-0.6,neg_then_down,negative,down
2019-10-15,-2.67,-1.81,0.88,neg_then_up,negative,up
2020-01-16,0.2,-1.35,-1.55,pos_then_down,positive,down
2020-04-15,-1.59,-0.2,1.41,neg_then_up,negative,up
2020-10-15,0.64,0.67,0.03,pos_then_up,positive,up
2021-01-19,0.2,-1.05,-1.25,pos_then_down,positive,down
2021-04-15,0.37,-1.16,-1.52,pos_then_down,positive,down
2021-07-16,-2.22,-3.21,-1.01,neg_then_down,negative,down
2021-10-15,-0.19,-0.43,-0.25,neg_then_down,negative,down
2022-01-18,0.91,-0.71,-1.6,pos_then_down,positive,down
2022-04-18,0.13,2.62,2.48,pos_then_up,positive,up
2022-07-18,1.16,3.2,2.02,pos_then_up,positive,up
2022-10-17,3.28,1.75,-1.48,pos_then_down,positive,down
2023-01-18,-4.19,-6.22,-2.12,neg_then_down,negative,down
2023-04-17,-0.51,2.33,2.86,neg_then_up,negative,up
2023-07-18,2.82,0.05,-2.7,pos_then_down,positive,down
2023-10-16,-0.87,-0.06,0.83,neg_then_up,negative,up
2024-01-17,-0.35,-1.15,-0.81,neg_then_down,negative,down
2024-04-15,0.38,2.58,2.2,pos_then_up,positive,up
2024-07-16,-1.74,-5.38,-3.71,neg_then_down,negative,down
2024-10-15,1.0,0.17,-0.83,pos_then_down,positive,down
2025-01-21,0.19,-0.41,-0.59,pos_then_down,positive,down
2025-04-17,-0.67,-1.58,-0.91,neg_then_down,negative,down
2025-07-18,0.23,0.47,0.24,pos_then_up,positive,up
2025-10-16,1.4,0.78,-0.61,pos_then_down,positive,down
