date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-22,-0.81,0.06,-0.74,neg_then_up,negative,up
2005-01-25,0.03,0.65,0.68,pos_then_up,positive,up
2005-04-26,-0.39,-1.63,-2.01,neg_then_down,negative,down
2006-01-20,0.82,2.23,3.07,pos_then_up,positive,up
2006-04-21,0.2,0.03,0.23,pos_then_up,positive,up
2006-07-21,0.49,4.4,4.91,pos_then_up,positive,up
2006-10-20,-0.17,1.38,1.21,neg_then_up,negative,up
2007-01-19,0.98,-0.97,0.0,pos_then_down,positive,down
2007-04-20,0.17,-1.07,-0.9,pos_then_down,positive,down
2007-07-20,1.98,-2.3,-0.37,pos_then_down,positive,down
2007-10-19,-1.69,-2.36,-4.01,neg_then_down,negative,down
2008-01-18,-6.4,3.57,-3.06,neg_then_up,negative,up
2008-04-18,0.44,4.51,4.97,pos_then_up,positive,up
2008-07-18,0.93,4.52,5.5,pos_then_up,positive,up
2008-10-17,3.6,7.63,11.5,pos_then_up,positive,up
2009-01-23,0.15,2.07,2.21,pos_then_up,positive,up
2009-04-24,-3.6,0.92,-2.71,neg_then_up,negative,up
2009-07-24,0.05,-1.53,-1.48,pos_then_down,positive,down
2009-10-23,-0.09,-1.29,-1.38,neg_then_down,negative,down
2010-01-22,0.69,0.18,0.87,pos_then_up,positive,up
2010-04-23,-0.11,0.12,0.01,neg_then_up,negative,up
2010-07-23,0.51,-1.34,-0.84,pos_then_down,positive,down
2011-01-21,0.62,0.3,0.92,pos_then_up,positive,up
2011-04-21,-0.25,-1.69,-1.93,neg_then_down,negative,down
2011-07-22,-1.13,2.1,0.95,neg_then_up,negative,up
2011-10-21,0.59,3.1,3.71,pos_then_up,positive,up
2012-01-20,0.57,-0.08,0.49,pos_then_down,positive,down
2012-04-20,-1.3,0.59,-0.71,neg_then_up,negative,up
2012-07-20,-1.38,1.73,0.32,neg_then_up,negative,up
2012-10-19,-0.5,-0.64,-1.14,neg_then_down,negative,down
2013-01-18,0.09,1.87,1.96,pos_then_up,positive,up
2013-04-19,1.52,0.31,1.83,pos_then_up,positive,up
2013-07-19,-0.46,1.76,1.29,neg_then_up,negative,up
2013-10-18,0.14,-0.68,-0.54,pos_then_down,positive,down
2014-01-17,1.1,-0.12,0.98,pos_then_down,positive,down
2014-04-17,0.42,1.47,1.89,pos_then_up,positive,up
2014-07-17,-0.99,-1.0,-1.99,neg_then_down,negative,down
2014-10-16,7.36,-3.43,3.67,pos_then_down,positive,down
2015-01-15,1.11,4.97,6.13,pos_then_up,positive,up
2015-04-16,2.42,-1.33,1.06,pos_then_down,positive,down
2015-07-16,0.38,-0.59,-0.21,pos_then_down,positive,down
2015-10-15,-0.54,-1.64,-2.17,neg_then_down,negative,down
2016-01-21,5.0,1.05,6.1,pos_then_up,positive,up
2016-04-21,-3.18,2.84,-0.42,neg_then_up,negative,up
2016-10-20,-1.37,-1.69,-3.04,neg_then_down,negative,down
2017-01-20,-0.74,-1.84,-2.57,neg_then_down,negative,down
2017-04-21,0.21,-1.2,-0.99,pos_then_down,positive,down
2017-07-21,0.23,-0.39,-0.17,pos_then_down,positive,down
2018-01-19,0.81,3.57,4.41,pos_then_up,positive,up
2018-04-20,-0.77,0.31,-0.46,neg_then_up,negative,up
2018-07-20,-0.18,-0.35,-0.53,neg_then_down,negative,down
2018-10-19,-0.03,-2.81,-2.84,neg_then_down,negative,down
2019-01-18,-1.88,0.16,-1.72,neg_then_up,negative,up
2019-04-18,0.18,0.46,0.64,pos_then_up,positive,up
2019-07-19,1.06,0.95,2.01,pos_then_up,positive,up
2019-10-18,-0.28,4.25,3.96,neg_then_up,negative,up
2020-01-17,-1.93,-1.81,-3.7,neg_then_down,negative,down
2020-04-17,-7.92,8.1,-0.46,neg_then_up,negative,up
2020-07-24,1.13,-0.1,1.03,pos_then_down,positive,down
2020-10-16,1.27,-0.99,0.27,pos_then_down,positive,down
2021-01-22,-0.16,-2.59,-2.74,neg_then_down,negative,down
2021-04-23,0.58,1.97,2.57,pos_then_up,positive,up
2021-07-23,2.32,1.34,3.7,pos_then_up,positive,up
2021-10-22,1.53,-0.2,1.33,pos_then_down,positive,down
2022-01-21,-2.94,3.71,0.66,neg_then_up,negative,up
2022-04-22,-3.96,-3.28,-7.11,neg_then_down,negative,down
2022-07-22,1.65,1.46,3.14,pos_then_up,positive,up
2022-10-21,-0.69,4.17,3.45,neg_then_up,negative,up
2023-01-20,0.26,-2.85,-2.6,pos_then_down,positive,down
2023-04-21,-0.58,1.43,0.84,neg_then_up,negative,up
2023-07-21,0.37,1.42,1.8,pos_then_up,positive,up
2023-10-20,0.31,0.77,1.08,pos_then_up,positive,up
2024-01-19,-0.16,2.26,2.1,neg_then_up,negative,up
2024-04-19,-0.96,0.28,-0.68,neg_then_up,negative,up
2024-07-19,-0.66,0.2,-0.46,neg_then_up,negative,up
2024-10-18,0.38,0.83,1.22,pos_then_up,positive,up
2025-01-17,0.85,-0.48,0.37,pos_then_down,positive,down
2025-04-25,-0.09,-1.13,-1.22,neg_then_down,negative,down
2025-07-18,0.99,-0.33,0.66,pos_then_down,positive,down
