date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-01-29,-0.4,-0.33,-0.73,neg_then_down,negative,down
2004-04-28,0.17,-0.38,-0.21,pos_then_down,positive,down
2004-07-28,0.2,-0.21,-0.01,pos_then_down,positive,down
2004-10-21,-0.79,0.86,0.06,neg_then_up,negative,up
2005-01-25,0.03,1.44,1.47,pos_then_up,positive,up
2005-04-26,0.21,1.04,1.26,pos_then_up,positive,up
2005-07-26,-0.09,0.51,0.43,neg_then_up,negative,up
2005-10-25,-0.38,-0.73,-1.1,neg_then_down,negative,down
2006-01-26,-0.37,0.77,0.4,neg_then_up,negative,up
2006-04-25,0.19,-0.38,-0.19,pos_then_down,positive,down
2006-07-27,0.92,-0.82,0.09,pos_then_down,positive,down
2006-10-26,-0.77,0.47,-0.3,neg_then_up,negative,up
2007-01-25,-0.41,-0.57,-0.98,neg_then_down,negative,down
2007-04-26,-1.3,0.47,-0.83,neg_then_up,negative,up
2007-07-26,0.12,-1.2,-1.08,pos_then_down,positive,down
2007-10-25,0.8,-0.55,0.25,pos_then_down,positive,down
2008-01-30,0.06,1.0,1.06,pos_then_up,positive,up
2008-04-30,0.76,-0.46,0.3,pos_then_down,positive,down
2008-07-30,0.37,-0.53,-0.17,pos_then_down,positive,down
2008-10-23,-8.5,4.4,-4.47,neg_then_up,negative,up
2009-01-28,0.15,-0.41,-0.27,pos_then_down,positive,down
2009-04-29,0.84,-3.22,-2.41,pos_then_down,positive,down
2009-07-29,0.92,0.6,1.52,pos_then_up,positive,up
2009-10-28,0.77,-1.95,-1.19,pos_then_down,positive,down
2010-01-27,-0.16,-1.45,-1.61,neg_then_down,negative,down
2010-04-28,0.1,-0.57,-0.47,pos_then_down,positive,down
2010-07-28,-1.98,0.2,-1.78,neg_then_up,negative,up
2010-10-27,0.33,-0.42,-0.09,pos_then_down,positive,down
2011-01-26,0.05,-0.05,0.0,pos_then_down,positive,down
2011-04-27,0.19,0.88,1.07,pos_then_up,positive,up
2011-07-27,0.66,-0.58,0.08,pos_then_down,positive,down
2011-10-26,1.09,0.11,1.21,pos_then_up,positive,up
2012-01-25,0.07,0.38,0.44,pos_then_up,positive,up
2012-04-25,0.11,0.79,0.9,pos_then_up,positive,up
2012-07-25,0.27,1.16,1.43,pos_then_up,positive,up
2013-01-30,-0.09,0.52,0.43,neg_then_up,negative,up
2013-04-23,-1.44,0.17,-1.27,neg_then_up,negative,up
2013-07-30,-0.81,-0.47,-1.28,neg_then_down,negative,down
2013-10-29,-0.45,-0.71,-1.16,neg_then_down,negative,down
2014-01-28,0.56,-1.42,-0.87,pos_then_down,positive,down
2014-04-29,0.3,-1.44,-1.14,pos_then_down,positive,down
2014-07-29,0.31,-1.38,-1.07,pos_then_down,positive,down
2014-10-28,-1.31,-0.71,-2.01,neg_then_down,negative,down
2015-02-03,0.31,-2.94,-2.64,pos_then_down,positive,down
2015-04-28,-0.99,0.97,-0.02,neg_then_up,negative,up
2015-07-28,-0.32,0.39,0.07,neg_then_up,negative,up
2015-10-27,-0.31,-0.42,-0.72,neg_then_down,negative,down
2016-02-02,-0.44,-1.82,-2.26,neg_then_down,negative,down
2016-04-26,0.77,-0.08,0.69,pos_then_down,positive,down
2016-07-26,-0.57,-1.11,-1.67,neg_then_down,negative,down
2016-10-28,0.3,1.42,1.72,pos_then_up,positive,up
2017-02-22,0.02,1.37,1.39,pos_then_up,positive,up
2017-05-01,0.22,-0.38,-0.16,pos_then_down,positive,down
2017-08-02,-0.6,-0.24,-0.84,neg_then_down,negative,down
2017-11-01,0.58,1.66,2.25,pos_then_up,positive,up
2018-05-02,-0.3,0.33,0.02,neg_then_up,negative,up
2018-08-08,-1.69,1.56,-0.15,neg_then_up,negative,up
2018-11-07,0.09,-1.0,-0.91,pos_then_down,positive,down
2019-02-20,-0.82,1.8,0.97,neg_then_up,negative,up
2019-05-01,0.15,0.29,0.44,pos_then_up,positive,up
2019-07-31,0.09,1.3,1.39,pos_then_up,positive,up
2019-10-30,-0.1,0.14,0.05,neg_then_up,negative,up
2020-02-20,-0.26,-0.92,-1.17,neg_then_down,negative,down
2020-04-30,-0.97,-3.15,-4.09,neg_then_down,negative,down
2020-07-30,-0.67,-0.47,-1.14,neg_then_down,negative,down
2020-10-29,-0.05,-1.25,-1.31,neg_then_down,negative,down
2021-02-18,-0.15,-0.75,-0.9,neg_then_down,negative,down
2021-04-29,0.32,1.22,1.55,pos_then_up,positive,up
2021-07-29,-0.42,-0.5,-0.92,neg_then_down,negative,down
2021-11-04,0.37,0.59,0.96,pos_then_up,positive,up
2022-02-17,-0.51,-0.05,-0.56,neg_then_down,negative,down
2022-04-28,-0.38,-2.52,-2.9,neg_then_down,negative,down
2022-10-27,0.52,1.27,1.8,pos_then_up,positive,up
2023-02-16,-0.38,2.62,2.22,neg_then_up,negative,up
2023-04-27,0.04,0.01,0.05,pos_then_up,positive,up
2023-08-03,0.17,-1.31,-1.14,pos_then_down,positive,down
2023-10-06,0.05,1.4,1.45,pos_then_up,positive,up
2024-02-15,-0.21,0.74,0.53,neg_then_up,negative,up
2024-08-01,0.92,0.23,1.15,pos_then_up,positive,up
2024-10-31,-0.03,-2.7,-2.74,neg_then_down,negative,down
2025-02-20,-0.31,0.97,0.66,neg_then_up,negative,up
2025-05-01,-0.13,-0.32,-0.45,neg_then_down,negative,down
2025-07-31,0.8,-0.26,0.54,pos_then_down,positive,down
2025-10-30,-0.62,-0.47,-1.08,neg_then_down,negative,down
