date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-02-10,0.17,0.82,0.65,pos_then_up,positive,up
2005-04-29,0.73,0.05,-0.68,pos_then_down,positive,down
2005-10-27,1.43,4.61,3.13,pos_then_up,positive,up
2006-02-06,-0.29,-0.78,-0.49,neg_then_down,negative,down
2006-04-28,0.57,-1.05,-1.62,pos_then_down,positive,down
2006-10-30,0.44,-0.12,-0.56,pos_then_down,positive,down
2007-02-02,-0.05,1.14,1.19,neg_then_up,negative,up
2007-04-27,0.5,-1.55,-2.04,pos_then_down,positive,down
2007-07-30,3.36,0.21,-3.05,pos_then_down,positive,down
2007-10-29,0.13,3.12,2.99,pos_then_up,positive,up
2008-02-01,0.01,-1.4,-1.41,pos_then_down,positive,down
2008-04-29,-0.26,-1.61,-1.35,neg_then_down,negative,down
2008-07-28,0.53,6.46,5.9,pos_then_up,positive,up
2008-11-03,4.06,8.96,4.71,pos_then_up,positive,up
2009-01-30,-2.65,1.95,4.73,neg_then_up,negative,up
2009-05-01,1.92,9.31,7.26,pos_then_up,positive,up
2009-08-04,-1.25,3.41,4.72,neg_then_up,negative,up
2009-10-30,0.55,0.71,0.16,pos_then_up,positive,up
2010-02-05,-0.56,-3.6,-3.06,neg_then_down,negative,down
2010-04-30,1.01,4.22,3.18,pos_then_up,positive,up
2010-07-30,1.92,4.83,2.86,pos_then_up,positive,up
2011-02-04,0.25,1.51,1.25,pos_then_up,positive,up
2011-04-29,0.49,0.98,0.49,pos_then_up,positive,up
2011-07-26,-0.46,-2.6,-2.15,neg_then_down,negative,down
2011-10-25,0.54,2.05,1.49,pos_then_up,positive,up
2012-02-03,-0.2,-0.87,-0.67,neg_then_down,negative,down
2012-04-27,0.07,0.17,0.1,pos_then_up,positive,up
2012-07-24,0.85,-0.8,-1.64,pos_then_down,positive,down
2012-10-25,0.01,-0.77,-0.77,pos_then_down,positive,down
2013-02-04,0.63,-0.46,-1.09,pos_then_down,positive,down
2013-04-26,0.38,0.21,-0.17,pos_then_down,positive,down
2013-07-29,0.67,-0.82,-1.47,pos_then_down,positive,down
2013-10-25,0.13,-1.35,-1.47,pos_then_down,positive,down
2014-01-31,-0.48,-2.36,-1.89,neg_then_down,negative,down
2014-04-22,0.01,0.07,0.06,pos_then_up,positive,up
2014-07-23,0.27,0.52,0.25,pos_then_up,positive,up
2014-10-22,0.51,0.58,0.07,pos_then_up,positive,up
2015-01-30,0.19,0.38,0.19,pos_then_up,positive,up
2015-04-24,0.55,0.62,0.07,pos_then_up,positive,up
2015-07-24,0.06,0.61,0.55,pos_then_up,positive,up
2015-10-27,0.16,-0.23,-0.4,pos_then_down,positive,down
2016-01-29,-0.38,0.89,1.27,neg_then_up,negative,up
2016-04-26,0.38,0.3,-0.07,pos_then_down,positive,down
2016-07-27,0.05,1.07,1.02,pos_then_up,positive,up
2016-10-26,-0.12,-2.73,-2.61,neg_then_down,negative,down
2017-01-31,0.88,-1.22,-2.08,pos_then_down,positive,down
2017-04-27,-0.13,-1.55,-1.43,neg_then_down,negative,down
2017-08-01,-1.29,-1.95,-0.67,neg_then_down,negative,down
2017-10-27,-0.06,0.69,0.75,neg_then_up,negative,up
2018-01-31,0.15,-2.28,-2.42,pos_then_down,positive,down
2018-04-27,0.24,0.13,-0.12,pos_then_down,positive,down
2018-07-30,0.69,2.53,1.83,pos_then_up,positive,up
2018-10-25,0.14,-0.59,-0.72,pos_then_down,positive,down
2019-04-30,-0.19,2.33,2.53,neg_then_up,negative,up
2019-07-31,-0.73,-2.91,-2.19,neg_then_down,negative,down
2019-10-30,0.26,-0.33,-0.59,pos_then_down,positive,down
2020-02-04,-0.01,2.32,2.33,neg_then_up,negative,up
2020-05-11,9.55,-0.98,-9.61,pos_then_down,positive,down
2020-08-10,4.11,2.57,-1.48,pos_then_down,positive,down
2020-11-09,-3.03,-0.33,2.79,neg_then_up,negative,up
2021-02-08,3.6,3.65,0.05,pos_then_up,positive,up
2021-05-10,-3.93,-3.24,0.71,neg_then_up,negative,up
2021-08-02,2.11,2.55,0.43,pos_then_up,positive,up
2021-11-01,5.12,6.45,1.27,pos_then_up,positive,up
2022-02-07,-6.12,-4.62,1.6,neg_then_up,negative,up
2022-05-09,2.5,0.74,-1.71,pos_then_down,positive,down
2022-08-01,1.15,-2.9,-4.0,pos_then_down,positive,down
2022-11-01,-0.37,-1.96,-1.6,neg_then_down,negative,down
2023-02-06,-0.61,-2.13,-1.53,neg_then_down,negative,down
2023-05-02,0.85,-3.98,-4.79,pos_then_down,positive,down
2023-08-02,-4.38,-4.59,-0.22,neg_then_down,negative,down
2023-10-30,1.03,4.33,3.27,pos_then_up,positive,up
2024-02-05,0.51,4.82,4.29,pos_then_up,positive,up
2024-05-06,1.61,2.43,0.81,pos_then_up,positive,up
2024-08-05,1.39,5.06,3.62,pos_then_up,positive,up
2024-11-01,0.52,2.66,2.12,pos_then_up,positive,up
2025-02-04,3.01,3.32,0.31,pos_then_up,positive,up
2025-05-12,-2.15,-6.16,-4.1,neg_then_down,negative,down
2025-08-04,-2.41,3.28,5.83,neg_then_up,negative,up
2025-11-03,0.79,3.35,2.54,pos_then_up,positive,up
