date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-11-06,-0.11,-0.64,-0.53,neg_then_down,negative,down
2004-11-04,-0.03,0.54,0.57,neg_then_up,negative,up
2005-02-08,0.3,0.33,0.03,pos_then_up,positive,up
2005-05-04,0.84,-1.32,-2.13,pos_then_down,positive,down
2005-08-02,-0.54,0.65,1.2,neg_then_up,negative,up
2005-11-02,-0.12,0.07,0.19,neg_then_up,negative,up
2006-01-05,0.38,0.36,-0.02,pos_then_down,positive,down
2006-05-02,-0.53,-0.18,0.35,neg_then_up,negative,up
2006-08-03,1.0,-0.9,-1.88,pos_then_down,positive,down
2006-11-02,-0.38,-1.15,-0.77,neg_then_down,negative,down
2007-02-22,1.65,0.25,-1.38,pos_then_down,positive,down
2007-05-02,0.7,0.43,-0.27,pos_then_down,positive,down
2007-08-02,2.13,-4.29,-6.29,pos_then_down,positive,down
2007-11-01,1.33,1.68,0.34,pos_then_up,positive,up
2008-02-26,1.18,-1.47,-2.62,pos_then_down,positive,down
2008-05-02,0.09,-1.82,-1.9,pos_then_down,positive,down
2008-08-07,0.45,2.44,1.98,pos_then_up,positive,up
2008-11-10,0.66,2.0,1.33,pos_then_up,positive,up
2009-02-24,0.19,0.43,0.24,pos_then_up,positive,up
2009-05-05,-2.57,-3.42,-0.87,neg_then_down,negative,down
2009-07-31,0.32,-0.06,-0.38,pos_then_down,positive,down
2009-11-09,0.1,1.39,1.29,pos_then_up,positive,up
2010-02-25,-0.1,-2.29,-2.19,neg_then_down,negative,down
2010-04-28,0.06,-0.14,-0.2,pos_then_down,positive,down
2010-08-03,0.14,0.18,0.04,pos_then_up,positive,up
2010-11-09,-0.14,0.6,0.74,neg_then_up,negative,up
2011-02-24,0.15,0.85,0.7,pos_then_up,positive,up
2011-05-09,0.29,0.67,0.38,pos_then_up,positive,up
2011-08-09,-1.63,-4.19,-2.6,neg_then_down,negative,down
2011-11-03,-0.37,0.11,0.49,neg_then_up,negative,up
2012-05-03,0.64,0.73,0.09,pos_then_up,positive,up
2012-08-02,1.49,1.43,-0.06,pos_then_down,positive,down
2012-11-06,-0.54,-2.56,-2.03,neg_then_down,negative,down
2013-02-26,0.03,0.84,0.82,pos_then_up,positive,up
2013-05-02,0.43,0.77,0.33,pos_then_up,positive,up
2013-08-06,-0.5,0.24,0.75,neg_then_up,negative,up
2013-11-05,0.02,1.65,1.62,pos_then_up,positive,up
2014-02-27,0.18,0.39,0.21,pos_then_up,positive,up
2014-05-02,-0.11,0.52,0.63,neg_then_up,negative,up
2014-08-07,0.42,1.43,1.0,pos_then_up,positive,up
2014-11-04,0.32,2.29,1.97,pos_then_up,positive,up
2015-02-26,0.02,-0.23,-0.25,pos_then_down,positive,down
2015-08-04,1.11,0.73,-0.38,pos_then_down,positive,down
2015-11-03,-0.2,1.02,1.23,neg_then_up,negative,up
2016-02-26,-0.17,0.99,1.16,neg_then_up,negative,up
2016-05-04,-0.11,0.35,0.47,neg_then_up,negative,up
2016-08-04,-0.16,-2.95,-2.79,neg_then_down,negative,down
2016-11-02,-0.28,1.63,1.92,neg_then_up,negative,up
2017-02-28,-0.39,-0.58,-0.19,neg_then_down,negative,down
2017-05-09,0.16,0.11,-0.05,pos_then_down,positive,down
2017-10-30,0.13,0.04,-0.09,pos_then_down,positive,down
2018-02-27,0.26,-0.96,-1.22,pos_then_down,positive,down
2018-05-07,-0.52,-3.83,-3.33,neg_then_down,negative,down
2018-08-06,-0.33,0.54,0.87,neg_then_up,negative,up
2018-11-07,0.08,0.35,0.27,pos_then_up,positive,up
2019-05-07,0.5,0.04,-0.46,pos_then_down,positive,down
2019-08-02,0.25,-2.62,-2.87,pos_then_down,positive,down
2019-11-01,0.01,-0.98,-0.99,pos_then_down,positive,down
2020-02-27,-2.35,-1.16,1.22,neg_then_up,negative,up
2020-05-04,-0.97,0.08,1.07,neg_then_up,negative,up
2020-08-05,0.6,0.92,0.32,pos_then_up,positive,up
2020-11-05,0.28,-1.72,-1.99,pos_then_down,positive,down
2021-02-25,0.36,-2.6,-2.95,pos_then_down,positive,down
2021-05-05,0.24,0.83,0.59,pos_then_up,positive,up
2021-08-05,0.21,-0.46,-0.67,pos_then_down,positive,down
2021-11-05,0.4,-1.39,-1.78,pos_then_down,positive,down
2022-02-25,0.69,1.97,1.26,pos_then_up,positive,up
2022-05-05,-0.68,2.35,3.04,neg_then_up,negative,up
2022-08-04,-0.27,-1.02,-0.75,neg_then_down,negative,down
2022-11-03,1.26,1.45,0.19,pos_then_up,positive,up
2023-02-28,-0.52,-1.4,-0.88,neg_then_down,negative,down
2023-05-04,-0.32,0.93,1.25,neg_then_up,negative,up
2023-11-03,0.21,-0.65,-0.86,pos_then_down,positive,down
2024-02-27,-0.3,-0.55,-0.25,neg_then_down,negative,down
2024-05-07,-0.55,1.68,2.24,neg_then_up,negative,up
2024-08-06,0.7,0.27,-0.43,pos_then_down,positive,down
2024-11-06,-0.01,1.7,1.71,neg_then_up,negative,up
2025-02-25,-0.86,3.13,4.03,neg_then_up,negative,up
2025-05-08,-0.67,-0.46,0.21,neg_then_up,negative,up
2025-08-07,-0.15,-1.07,-0.92,neg_then_down,negative,down
2025-11-05,0.06,0.42,0.36,pos_then_up,positive,up
