date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2019-05-13,1.58,4.45,2.83,pos_then_up,positive,up
2019-08-05,4.21,5.33,1.07,pos_then_up,positive,up
2019-11-04,3.89,3.52,-0.36,pos_then_down,positive,down
2020-02-10,2.03,5.45,3.36,pos_then_up,positive,up
2020-05-13,-0.45,2.6,3.07,neg_then_up,negative,up
2020-08-03,0.32,-1.91,-2.22,pos_then_down,positive,down
2020-11-02,0.32,-2.86,-3.17,pos_then_down,positive,down
2021-02-02,-1.07,-4.3,-3.26,neg_then_down,negative,down
2021-04-27,-0.16,-0.73,-0.57,neg_then_down,negative,down
2021-08-09,0.93,1.21,0.29,pos_then_up,positive,up
2021-11-02,-0.31,-5.92,-5.63,neg_then_down,negative,down
2022-02-08,2.25,2.89,0.62,pos_then_up,positive,up
2022-05-12,0.85,-1.01,-1.84,pos_then_down,positive,down
2022-08-02,-3.09,-9.55,-6.67,neg_then_down,negative,down
2022-11-09,3.31,5.15,1.78,pos_then_up,positive,up
2023-02-08,-6.67,-10.89,-4.52,neg_then_down,negative,down
2023-05-10,5.33,9.83,4.27,pos_then_up,positive,up
2023-08-01,12.34,1.69,-9.48,pos_then_down,positive,down
2023-11-07,-1.48,-5.46,-4.04,neg_then_down,negative,down
2024-02-07,-3.48,-2.48,1.04,neg_then_up,negative,up
2024-05-08,6.14,7.57,1.35,pos_then_up,positive,up
2024-08-06,-0.48,-2.36,-1.89,neg_then_down,negative,down
2024-11-06,-1.09,-5.28,-4.24,neg_then_down,negative,down
2025-02-05,0.29,2.09,1.8,pos_then_up,positive,up
2025-05-14,5.63,8.52,2.74,pos_then_up,positive,up
2025-08-06,2.69,6.79,4.0,pos_then_up,positive,up
2025-11-05,2.0,6.94,4.85,pos_then_up,positive,up
