date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-10-20,0.15,2.65,2.5,pos_then_up,positive,up
2006-01-24,-0.89,0.81,1.72,neg_then_up,negative,up
2006-04-21,-0.11,1.44,1.55,neg_then_up,negative,up
2006-07-20,0.77,-4.93,-5.66,pos_then_down,positive,down
2006-10-19,-0.32,-0.65,-0.32,neg_then_down,negative,down
2007-01-24,2.01,4.95,2.88,pos_then_up,positive,up
2007-04-18,-0.85,0.49,1.36,neg_then_up,negative,up
2007-07-24,0.88,-3.56,-4.4,pos_then_down,positive,down
2007-10-18,-0.14,-3.56,-3.43,neg_then_down,negative,down
2008-01-29,0.63,-0.51,-1.13,pos_then_down,positive,down
2008-04-22,-2.21,-4.2,-2.04,neg_then_down,negative,down
2008-07-22,0.03,-4.83,-4.86,pos_then_down,positive,down
2009-07-27,-1.4,3.59,5.06,neg_then_up,negative,up
2009-10-20,-0.46,1.05,1.52,neg_then_up,negative,up
2010-02-04,1.01,1.35,0.33,pos_then_up,positive,up
2010-04-20,0.76,-2.46,-3.2,pos_then_down,positive,down
2010-07-20,0.91,-1.12,-2.01,pos_then_down,positive,down
2010-10-20,0.55,-0.49,-1.03,pos_then_down,positive,down
2011-01-25,0.16,3.88,3.71,pos_then_up,positive,up
2011-04-20,1.24,0.38,-0.86,pos_then_down,positive,down
2011-07-20,0.63,3.26,2.62,pos_then_up,positive,up
2011-10-20,2.13,2.3,0.17,pos_then_up,positive,up
2012-01-25,1.12,-0.75,-1.85,pos_then_down,positive,down
2012-04-20,-1.78,-0.7,1.11,neg_then_up,negative,up
2012-07-24,-0.17,-3.09,-2.93,neg_then_down,negative,down
2012-10-19,0.32,2.71,2.38,pos_then_up,positive,up
2013-01-31,0.59,1.25,0.65,pos_then_up,positive,up
2013-04-18,1.18,-0.07,-1.24,pos_then_down,positive,down
2013-07-19,0.39,0.46,0.07,pos_then_up,positive,up
2013-10-21,0.22,0.82,0.6,pos_then_up,positive,up
2014-01-29,1.33,0.66,-0.65,pos_then_down,positive,down
2014-04-21,0.44,-0.22,-0.66,pos_then_down,positive,down
2014-07-23,0.46,-0.23,-0.69,pos_then_down,positive,down
2015-01-29,-0.47,0.65,1.13,neg_then_up,negative,up
2015-04-22,-0.09,3.24,3.34,neg_then_up,negative,up
2015-07-22,1.12,-0.31,-1.41,pos_then_down,positive,down
2015-10-21,0.62,4.35,3.71,pos_then_up,positive,up
2016-01-27,1.44,4.31,2.83,pos_then_up,positive,up
2016-04-26,-1.47,2.16,3.68,neg_then_up,negative,up
2016-07-20,0.38,-1.4,-1.77,pos_then_down,positive,down
2016-10-25,1.45,1.53,0.08,pos_then_up,positive,up
2017-01-26,0.14,1.57,1.43,pos_then_up,positive,up
2017-04-24,0.93,-0.74,-1.65,pos_then_down,positive,down
2017-07-24,1.6,1.52,-0.08,pos_then_down,positive,down
2017-10-23,1.03,1.85,0.82,pos_then_up,positive,up
2018-01-24,0.6,-1.3,-1.88,pos_then_down,positive,down
2018-04-20,-0.58,-2.04,-1.47,neg_then_down,negative,down
2018-07-25,-0.85,-2.36,-1.53,neg_then_down,negative,down
2018-10-22,-2.27,-1.98,0.3,neg_then_up,negative,up
2019-04-24,0.12,-2.74,-2.86,pos_then_down,positive,down
2019-07-25,0.06,1.15,1.09,pos_then_up,positive,up
2019-10-21,0.42,4.72,4.28,pos_then_up,positive,up
2020-01-27,1.45,1.19,-0.26,pos_then_down,positive,down
2020-04-22,1.36,5.39,3.97,pos_then_up,positive,up
2020-07-22,0.51,-0.58,-1.08,pos_then_down,positive,down
2020-10-21,1.15,3.05,1.87,pos_then_up,positive,up
2021-01-28,2.39,-2.53,-4.81,pos_then_down,positive,down
2021-04-20,-0.74,2.11,2.87,neg_then_up,negative,up
2021-07-21,-0.13,-0.5,-0.37,neg_then_down,negative,down
2021-10-21,1.46,0.68,-0.77,pos_then_down,positive,down
2022-01-26,2.24,2.3,0.06,pos_then_up,positive,up
2022-04-22,-2.91,-0.31,2.68,neg_then_up,negative,up
2022-07-21,0.58,-5.84,-6.38,pos_then_down,positive,down
2022-10-20,0.61,8.49,7.83,pos_then_up,positive,up
2023-01-26,-1.06,-2.07,-1.02,neg_then_down,negative,down
2023-04-21,-0.3,-0.92,-0.62,neg_then_down,negative,down
2023-07-20,0.62,-1.83,-2.43,pos_then_down,positive,down
2023-10-19,-0.43,-0.25,0.18,neg_then_up,negative,up
2024-01-24,0.72,-0.55,-1.26,pos_then_down,positive,down
2024-04-24,-0.58,2.39,3.0,neg_then_up,negative,up
2024-07-18,0.03,-0.53,-0.57,pos_then_down,positive,down
2024-10-17,1.27,1.13,-0.15,pos_then_down,positive,down
2025-01-23,3.54,-0.02,-3.43,pos_then_down,positive,down
2025-04-23,-0.61,3.99,4.63,neg_then_up,negative,up
2025-07-22,0.88,-1.15,-2.01,pos_then_down,positive,down
2025-10-21,-0.6,-3.42,-2.83,neg_then_down,negative,down
