date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-10-06,2.33,-5.98,-8.12,pos_then_down,positive,down
2006-01-05,0.2,4.39,4.18,pos_then_up,positive,up
2006-04-06,-2.79,-5.77,-3.07,neg_then_down,negative,down
2006-06-29,0.38,-4.73,-5.09,pos_then_down,positive,down
2006-10-05,-3.31,-3.42,-0.11,neg_then_down,negative,down
2007-01-04,-1.55,-2.94,-1.41,neg_then_down,negative,down
2007-04-05,0.05,0.23,0.19,pos_then_up,positive,up
2007-06-28,-0.04,-2.8,-2.76,neg_then_down,negative,down
2007-10-04,0.2,0.0,-0.2,pos_then_down,positive,down
2008-01-08,0.53,-5.2,-5.7,pos_then_down,positive,down
2008-04-03,-0.05,0.86,0.91,neg_then_up,negative,up
2008-07-01,1.64,1.73,0.09,pos_then_up,positive,up
2008-10-02,0.91,-1.47,-2.36,pos_then_down,positive,down
2009-01-07,-0.13,-2.78,-2.65,neg_then_down,negative,down
2009-03-25,1.91,-1.43,-3.28,pos_then_down,positive,down
2009-07-01,-0.37,-2.65,-2.29,neg_then_down,negative,down
2009-10-01,-0.94,-1.25,-0.32,neg_then_down,negative,down
2010-01-07,-0.56,-1.94,-1.39,neg_then_down,negative,down
2010-04-09,0.24,4.38,4.13,pos_then_up,positive,up
2010-07-01,0.13,-1.03,-1.16,pos_then_down,positive,down
2010-10-06,0.59,0.76,0.16,pos_then_up,positive,up
2011-01-06,-1.61,-1.76,-0.15,neg_then_down,negative,down
2011-04-07,0.41,-1.19,-1.6,pos_then_down,positive,down
2011-06-30,-0.05,4.76,4.81,neg_then_up,negative,up
2011-10-06,0.93,-0.15,-1.07,pos_then_down,positive,down
2012-01-05,0.51,-0.35,-0.86,pos_then_down,positive,down
2012-04-05,-1.11,-0.28,0.84,neg_then_up,negative,up
2012-06-29,-1.18,6.47,7.74,neg_then_up,negative,up
2012-10-05,0.44,0.41,-0.03,pos_then_down,positive,down
2013-01-09,1.42,-0.39,-1.79,pos_then_down,positive,down
2013-04-10,-1.52,1.33,2.89,neg_then_up,negative,up
2013-07-02,-0.62,-1.54,-0.92,neg_then_down,negative,down
2014-01-08,0.44,1.1,0.65,pos_then_up,positive,up
2014-04-09,0.17,-0.66,-0.83,pos_then_down,positive,down
2014-07-02,0.72,0.77,0.05,pos_then_up,positive,up
2014-10-02,0.51,2.97,2.45,pos_then_up,positive,up
2015-01-08,-0.66,-0.28,0.38,neg_then_up,negative,up
2015-04-09,0.68,1.37,0.68,pos_then_up,positive,up
2015-07-01,0.76,0.94,0.18,pos_then_up,positive,up
2015-10-07,-0.04,1.58,1.62,neg_then_up,negative,up
2016-01-07,0.18,-1.74,-1.92,pos_then_down,positive,down
2016-04-06,-0.19,-1.85,-1.67,neg_then_down,negative,down
2016-06-30,0.21,-1.08,-1.29,pos_then_down,positive,down
2016-10-05,0.24,1.44,1.2,pos_then_up,positive,up
2017-01-05,0.16,1.83,1.67,pos_then_up,positive,up
2017-04-06,0.13,-0.82,-0.95,pos_then_down,positive,down
2017-06-29,0.95,0.49,-0.46,pos_then_down,positive,down
2017-10-05,0.01,0.41,0.4,pos_then_up,positive,up
2018-03-29,0.68,0.11,-0.58,pos_then_down,positive,down
2018-06-29,-1.28,-1.35,-0.07,neg_then_down,negative,down
2018-10-04,0.93,0.49,-0.44,pos_then_down,positive,down
2019-01-09,3.68,5.96,2.19,pos_then_up,positive,up
2019-04-04,0.03,0.97,0.94,pos_then_up,positive,up
2019-06-21,0.15,-1.34,-1.49,pos_then_down,positive,down
2019-10-03,0.91,-0.27,-1.16,pos_then_down,positive,down
2020-01-08,0.85,1.73,0.88,pos_then_up,positive,up
2020-04-03,4.45,7.63,3.05,pos_then_up,positive,up
2020-06-12,-2.2,2.0,4.3,neg_then_up,negative,up
2020-10-01,-0.14,0.54,0.67,neg_then_up,negative,up
2021-01-07,0.55,0.59,0.03,pos_then_up,positive,up
2021-04-08,0.23,-0.03,-0.25,pos_then_down,positive,down
2021-06-30,0.06,-0.8,-0.85,pos_then_down,positive,down
2021-10-06,0.88,2.31,1.41,pos_then_up,positive,up
2022-01-06,-0.95,0.57,1.53,neg_then_up,negative,up
2022-04-07,-0.27,0.81,1.08,neg_then_up,negative,up
2022-06-13,0.26,0.64,0.38,pos_then_up,positive,up
2022-10-06,0.35,-4.22,-4.56,pos_then_down,positive,down
2023-01-05,0.97,2.66,1.68,pos_then_up,positive,up
2023-04-06,0.58,-0.02,-0.6,pos_then_down,positive,down
2023-06-30,0.05,0.54,0.5,pos_then_up,positive,up
2023-10-05,-0.63,-1.96,-1.33,neg_then_down,negative,down
2024-01-05,0.25,1.0,0.75,pos_then_up,positive,up
2024-04-11,0.44,-2.27,-2.7,pos_then_down,positive,down
2024-09-03,-0.58,-0.07,0.51,neg_then_up,negative,up
2025-01-10,-1.67,2.26,3.99,neg_then_up,negative,up
2025-04-09,-4.07,0.74,5.01,neg_then_up,negative,up
2025-07-01,2.75,4.48,1.68,pos_then_up,positive,up
2025-09-02,-0.67,-3.15,-2.5,neg_then_down,negative,down
