date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-30,-19.74,-20.11,-0.46,neg_then_down,negative,down
2004-01-22,6.08,8.2,2.0,pos_then_up,positive,up
2004-04-29,0.64,-8.16,-8.75,pos_then_down,positive,down
2004-07-21,10.46,16.76,5.71,pos_then_up,positive,up
2004-10-27,-1.59,-7.51,-6.02,neg_then_down,negative,down
2005-01-19,-4.49,-4.37,0.13,neg_then_up,negative,up
2005-04-27,4.17,-1.89,-5.82,pos_then_down,positive,down
2005-07-21,-1.13,-1.38,-0.25,neg_then_down,negative,down
2005-10-11,-0.19,-1.36,-1.17,neg_then_down,negative,down
2006-01-25,-5.61,-10.54,-5.23,neg_then_down,negative,down
2006-04-24,-5.37,-4.84,0.55,neg_then_up,negative,up
2006-07-20,-10.55,-9.89,0.74,neg_then_up,negative,up
2006-10-02,33.79,35.38,1.18,pos_then_up,positive,up
2007-01-25,-3.57,-3.86,-0.3,neg_then_down,negative,down
2007-04-25,5.52,20.94,14.62,pos_then_up,positive,up
2007-07-18,4.48,7.64,3.02,pos_then_up,positive,up
2007-11-01,2.32,2.1,-0.22,pos_then_down,positive,down
2008-01-10,-1.89,-7.57,-5.78,neg_then_down,negative,down
2008-04-22,8.55,15.2,6.12,pos_then_up,positive,up
2008-07-17,0.37,-5.53,-5.88,pos_then_down,positive,down
2008-11-06,10.9,-1.87,-11.52,pos_then_down,positive,down
2009-02-05,18.53,34.86,13.78,pos_then_up,positive,up
2009-04-23,-3.57,-8.32,-4.93,neg_then_down,negative,down
2009-11-05,3.01,9.48,6.28,pos_then_up,positive,up
2010-01-20,-1.16,-1.43,-0.28,neg_then_down,negative,down
2010-04-29,11.21,3.63,-6.81,pos_then_down,positive,down
2010-07-22,-1.55,3.88,5.51,neg_then_up,negative,up
2010-11-04,0.34,2.07,1.73,pos_then_up,positive,up
2011-01-20,3.56,-2.8,-6.14,pos_then_down,positive,down
2011-04-28,14.1,14.36,0.22,pos_then_up,positive,up
2011-07-21,10.23,18.96,7.92,pos_then_up,positive,up
2011-11-03,-4.59,6.49,11.61,neg_then_up,negative,up
2012-01-19,5.88,11.23,5.06,pos_then_up,positive,up
2012-04-26,5.29,9.06,3.58,pos_then_up,positive,up
2012-07-18,8.78,9.5,0.66,pos_then_up,positive,up
2012-11-01,-6.94,-17.15,-10.98,neg_then_down,negative,down
2013-01-30,12.66,11.04,-1.44,pos_then_down,positive,down
2013-04-25,0.05,-2.72,-2.77,pos_then_down,positive,down
2013-07-18,8.11,6.41,-1.57,pos_then_down,positive,down
2013-10-30,7.43,5.39,-1.9,pos_then_down,positive,down
2014-01-16,10.24,6.67,-3.23,pos_then_down,positive,down
2014-07-17,8.14,14.09,5.51,pos_then_up,positive,up
2014-11-06,1.14,-3.64,-4.73,pos_then_down,positive,down
2015-01-22,-1.16,1.93,3.12,neg_then_up,negative,up
2015-04-30,3.92,6.56,2.53,pos_then_up,positive,up
2015-07-23,3.21,-5.25,-8.19,pos_then_down,positive,down
2016-01-28,6.22,6.37,0.15,pos_then_up,positive,up
2016-04-28,-1.89,-6.91,-5.11,neg_then_down,negative,down
2016-07-21,-5.89,-8.62,-2.89,neg_then_down,negative,down
2016-11-03,-2.77,0.54,3.4,neg_then_up,negative,up
2017-01-19,8.34,13.01,4.32,pos_then_up,positive,up
2017-04-27,-1.35,-4.28,-2.97,neg_then_down,negative,down
2017-07-20,-0.85,-0.16,0.69,neg_then_up,negative,up
2017-11-06,-5.55,-4.42,1.2,neg_then_up,negative,up
2018-02-05,6.73,10.44,3.47,pos_then_up,positive,up
2018-05-03,-2.62,4.28,7.09,neg_then_up,negative,up
2018-07-19,0.75,-5.36,-6.06,pos_then_down,positive,down
2018-11-08,-7.16,-8.08,-0.99,neg_then_down,negative,down
2019-01-08,1.1,3.83,2.7,pos_then_up,positive,up
2019-05-02,-2.4,-3.51,-1.14,neg_then_down,negative,down
2019-08-07,-3.95,0.46,4.6,neg_then_up,negative,up
2019-11-12,-5.9,-0.44,5.79,neg_then_up,negative,up
2020-01-23,-1.32,-4.59,-3.31,neg_then_down,negative,down
2020-04-14,-2.33,-2.95,-0.63,neg_then_down,negative,down
2020-07-23,-2.86,-2.76,0.11,neg_then_up,negative,up
2020-11-02,-0.14,-2.34,-2.2,neg_then_down,negative,down
2021-01-28,17.49,5.92,-9.84,pos_then_down,positive,down
2021-04-29,-6.7,-8.35,-1.77,neg_then_down,negative,down
2021-07-29,-6.13,-6.18,-0.06,neg_then_down,negative,down
2021-11-04,-1.85,-4.27,-2.47,neg_then_down,negative,down
2022-02-03,-2.78,-2.48,0.3,neg_then_up,negative,up
2022-05-03,-4.46,-4.97,-0.53,neg_then_down,negative,down
2022-08-04,-0.48,-0.76,-0.28,neg_then_down,negative,down
2022-11-03,4.83,6.79,1.87,pos_then_up,positive,up
2023-02-06,4.93,12.53,7.24,pos_then_up,positive,up
2023-05-08,-12.5,-5.15,8.41,neg_then_up,negative,up
2023-08-07,-3.25,-1.28,2.04,neg_then_up,negative,up
2023-11-02,-3.54,1.73,5.47,neg_then_up,negative,up
2024-01-30,3.04,0.12,-2.83,pos_then_down,positive,down
2024-04-30,-14.56,-15.28,-0.85,neg_then_down,negative,down
2024-07-30,-4.88,-3.46,1.49,neg_then_up,negative,up
2024-11-12,-2.6,-4.43,-1.89,neg_then_down,negative,down
2025-02-05,-28.17,-24.67,4.88,neg_then_up,negative,up
2025-05-07,0.06,0.61,0.55,pos_then_up,positive,up
2025-08-05,2.23,-0.16,-2.34,pos_then_down,positive,down
2025-10-28,3.59,-1.89,-5.29,pos_then_down,positive,down
