date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-29,0.12,4.96,5.08,pos_then_up,positive,up
2005-01-27,-0.3,-1.33,-1.62,neg_then_down,negative,down
2005-04-27,-1.7,1.56,-0.17,neg_then_up,negative,up
2005-10-27,0.28,-2.62,-2.35,pos_then_down,positive,down
2006-01-26,0.61,0.18,0.79,pos_then_up,positive,up
2006-04-26,1.38,-3.0,-1.66,pos_then_down,positive,down
2006-07-28,-0.13,1.22,1.09,neg_then_up,negative,up
2006-10-26,-4.05,1.93,-2.2,neg_then_up,negative,up
2007-01-25,0.39,-3.03,-2.65,pos_then_down,positive,down
2007-04-25,0.02,-1.35,-1.33,pos_then_down,positive,down
2007-07-26,-0.16,1.05,0.89,neg_then_up,negative,up
2007-10-25,0.51,0.86,1.38,pos_then_up,positive,up
2008-01-24,0.59,-1.29,-0.71,pos_then_down,positive,down
2008-04-23,-0.14,2.3,2.15,neg_then_up,negative,up
2008-07-24,-0.22,2.95,2.73,neg_then_up,negative,up
2008-10-23,1.76,-8.05,-6.43,pos_then_down,positive,down
2009-01-22,-1.53,-0.14,-1.67,neg_then_down,negative,down
2009-04-22,0.37,-5.58,-5.24,pos_then_down,positive,down
2009-07-23,-1.0,-0.69,-1.69,neg_then_down,negative,down
2009-10-22,0.66,-1.93,-1.29,pos_then_down,positive,down
2010-01-28,0.05,-3.3,-3.25,pos_then_down,positive,down
2010-04-29,0.2,-1.36,-1.16,pos_then_down,positive,down
2010-07-29,-1.57,-0.58,-2.15,neg_then_down,negative,down
2010-10-28,-0.26,-0.41,-0.67,neg_then_down,negative,down
2011-01-27,-0.21,-1.68,-1.88,neg_then_down,negative,down
2011-04-27,-0.02,0.34,0.32,neg_then_up,negative,up
2011-07-28,-0.71,4.29,3.55,neg_then_up,negative,up
2011-10-27,-0.19,-4.17,-4.35,neg_then_down,negative,down
2012-01-26,-0.05,-1.34,-1.39,neg_then_down,negative,down
2012-04-25,0.29,0.23,0.53,pos_then_up,positive,up
2012-07-26,-0.06,3.16,3.1,neg_then_up,negative,up
2012-10-25,-0.27,-3.58,-3.85,neg_then_down,negative,down
2013-01-24,0.18,-1.28,-1.1,pos_then_down,positive,down
2013-04-24,0.57,-0.15,0.43,pos_then_down,positive,down
2013-07-25,-0.71,0.4,-0.32,neg_then_up,negative,up
2013-10-24,0.64,-0.95,-0.32,pos_then_down,positive,down
2014-01-23,-0.38,-1.89,-2.26,neg_then_down,negative,down
2014-04-23,0.27,-0.21,0.05,pos_then_down,positive,down
2014-07-24,-0.61,-0.57,-1.18,neg_then_down,negative,down
2014-10-23,0.59,2.98,3.59,pos_then_up,positive,up
2015-01-29,-1.1,-1.26,-2.34,neg_then_down,negative,down
2015-04-30,-0.01,-2.45,-2.46,neg_then_down,negative,down
2015-07-30,0.44,-0.47,-0.03,pos_then_down,positive,down
2015-10-05,-1.98,-1.88,-3.83,neg_then_down,negative,down
2016-02-04,-0.74,-1.85,-2.57,neg_then_down,negative,down
2016-08-04,0.44,0.6,1.03,pos_then_up,positive,up
2016-11-03,0.01,-0.92,-0.92,pos_then_down,positive,down
2017-02-02,0.54,0.61,1.15,pos_then_up,positive,up
2017-05-04,0.62,-0.56,0.05,pos_then_down,positive,down
2017-08-03,0.75,-0.22,0.54,pos_then_down,positive,down
2017-11-02,0.07,2.35,2.42,pos_then_up,positive,up
2018-02-01,-0.11,-0.92,-1.03,neg_then_down,negative,down
2018-05-03,-0.08,5.29,5.21,neg_then_up,negative,up
2018-08-02,-0.01,0.55,0.54,neg_then_up,negative,up
2018-10-24,1.2,-2.62,-1.45,pos_then_down,positive,down
2019-01-23,0.53,2.47,3.01,pos_then_up,positive,up
2019-04-24,-0.28,-0.52,-0.8,neg_then_down,negative,down
2019-10-23,0.83,1.15,1.99,pos_then_up,positive,up
2020-01-22,-1.29,-0.65,-1.93,neg_then_down,negative,down
2020-04-06,4.0,-1.75,2.18,pos_then_down,positive,down
2020-07-22,0.61,-5.04,-4.46,pos_then_down,positive,down
2020-10-21,0.54,1.96,2.51,pos_then_up,positive,up
2021-01-04,-0.11,3.73,3.61,neg_then_up,negative,up
2021-04-28,0.8,-0.36,0.43,pos_then_down,positive,down
2021-07-28,0.36,-1.92,-1.56,pos_then_down,positive,down
2021-10-27,-0.03,-1.25,-1.28,neg_then_down,negative,down
2022-01-27,0.5,2.67,3.18,pos_then_up,positive,up
2022-04-27,1.33,-0.93,0.38,pos_then_down,positive,down
2022-07-27,0.41,2.65,3.08,pos_then_up,positive,up
2022-10-26,1.1,-0.23,0.87,pos_then_down,positive,down
2023-01-25,1.16,-1.81,-0.67,pos_then_down,positive,down
2023-04-26,-0.01,1.51,1.5,neg_then_up,negative,up
2023-07-26,0.5,-2.83,-2.35,pos_then_down,positive,down
2023-10-25,-0.04,-0.24,-0.28,neg_then_down,negative,down
2024-01-24,0.42,1.25,1.67,pos_then_up,positive,up
2024-04-24,0.81,3.16,3.99,pos_then_up,positive,up
2024-07-24,-0.29,-0.03,-0.31,neg_then_down,negative,down
2024-10-23,0.1,0.49,0.59,pos_then_up,positive,up
2025-01-22,0.6,0.07,0.67,pos_then_up,positive,up
2025-04-23,-0.75,3.14,2.37,neg_then_up,negative,up
2025-07-23,0.44,0.17,0.61,pos_then_up,positive,up
2025-10-22,0.07,-1.37,-1.29,pos_then_down,positive,down
