date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2022-10-03,4.29,4.21,8.69,pos_then_up,positive,up
2023-02-02,-12.65,6.25,-7.19,neg_then_up,negative,up
2023-05-04,-10.36,0.91,-9.54,neg_then_up,negative,up
2023-08-03,24.32,-5.72,17.21,pos_then_down,positive,down
2023-11-02,-7.25,5.15,-2.48,neg_then_up,negative,up
2024-02-01,-9.72,-5.54,-14.72,neg_then_down,negative,down
2024-04-25,-7.9,-1.79,-9.56,neg_then_down,negative,down
2024-08-01,-11.87,-5.89,-17.06,neg_then_down,negative,down
2024-10-31,19.58,-0.49,18.99,pos_then_down,positive,down
2025-01-30,20.06,-4.28,14.92,pos_then_down,positive,down
2025-05-01,-10.63,1.83,-8.99,neg_then_up,negative,up
2025-08-07,1.78,-3.44,-1.72,pos_then_down,positive,down
2025-10-30,-0.44,5.91,5.45,neg_then_up,negative,up
