date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-20,6.45,7.05,0.56,pos_then_up,positive,up
2005-04-20,0.91,-0.82,-1.71,pos_then_down,positive,down
2005-07-20,0.43,-1.53,-1.95,pos_then_down,positive,down
2005-10-19,-0.56,-2.38,-1.83,neg_then_down,negative,down
2006-01-18,1.24,-1.06,-2.27,pos_then_down,positive,down
2006-04-19,0.6,4.32,3.7,pos_then_up,positive,up
2006-07-20,-0.92,3.03,3.99,neg_then_up,negative,up
2007-01-25,-0.78,-0.59,0.2,neg_then_up,negative,up
2007-04-19,0.95,-1.19,-2.12,pos_then_down,positive,down
2007-07-19,-0.85,-0.97,-0.11,neg_then_down,negative,down
2007-10-18,0.85,-4.77,-5.56,pos_then_down,positive,down
2008-01-24,1.18,3.05,1.84,pos_then_up,positive,up
2008-04-23,-1.48,0.97,2.49,neg_then_up,negative,up
2008-07-24,2.4,0.87,-1.49,pos_then_down,positive,down
2009-01-29,3.41,-3.61,-6.78,pos_then_down,positive,down
2009-07-30,-0.65,2.2,2.87,neg_then_up,negative,up
2009-10-29,-0.77,-8.02,-7.31,neg_then_down,negative,down
2010-01-28,2.63,-1.58,-4.11,pos_then_down,positive,down
2010-04-22,-0.23,-1.07,-0.84,neg_then_down,negative,down
2010-07-29,-2.08,-2.8,-0.74,neg_then_down,negative,down
2010-10-28,0.46,2.65,2.18,pos_then_up,positive,up
2011-01-27,0.92,-0.73,-1.64,pos_then_down,positive,down
2011-04-28,-0.12,0.44,0.56,neg_then_up,negative,up
2011-07-28,-1.47,-0.88,0.6,neg_then_up,negative,up
2011-10-27,-1.1,3.02,4.16,neg_then_up,negative,up
2012-01-26,0.18,3.29,3.1,pos_then_up,positive,up
2012-04-26,0.58,1.1,0.52,pos_then_up,positive,up
2012-07-26,0.67,0.81,0.13,pos_then_up,positive,up
2012-10-25,-0.54,-1.56,-1.02,neg_then_down,negative,down
2013-01-24,-0.31,2.16,2.48,neg_then_up,negative,up
2013-04-25,1.56,1.87,0.31,pos_then_up,positive,up
2013-07-25,-0.36,-0.3,0.06,neg_then_up,negative,up
2013-10-24,-0.66,3.34,4.02,neg_then_up,negative,up
2014-01-23,-0.2,-2.64,-2.44,neg_then_down,negative,down
2014-04-24,-0.71,-5.04,-4.36,neg_then_down,negative,down
2014-07-24,-0.33,0.94,1.27,neg_then_up,negative,up
2014-10-23,0.73,1.63,0.89,pos_then_up,positive,up
2015-01-29,-3.11,-2.79,0.33,neg_then_up,negative,up
2015-05-01,0.25,-0.1,-0.34,pos_then_down,positive,down
2015-07-30,0.26,0.36,0.1,pos_then_up,positive,up
2015-10-28,-3.0,-4.72,-1.77,neg_then_down,negative,down
2016-01-28,0.74,2.32,1.57,pos_then_up,positive,up
2016-04-28,-0.83,-1.56,-0.73,neg_then_down,negative,down
2016-07-28,-2.44,-3.42,-1.0,neg_then_down,negative,down
2016-10-27,1.18,1.14,-0.04,pos_then_down,positive,down
2017-01-26,0.73,3.59,2.84,pos_then_up,positive,up
2017-04-27,-0.58,-2.97,-2.41,neg_then_down,negative,down
2017-07-27,-0.17,0.29,0.47,neg_then_up,negative,up
2017-10-26,-0.88,1.69,2.59,neg_then_up,negative,up
2018-01-25,1.45,6.47,4.95,pos_then_up,positive,up
2018-04-25,0.09,-1.87,-1.96,pos_then_down,positive,down
2018-07-25,0.56,2.47,1.9,pos_then_up,positive,up
2018-10-24,4.04,8.47,4.26,pos_then_up,positive,up
2019-01-24,-0.61,1.97,2.6,neg_then_up,negative,up
2019-04-24,0.98,0.33,-0.64,pos_then_down,positive,down
2019-07-24,-1.38,-3.52,-2.17,neg_then_down,negative,down
2019-10-23,1.15,3.97,2.79,pos_then_up,positive,up
2020-01-23,-0.45,-5.39,-4.97,neg_then_down,negative,down
2020-04-22,-3.74,-2.52,1.27,neg_then_up,negative,up
2020-07-22,0.31,-3.79,-4.09,pos_then_down,positive,down
2020-10-21,0.74,-1.23,-1.95,pos_then_down,positive,down
2021-01-28,-0.18,-5.39,-5.21,neg_then_down,negative,down
2021-04-28,1.04,-1.2,-2.22,pos_then_down,positive,down
2021-07-28,1.83,2.92,1.07,pos_then_up,positive,up
2021-10-27,5.63,11.33,5.39,pos_then_up,positive,up
2022-01-27,-3.0,0.79,3.91,neg_then_up,negative,up
2022-04-27,2.23,5.04,2.75,pos_then_up,positive,up
2022-07-27,-1.06,1.03,2.12,neg_then_up,negative,up
2022-10-26,1.13,-2.91,-3.99,pos_then_down,positive,down
2023-01-26,-2.04,-0.22,1.85,neg_then_up,negative,up
2023-04-27,0.17,1.12,0.95,pos_then_up,positive,up
2023-07-27,2.09,1.53,-0.55,pos_then_down,positive,down
2023-10-26,-0.34,-1.5,-1.17,neg_then_down,negative,down
2024-01-31,0.56,-1.5,-2.05,pos_then_down,positive,down
2024-04-25,1.4,4.79,3.34,pos_then_up,positive,up
2024-07-25,0.66,1.71,1.04,pos_then_up,positive,up
2024-10-24,0.42,0.93,0.5,pos_then_up,positive,up
2025-01-30,-1.12,0.62,1.76,neg_then_up,negative,up
2025-04-29,-1.62,-0.91,0.72,neg_then_up,negative,up
2025-07-30,0.79,-0.2,-0.99,pos_then_down,positive,down
2025-10-29,-0.68,1.69,2.39,neg_then_up,negative,up
