date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2005-07-27,-0.26,0.3,0.03,neg_then_up,negative,up
2005-10-26,-0.3,-0.4,-0.7,neg_then_down,negative,down
2006-02-02,0.49,0.11,0.61,pos_then_up,positive,up
2006-07-26,0.77,0.05,0.83,pos_then_up,positive,up
2006-10-25,0.07,1.11,1.18,pos_then_up,positive,up
2007-02-08,0.69,-1.18,-0.49,pos_then_down,positive,down
2007-04-26,-1.1,0.57,-0.54,neg_then_up,negative,up
2007-07-26,0.11,-0.68,-0.57,pos_then_down,positive,down
2007-10-25,1.88,-1.93,-0.09,pos_then_down,positive,down
2008-02-06,-0.56,3.24,2.66,neg_then_up,negative,up
2008-04-24,0.58,0.13,0.7,pos_then_up,positive,up
2008-07-24,0.8,-0.84,-0.05,pos_then_down,positive,down
2008-10-23,-7.11,4.93,-2.53,neg_then_up,negative,up
2009-02-04,-0.22,5.19,4.96,neg_then_up,negative,up
2009-04-23,0.59,1.75,2.35,pos_then_up,positive,up
2009-07-23,-0.27,1.32,1.05,neg_then_up,negative,up
2009-10-22,0.43,0.87,1.3,pos_then_up,positive,up
2010-02-03,-0.5,-1.89,-2.38,neg_then_down,negative,down
2010-04-28,0.32,-0.3,0.02,pos_then_down,positive,down
2010-07-27,0.43,-0.8,-0.37,pos_then_down,positive,down
2010-10-27,0.94,-1.56,-0.64,pos_then_down,positive,down
2011-02-02,-0.41,0.16,-0.25,neg_then_up,negative,up
2011-04-27,-0.6,1.21,0.6,neg_then_up,negative,up
2011-07-27,0.27,0.17,0.43,pos_then_up,positive,up
2011-10-06,-4.38,-1.62,-5.93,neg_then_down,negative,down
2012-02-01,0.4,-0.24,0.16,pos_then_down,positive,down
2012-04-25,-0.22,-0.07,-0.29,neg_then_down,negative,down
2012-07-25,1.13,-0.11,1.02,pos_then_down,positive,down
2012-10-24,1.06,1.15,2.22,pos_then_up,positive,up
2013-01-31,0.91,2.72,3.66,pos_then_up,positive,up
2013-04-24,0.12,-1.45,-1.33,pos_then_down,positive,down
2013-07-24,-0.26,0.97,0.71,neg_then_up,negative,up
2013-10-23,0.31,-0.77,-0.46,pos_then_down,positive,down
2014-01-30,-0.33,0.46,0.13,neg_then_up,negative,up
2014-04-23,0.17,-3.52,-3.36,pos_then_down,positive,down
2014-07-23,0.75,0.46,1.22,pos_then_up,positive,up
2014-10-22,1.55,0.55,2.11,pos_then_up,positive,up
2015-01-29,-0.9,-1.26,-2.15,neg_then_down,negative,down
2015-04-22,-0.31,-0.56,-0.87,neg_then_down,negative,down
2015-07-22,0.31,0.07,0.39,pos_then_up,positive,up
2015-10-21,0.51,-2.94,-2.45,pos_then_down,positive,down
2016-01-28,0.7,2.32,3.04,pos_then_up,positive,up
2016-04-28,-0.98,0.24,-0.74,neg_then_up,negative,up
2016-07-28,0.08,-0.06,0.01,pos_then_down,positive,down
2016-10-27,0.19,-1.53,-1.35,pos_then_down,positive,down
2017-01-31,-0.08,0.44,0.36,neg_then_up,negative,up
2017-04-26,0.4,-1.17,-0.78,pos_then_down,positive,down
2017-07-26,0.45,-0.33,0.12,pos_then_down,positive,down
2017-10-25,0.03,0.33,0.35,pos_then_up,positive,up
2018-01-31,0.02,-0.8,-0.78,pos_then_down,positive,down
2018-04-25,0.11,-0.4,-0.29,pos_then_down,positive,down
2018-07-25,0.39,1.66,2.06,pos_then_up,positive,up
2018-10-24,1.22,3.11,4.37,pos_then_up,positive,up
2019-01-30,-0.6,0.85,0.25,neg_then_up,negative,up
2019-04-24,-0.21,3.28,3.05,neg_then_up,negative,up
2019-07-24,0.33,0.45,0.77,pos_then_up,positive,up
2019-10-23,-0.54,-0.64,-1.18,neg_then_down,negative,down
2020-01-30,0.74,-2.81,-2.09,pos_then_down,positive,down
2020-04-06,2.68,-4.98,-2.44,pos_then_down,positive,down
2020-07-06,-0.3,-0.23,-0.53,neg_then_down,negative,down
2020-10-21,0.63,2.18,2.82,pos_then_up,positive,up
2021-01-11,-0.21,-2.64,-2.84,neg_then_down,negative,down
2021-04-29,0.23,1.02,1.26,pos_then_up,positive,up
2021-07-28,0.62,0.42,1.04,pos_then_up,positive,up
2021-10-27,0.44,0.82,1.27,pos_then_up,positive,up
2022-02-02,-1.48,-0.05,-1.52,neg_then_down,negative,down
2022-04-28,-0.17,-0.9,-1.07,neg_then_down,negative,down
2022-07-28,0.89,-0.76,0.13,pos_then_down,positive,down
2022-10-26,-0.86,-0.07,-0.93,neg_then_down,negative,down
2023-02-01,0.73,-0.78,-0.05,pos_then_down,positive,down
2023-04-26,0.07,1.78,1.86,pos_then_up,positive,up
2023-07-26,0.17,-2.67,-2.51,pos_then_down,positive,down
2023-10-25,-0.47,2.09,1.61,neg_then_up,negative,up
2024-01-31,0.59,1.86,2.46,pos_then_up,positive,up
2024-07-24,0.25,3.19,3.44,pos_then_up,positive,up
2024-10-23,-0.72,-2.62,-3.31,neg_then_down,negative,down
2025-01-30,-1.13,-0.35,-1.48,neg_then_down,negative,down
2025-04-23,-0.38,-0.78,-1.15,neg_then_down,negative,down
2025-07-23,-0.01,1.79,1.78,neg_then_up,negative,up
2025-10-22,0.12,0.71,0.83,pos_then_up,positive,up
