date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2021-02-25,-0.08,-0.7,-0.63,neg_then_down,negative,down
2021-05-06,1.0,9.04,7.96,pos_then_up,positive,up
2021-08-05,1.41,0.71,-0.68,pos_then_down,positive,down
2021-11-04,3.08,10.3,7.01,pos_then_up,positive,up
2022-02-23,-0.01,8.52,8.53,neg_then_up,negative,up
2022-05-04,-4.86,-1.46,3.57,neg_then_up,negative,up
2022-08-03,-0.14,-7.23,-7.1,neg_then_down,negative,down
2022-11-02,-1.03,2.84,3.91,neg_then_up,negative,up
2023-02-22,-1.33,-1.1,0.24,neg_then_up,negative,up
2023-05-03,-1.96,-3.62,-1.69,neg_then_down,negative,down
2023-08-02,2.03,9.96,7.77,pos_then_up,positive,up
2023-11-01,-0.11,-2.44,-2.34,neg_then_down,negative,down
2024-02-21,2.91,2.7,-0.21,pos_then_down,positive,down
2024-05-08,3.48,9.18,5.51,pos_then_up,positive,up
2024-08-07,1.36,7.09,5.65,pos_then_up,positive,up
2024-11-06,-5.64,0.43,6.43,neg_then_up,negative,up
2025-02-19,2.66,1.86,-0.78,pos_then_down,positive,down
2025-05-07,1.98,-4.16,-6.02,pos_then_down,positive,down
2025-08-06,0.81,-8.75,-9.48,pos_then_down,positive,down
2025-11-05,-0.22,10.02,10.26,neg_then_up,negative,up
