date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2011-02-24,-0.12,1.75,1.87,neg_then_up,negative,up
2011-05-05,0.36,2.63,2.26,pos_then_up,positive,up
2011-08-08,2.1,12.89,10.57,pos_then_up,positive,up
2011-11-07,0.7,1.69,0.99,pos_then_up,positive,up
2012-02-23,0.22,2.45,2.22,pos_then_up,positive,up
2012-05-03,0.91,0.02,-0.88,pos_then_down,positive,down
2012-08-06,0.31,0.02,-0.29,pos_then_down,positive,down
2012-10-17,-0.09,-1.43,-1.34,neg_then_down,negative,down
2013-02-14,0.6,1.1,0.5,pos_then_up,positive,up
2013-05-03,0.46,1.0,0.53,pos_then_up,positive,up
2013-08-01,-0.01,-0.62,-0.6,neg_then_down,negative,down
2013-11-04,-1.83,-2.3,-0.48,neg_then_down,negative,down
2014-02-13,-1.83,0.22,2.08,neg_then_up,negative,up
2014-05-01,0.86,-0.35,-1.2,pos_then_down,positive,down
2014-08-01,0.8,2.92,2.1,pos_then_up,positive,up
2014-10-23,0.36,0.91,0.55,pos_then_up,positive,up
2015-02-13,1.02,5.46,4.39,pos_then_up,positive,up
2015-05-05,-0.35,-2.32,-1.98,neg_then_down,negative,down
2015-08-04,-0.4,-5.84,-5.47,neg_then_down,negative,down
2015-11-03,0.29,-1.47,-1.76,pos_then_down,positive,down
2016-02-09,1.02,3.06,2.02,pos_then_up,positive,up
2016-04-29,-0.62,-3.81,-3.21,neg_then_down,negative,down
2016-08-03,1.04,5.04,3.96,pos_then_up,positive,up
2016-11-02,1.89,1.56,-0.32,pos_then_down,positive,down
2017-01-23,0.83,2.82,1.97,pos_then_up,positive,up
2017-05-04,-0.2,2.99,3.2,neg_then_up,negative,up
2017-08-03,0.07,-0.39,-0.46,pos_then_down,positive,down
2017-11-02,0.3,2.5,2.19,pos_then_up,positive,up
2018-02-15,-0.6,-3.89,-3.31,neg_then_down,negative,down
2018-05-03,-0.45,-0.58,-0.13,neg_then_down,negative,down
2018-08-09,-0.04,2.78,2.82,neg_then_up,negative,up
2018-11-08,-1.19,-3.24,-2.07,neg_then_down,negative,down
2019-02-20,-0.74,-6.37,-5.68,neg_then_down,negative,down
2019-05-07,-0.74,-3.33,-2.62,neg_then_down,negative,down
2019-08-08,0.64,-0.28,-0.91,pos_then_down,positive,down
2019-11-07,-0.48,0.2,0.68,neg_then_up,negative,up
2020-02-20,-0.2,-0.79,-0.58,neg_then_down,negative,down
2020-05-07,2.91,2.83,-0.07,pos_then_down,positive,down
2020-08-06,-0.83,1.29,2.14,neg_then_up,negative,up
2020-11-05,2.2,-4.45,-6.51,pos_then_down,positive,down
2021-02-18,0.34,1.39,1.05,pos_then_up,positive,up
2021-05-06,0.03,2.88,2.85,pos_then_up,positive,up
2021-08-05,1.42,1.13,-0.28,pos_then_down,positive,down
2021-11-04,1.36,1.25,-0.11,pos_then_down,positive,down
2022-02-24,1.47,2.64,1.16,pos_then_up,positive,up
2022-05-05,1.06,1.03,-0.03,pos_then_down,positive,down
2022-08-04,-1.89,-0.34,1.58,neg_then_up,negative,up
2022-11-03,2.81,0.98,-1.79,pos_then_down,positive,down
2023-02-22,1.89,1.2,-0.68,pos_then_down,positive,down
2023-05-04,3.29,3.65,0.35,pos_then_up,positive,up
2023-08-03,0.54,0.81,0.27,pos_then_up,positive,up
2023-11-02,-0.16,-2.36,-2.21,neg_then_down,negative,down
2024-02-15,0.29,3.93,3.63,pos_then_up,positive,up
2024-05-02,0.23,-0.6,-0.83,pos_then_down,positive,down
2024-08-01,-0.94,-4.06,-3.14,neg_then_down,negative,down
2024-11-05,3.31,4.87,1.51,pos_then_up,positive,up
2025-02-20,-0.43,-2.12,-1.69,neg_then_down,negative,down
2025-05-01,0.94,-0.29,-1.21,pos_then_down,positive,down
2025-08-07,0.89,-1.08,-1.95,pos_then_down,positive,down
2025-11-05,0.85,4.42,3.54,pos_then_up,positive,up
