date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-07-27,-0.23,1.36,1.59,neg_then_up,negative,up
2004-10-26,8.3,12.75,4.1,pos_then_up,positive,up
2005-01-26,0.41,2.54,2.12,pos_then_up,positive,up
2005-04-21,0.12,5.21,5.09,pos_then_up,positive,up
2005-07-26,-13.99,-13.88,0.13,neg_then_up,negative,up
2005-10-20,-13.83,-9.44,5.11,neg_then_up,negative,up
2006-01-24,11.51,19.25,6.94,pos_then_up,positive,up
2006-04-19,-1.31,8.64,10.08,neg_then_up,negative,up
2006-07-25,3.07,7.74,4.54,pos_then_up,positive,up
2006-10-24,8.44,10.52,1.92,pos_then_up,positive,up
2007-01-25,1.23,6.77,5.48,pos_then_up,positive,up
2007-05-03,2.4,4.8,2.35,pos_then_up,positive,up
2007-07-31,5.96,9.87,3.69,pos_then_up,positive,up
2007-10-23,-14.24,-1.77,14.54,neg_then_up,negative,up
2008-01-24,0.54,-2.45,-2.97,pos_then_down,positive,down
2008-04-24,15.54,24.07,7.38,pos_then_up,positive,up
2008-07-24,-8.06,0.27,9.06,neg_then_up,negative,up
2008-10-06,-2.56,-4.2,-1.68,neg_then_down,negative,down
2009-01-16,-0.66,-5.58,-4.96,neg_then_down,negative,down
2009-04-28,11.77,16.26,4.02,pos_then_up,positive,up
2009-07-28,-2.63,12.24,15.27,neg_then_up,negative,up
2009-10-27,0.09,-0.23,-0.33,pos_then_down,positive,down
2010-02-02,-1.25,5.84,7.18,neg_then_up,negative,up
2010-04-29,3.84,2.86,-0.94,pos_then_down,positive,down
2010-07-27,-0.46,-4.57,-4.13,neg_then_down,negative,down
2010-11-02,2.95,4.83,1.83,pos_then_up,positive,up
2011-02-03,4.32,4.47,0.15,pos_then_up,positive,up
2011-05-03,-0.26,-5.97,-5.73,neg_then_down,negative,down
2011-08-02,15.87,17.59,1.49,pos_then_up,positive,up
2011-11-01,4.82,6.82,1.9,pos_then_up,positive,up
2012-02-23,0.06,-1.03,-1.09,pos_then_down,positive,down
2012-05-03,-2.18,-3.04,-0.88,neg_then_down,negative,down
2012-08-01,1.57,-2.35,-3.86,pos_then_down,positive,down
2012-11-01,2.75,8.31,5.4,pos_then_up,positive,up
2013-02-05,-5.34,-4.43,0.96,neg_then_up,negative,up
2013-04-30,-7.65,-8.04,-0.41,neg_then_down,negative,down
2013-07-30,-1.21,1.86,3.11,neg_then_up,negative,up
2013-10-31,8.48,17.1,7.95,pos_then_up,positive,up
2014-02-11,6.1,14.01,7.45,pos_then_up,positive,up
2014-05-06,-11.79,-8.1,4.19,neg_then_up,negative,up
2014-08-05,0.29,3.91,3.61,pos_then_up,positive,up
2014-10-30,-10.78,-11.73,-1.07,neg_then_down,negative,down
2015-02-10,-2.31,0.27,2.64,neg_then_up,negative,up
2015-04-30,-2.6,3.26,6.02,neg_then_up,negative,up
2015-08-04,-13.57,-16.06,-2.89,neg_then_down,negative,down
2015-10-29,11.95,21.4,8.44,pos_then_up,positive,up
2016-01-21,1.64,2.86,1.2,pos_then_up,positive,up
2016-04-28,-3.97,-5.04,-1.11,neg_then_down,negative,down
2016-08-02,2.34,3.65,1.28,pos_then_up,positive,up
2016-11-01,-3.56,-4.82,-1.31,neg_then_down,negative,down
2017-02-08,1.16,4.83,3.63,pos_then_up,positive,up
2017-04-13,0.39,0.76,0.36,pos_then_up,positive,up
2017-08-02,2.24,0.69,-1.51,pos_then_down,positive,down
2017-10-26,3.74,4.08,0.33,pos_then_up,positive,up
2018-02-08,2.01,-3.23,-5.13,pos_then_down,positive,down
2018-04-24,-0.39,-2.11,-1.72,neg_then_down,negative,down
2018-08-01,4.4,15.35,10.49,pos_then_up,positive,up
2018-11-01,0.63,0.34,-0.29,pos_then_down,positive,down
2019-02-06,-9.52,-1.44,8.93,neg_then_up,negative,up
2019-05-01,1.31,4.1,2.76,pos_then_up,positive,up
2019-07-31,-3.36,-9.77,-6.64,neg_then_down,negative,down
2019-10-30,0.36,1.37,1.01,pos_then_up,positive,up
2020-02-12,-0.25,1.79,2.05,neg_then_up,negative,up
2020-05-06,4.99,14.41,8.97,pos_then_up,positive,up
2020-08-05,3.27,6.82,3.44,pos_then_up,positive,up
2020-11-04,3.21,5.28,2.01,pos_then_up,positive,up
2021-02-10,-0.27,-1.28,-1.02,neg_then_down,negative,down
2021-05-05,-2.59,-6.4,-3.91,neg_then_down,negative,down
2021-08-04,0.47,3.1,2.62,pos_then_up,positive,up
2021-11-03,3.44,-1.72,-4.99,pos_then_down,positive,down
2022-02-09,-3.25,-4.09,-0.87,neg_then_down,negative,down
2022-05-05,-1.39,1.28,2.71,neg_then_up,negative,up
2022-08-05,0.51,0.21,-0.31,pos_then_down,positive,down
2022-11-02,-1.32,-2.96,-1.66,neg_then_down,negative,down
2023-02-08,1.44,2.15,0.7,pos_then_up,positive,up
2023-05-03,-0.27,0.4,0.68,neg_then_up,negative,up
2023-11-01,0.78,2.15,1.36,pos_then_up,positive,up
2024-02-12,0.11,2.32,2.21,pos_then_up,positive,up
2024-05-03,1.61,0.48,-1.11,pos_then_down,positive,down
2024-08-06,1.03,-1.82,-2.82,pos_then_down,positive,down
2024-11-06,0.01,-0.69,-0.7,pos_then_down,positive,down
2025-02-19,0.74,-3.12,-3.84,pos_then_down,positive,down
2025-05-07,1.1,1.63,0.52,pos_then_up,positive,up
2025-08-06,1.08,-1.91,-2.96,pos_then_down,positive,down
2025-11-05,0.53,-2.17,-2.69,pos_then_down,positive,down
