date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-30,-0.16,0.39,0.24,neg_then_up,negative,up
2004-04-29,0.07,-2.91,-2.84,pos_then_down,positive,down
2004-07-23,1.79,1.05,2.86,pos_then_up,positive,up
2004-10-06,-0.03,-0.88,-0.91,neg_then_down,negative,down
2005-02-01,-0.05,-1.2,-1.25,neg_then_down,negative,down
2005-05-03,0.35,2.16,2.52,pos_then_up,positive,up
2005-07-28,0.7,1.55,2.25,pos_then_up,positive,up
2005-10-27,-0.05,1.05,1.0,neg_then_up,negative,up
2006-01-20,0.31,0.86,1.18,pos_then_up,positive,up
2006-05-02,0.39,0.15,0.55,pos_then_up,positive,up
2006-07-27,1.02,1.47,2.51,pos_then_up,positive,up
2007-02-01,0.35,0.48,0.83,pos_then_up,positive,up
2007-07-26,-0.29,-0.88,-1.17,neg_then_down,negative,down
2007-10-25,2.16,0.66,2.84,pos_then_up,positive,up
2008-01-22,-3.12,3.78,0.54,neg_then_up,negative,up
2008-04-24,0.63,-1.55,-0.93,pos_then_down,positive,down
2008-07-23,0.11,-6.07,-5.96,pos_then_down,positive,down
2008-10-14,-2.54,-6.44,-8.82,neg_then_down,negative,down
2009-01-27,4.41,-0.98,3.38,pos_then_down,positive,down
2009-04-30,-0.92,1.1,0.17,neg_then_up,negative,up
2009-07-30,0.69,1.99,2.69,pos_then_up,positive,up
2009-10-22,-0.31,-0.47,-0.77,neg_then_down,negative,down
2010-01-26,0.12,1.21,1.33,pos_then_up,positive,up
2010-04-23,-0.34,-2.41,-2.74,neg_then_down,negative,down
2010-07-22,-0.83,2.58,1.72,neg_then_up,negative,up
2010-10-21,0.2,0.02,0.22,pos_then_up,positive,up
2011-01-25,0.28,-0.34,-0.05,pos_then_down,positive,down
2011-07-21,0.36,-0.55,-0.19,pos_then_down,positive,down
2011-10-19,-0.44,0.7,0.26,neg_then_up,negative,up
2012-01-24,-0.09,2.07,1.98,neg_then_up,negative,up
2012-04-19,0.34,1.36,1.7,pos_then_up,positive,up
2012-07-19,-0.63,-0.92,-1.54,neg_then_down,negative,down
2012-10-18,-0.01,-0.57,-0.58,neg_then_down,negative,down
2013-01-22,0.14,-0.54,-0.4,pos_then_down,positive,down
2013-04-23,0.01,-0.58,-0.57,pos_then_down,positive,down
2013-07-23,0.15,-0.18,-0.04,pos_then_down,positive,down
2013-10-22,-0.58,0.08,-0.5,neg_then_up,negative,up
2014-01-21,-0.12,-0.4,-0.52,neg_then_down,negative,down
2014-04-22,0.01,1.42,1.43,pos_then_up,positive,up
2014-07-22,-0.12,0.28,0.16,neg_then_up,negative,up
2014-10-21,0.53,0.89,1.42,pos_then_up,positive,up
2015-01-22,-0.17,-0.92,-1.08,neg_then_down,negative,down
2015-04-21,-0.04,0.18,0.14,neg_then_up,negative,up
2015-07-21,0.18,0.6,0.78,pos_then_up,positive,up
2015-10-20,0.5,1.1,1.61,pos_then_up,positive,up
2016-01-21,0.91,-0.47,0.43,pos_then_down,positive,down
2016-04-21,0.34,1.54,1.88,pos_then_up,positive,up
2016-10-20,-0.9,-0.17,-1.07,neg_then_down,negative,down
2017-01-24,0.42,0.29,0.71,pos_then_up,positive,up
2017-04-20,0.56,-0.38,0.19,pos_then_down,positive,down
2017-07-20,-0.15,0.62,0.47,neg_then_up,negative,up
2017-10-19,0.62,-0.51,0.11,pos_then_down,positive,down
2018-01-23,0.44,0.48,0.93,pos_then_up,positive,up
2018-04-24,-0.73,0.24,-0.5,neg_then_up,negative,up
2018-07-19,-0.26,0.27,0.02,neg_then_up,negative,up
2018-10-18,-0.65,1.4,0.74,neg_then_up,negative,up
2019-01-22,0.25,0.29,0.54,pos_then_up,positive,up
2019-04-18,-0.4,-1.28,-1.67,neg_then_down,negative,down
2019-07-23,0.07,0.85,0.92,pos_then_up,positive,up
2019-10-22,-0.06,1.61,1.54,neg_then_up,negative,up
2020-01-23,-0.34,0.79,0.44,neg_then_up,negative,up
2020-04-21,1.7,-1.66,0.01,pos_then_down,positive,down
2020-07-14,2.39,-1.85,0.5,pos_then_down,positive,down
2020-10-20,0.33,5.49,5.83,pos_then_up,positive,up
2021-01-21,-1.26,-0.68,-1.94,neg_then_down,negative,down
2021-04-20,0.35,0.7,1.06,pos_then_up,positive,up
2021-07-20,0.84,-0.34,0.5,pos_then_down,positive,down
2021-10-19,0.27,1.85,2.12,pos_then_up,positive,up
2022-01-20,0.09,-1.65,-1.56,pos_then_down,positive,down
2022-04-19,0.42,0.46,0.88,pos_then_up,positive,up
2022-07-21,0.2,-0.46,-0.26,pos_then_down,positive,down
2022-10-19,-0.38,-1.52,-1.89,neg_then_down,negative,down
2023-01-17,-0.15,-0.59,-0.74,neg_then_down,negative,down
2023-04-19,0.39,-2.2,-1.81,pos_then_down,positive,down
2023-07-20,0.45,-0.92,-0.47,pos_then_down,positive,down
2023-10-18,-0.1,-2.39,-2.48,neg_then_down,negative,down
2024-01-19,0.51,0.53,1.03,pos_then_up,positive,up
2024-04-17,0.92,0.93,1.86,pos_then_up,positive,up
2024-07-19,-0.13,1.09,0.95,neg_then_up,negative,up
2024-10-17,1.64,-1.37,0.24,pos_then_down,positive,down
2025-01-22,-1.2,-0.92,-2.11,neg_then_down,negative,down
2025-04-16,0.25,1.09,1.34,pos_then_up,positive,up
2025-07-17,0.73,0.85,1.59,pos_then_up,positive,up
2025-10-16,0.42,-0.25,0.17,pos_then_down,positive,down
