date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2005-02-03,7.81,6.64,14.96,pos_then_up,positive,up
2005-04-20,-0.6,0.78,0.17,neg_then_up,negative,up
2005-07-20,-0.59,0.36,-0.24,neg_then_up,negative,up
2005-10-19,9.66,-1.73,7.77,pos_then_down,positive,down
2006-02-01,14.47,6.74,22.18,pos_then_up,positive,up
2006-04-26,-3.97,1.74,-2.3,neg_then_up,negative,up
2006-10-25,-8.55,2.82,-5.98,neg_then_up,negative,up
2007-04-25,-1.93,-2.58,-4.45,neg_then_down,negative,down
2007-07-25,-1.18,-6.43,-7.54,neg_then_down,negative,down
2007-10-24,-1.77,-3.08,-4.8,neg_then_down,negative,down
2008-01-30,5.5,8.56,14.53,pos_then_up,positive,up
2008-04-23,-8.03,2.15,-6.05,neg_then_up,negative,up
2008-07-23,11.4,0.35,11.79,pos_then_up,positive,up
2009-01-22,0.72,0.93,1.65,pos_then_up,positive,up
2009-04-22,-1.45,-4.68,-6.07,neg_then_down,negative,down
2009-07-08,0.6,-0.24,0.36,pos_then_down,positive,down
2009-10-08,0.3,0.3,0.6,pos_then_up,positive,up
2010-01-27,1.69,-3.01,-1.38,pos_then_down,positive,down
2010-04-08,2.17,-2.15,-0.03,pos_then_down,positive,down
2010-07-07,5.69,-2.94,2.59,pos_then_down,positive,down
2010-10-20,2.4,-3.65,-1.34,pos_then_down,positive,down
2011-01-26,4.3,4.68,9.19,pos_then_up,positive,up
2011-04-20,3.22,-6.28,-3.26,pos_then_down,positive,down
2011-07-20,-6.23,1.24,-5.07,neg_then_up,negative,up
2011-10-19,4.07,3.86,8.09,pos_then_up,positive,up
2012-01-11,6.75,3.02,9.97,pos_then_up,positive,up
2012-04-12,-0.07,0.51,0.44,neg_then_up,negative,up
2012-07-25,13.21,3.48,17.14,pos_then_up,positive,up
2012-10-24,-0.16,-2.24,-2.4,neg_then_down,negative,down
2013-01-30,7.58,2.04,9.77,pos_then_up,positive,up
2013-04-24,-1.94,0.87,-1.08,neg_then_up,negative,up
2013-07-24,-2.28,-0.15,-2.42,neg_then_down,negative,down
2013-10-23,2.35,5.63,8.12,pos_then_up,positive,up
2014-01-29,-5.62,3.59,-2.23,neg_then_up,negative,up
2014-04-23,-3.47,2.6,-0.97,neg_then_up,negative,up
2014-07-09,-5.18,2.96,-2.38,neg_then_up,negative,up
2014-10-22,10.93,4.41,15.82,pos_then_up,positive,up
2015-01-28,1.36,2.89,4.3,pos_then_up,positive,up
2015-04-22,0.84,-0.36,0.47,pos_then_down,positive,down
2015-07-22,-0.19,0.91,0.72,neg_then_up,negative,up
2015-10-21,4.52,0.97,5.53,pos_then_up,positive,up
2016-01-13,0.21,1.57,1.78,pos_then_up,positive,up
2016-04-20,5.47,-0.69,4.74,pos_then_down,positive,down
2016-06-30,0.16,1.25,1.41,pos_then_up,positive,up
2016-09-07,-15.16,-2.1,-16.94,neg_then_down,negative,down
2017-02-01,3.8,-1.88,1.85,pos_then_down,positive,down
2017-04-11,-4.77,-3.73,-8.32,neg_then_down,negative,down
2017-07-26,1.12,6.54,7.73,pos_then_up,positive,up
2017-10-25,-5.21,4.46,-0.98,neg_then_up,negative,up
2018-01-31,-5.57,-0.78,-6.31,neg_then_down,negative,down
2018-04-26,0.92,1.72,2.66,pos_then_up,positive,up
2018-07-26,-0.39,-4.75,-5.11,neg_then_down,negative,down
2018-10-25,0.81,1.17,1.99,pos_then_up,positive,up
2019-01-31,0.67,1.16,1.84,pos_then_up,positive,up
2019-04-25,0.04,0.03,0.07,pos_then_up,positive,up
2019-07-25,0.5,-1.86,-1.36,pos_then_down,positive,down
2019-10-24,-0.97,-0.61,-1.57,neg_then_down,negative,down
2020-01-30,1.14,-2.05,-0.94,pos_then_down,positive,down
2020-04-07,0.72,4.12,4.87,pos_then_up,positive,up
2020-07-23,-1.81,2.21,0.36,neg_then_up,negative,up
2020-10-22,0.48,1.55,2.04,pos_then_up,positive,up
2021-01-28,0.57,-5.69,-5.15,pos_then_down,positive,down
2021-04-22,-0.58,1.26,0.68,neg_then_up,negative,up
2021-07-19,0.56,0.92,1.49,pos_then_up,positive,up
2021-10-21,0.99,-2.02,-1.05,pos_then_down,positive,down
2022-01-27,1.5,1.15,2.67,pos_then_up,positive,up
2022-04-21,-1.25,-4.52,-5.72,neg_then_down,negative,down
2022-07-21,0.29,-2.07,-1.78,pos_then_down,positive,down
2022-10-20,-0.8,4.97,4.14,neg_then_up,negative,up
2023-01-26,1.09,-1.53,-0.46,pos_then_down,positive,down
2023-07-27,0.76,-0.58,0.18,pos_then_down,positive,down
2023-10-26,-0.37,-0.15,-0.52,neg_then_down,negative,down
2024-02-01,-0.35,-0.48,-0.83,neg_then_down,negative,down
2024-04-25,-0.23,3.49,3.26,neg_then_up,negative,up
2024-07-25,0.78,1.18,1.97,pos_then_up,positive,up
2024-10-24,1.47,-1.99,-0.55,pos_then_down,positive,down
2025-01-30,0.42,-0.29,0.13,pos_then_down,positive,down
2025-04-24,0.43,1.44,1.88,pos_then_up,positive,up
2025-07-24,0.37,-0.39,-0.02,pos_then_down,positive,down
2025-10-23,2.04,-2.12,-0.12,pos_then_down,positive,down
