date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2010-08-04,1.32,-3.81,-5.06,pos_then_down,positive,down
2010-11-09,-0.61,19.2,19.93,neg_then_up,negative,up
2011-02-15,1.14,8.27,7.06,pos_then_up,positive,up
2011-05-04,1.91,-0.94,-2.79,pos_then_down,positive,down
2011-08-03,-2.54,-9.01,-6.64,neg_then_down,negative,down
2012-02-15,-0.3,1.73,2.03,neg_then_up,negative,up
2012-05-09,9.68,9.65,-0.03,pos_then_down,positive,down
2012-07-25,3.28,-2.83,-5.92,pos_then_down,positive,down
2012-11-05,-2.83,-1.11,1.76,neg_then_up,negative,up
2013-02-20,-5.32,-8.77,-3.64,neg_then_down,negative,down
2013-05-08,25.69,24.4,-1.03,pos_then_down,positive,down
2013-08-07,14.99,14.34,-0.56,pos_then_down,positive,down
2013-11-05,-12.44,-14.51,-2.36,neg_then_down,negative,down
2014-01-15,-0.99,4.17,5.21,neg_then_up,negative,up
2014-05-07,-9.61,-11.3,-1.87,neg_then_down,negative,down
2014-07-31,1.25,4.46,3.18,pos_then_up,positive,up
2014-11-05,1.52,4.44,2.87,pos_then_up,positive,up
2015-02-11,-9.04,-4.66,4.81,neg_then_up,negative,up
2015-05-06,-4.09,2.76,7.15,neg_then_up,negative,up
2015-08-05,-7.62,-8.88,-1.37,neg_then_down,negative,down
2015-11-03,8.95,11.17,2.04,pos_then_up,positive,up
2016-01-04,1.32,0.01,-1.29,pos_then_down,positive,down
2016-04-04,-2.63,3.43,6.22,neg_then_up,negative,up
2016-07-05,-1.86,0.21,2.11,neg_then_up,negative,up
2016-10-03,-0.28,-1.07,-0.79,neg_then_down,negative,down
2017-01-03,-1.03,4.61,5.7,neg_then_up,negative,up
2017-04-03,-0.55,1.74,2.29,neg_then_up,negative,up
2017-07-03,-1.54,-7.24,-5.79,neg_then_down,negative,down
2017-10-02,-1.65,1.94,3.64,neg_then_up,negative,up
2018-01-03,-1.38,-0.83,0.56,neg_then_up,negative,up
2018-04-03,-5.51,7.26,13.51,neg_then_up,negative,up
2018-07-02,-0.99,-7.23,-6.3,neg_then_down,negative,down
2018-10-01,1.05,-3.12,-4.12,pos_then_down,positive,down
2019-01-02,-1.01,-3.15,-2.16,neg_then_down,negative,down
2019-04-04,0.78,2.68,1.89,pos_then_up,positive,up
2019-07-02,6.61,4.61,-1.88,pos_then_down,positive,down
2019-10-02,-4.64,-4.15,0.5,neg_then_up,negative,up
2020-01-03,-0.57,1.93,2.51,neg_then_up,negative,up
2020-04-02,12.11,5.62,-5.79,pos_then_down,positive,down
2020-07-02,5.63,13.48,7.43,pos_then_up,positive,up
2020-10-02,1.99,2.55,0.55,pos_then_up,positive,up
2021-01-04,-0.84,0.73,1.58,neg_then_up,negative,up
2021-07-02,0.41,-2.85,-3.25,pos_then_down,positive,down
2021-10-04,0.42,-0.12,-0.54,pos_then_down,positive,down
2022-01-03,-0.85,-4.18,-3.36,neg_then_down,negative,down
2022-04-04,-0.8,-4.73,-3.96,neg_then_down,negative,down
2022-07-05,-0.98,-0.57,0.41,neg_then_up,negative,up
2022-10-03,3.35,2.9,-0.43,pos_then_down,positive,down
2023-01-03,0.93,5.12,4.15,pos_then_up,positive,up
2023-04-03,1.31,-1.12,-2.4,pos_then_down,positive,down
2023-07-03,-0.36,0.95,1.31,neg_then_up,negative,up
2023-10-02,-1.19,-2.02,-0.84,neg_then_down,negative,down
2024-01-02,-1.38,-4.01,-2.67,neg_then_down,negative,down
2024-04-02,-1.57,1.05,2.66,neg_then_up,negative,up
2024-07-02,1.43,6.54,5.04,pos_then_up,positive,up
2024-10-02,-1.82,-3.36,-1.56,neg_then_down,negative,down
2025-01-02,0.58,8.22,7.59,pos_then_up,positive,up
2025-04-02,-6.18,-5.47,0.75,neg_then_up,negative,up
2025-07-02,0.74,-0.1,-0.83,pos_then_down,positive,down
2025-10-02,1.67,-1.42,-3.04,pos_then_down,positive,down
