date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-11-15,-0.82,-2.58,-1.77,neg_then_down,negative,down
2005-01-31,2.8,-0.35,-3.06,pos_then_down,positive,down
2005-05-02,-0.06,1.72,1.78,neg_then_up,negative,up
2005-07-25,-0.16,-0.11,0.05,neg_then_up,negative,up
2006-01-30,0.56,0.42,-0.14,pos_then_down,positive,down
2006-04-20,4.1,8.75,4.46,pos_then_up,positive,up
2006-07-31,-0.35,-2.69,-2.34,neg_then_down,negative,down
2007-01-29,-0.46,0.46,0.93,neg_then_up,negative,up
2007-04-30,-1.57,0.91,2.52,neg_then_up,negative,up
2007-07-30,-0.14,-3.09,-2.96,neg_then_down,negative,down
2007-11-14,-0.19,-4.01,-3.82,neg_then_down,negative,down
2008-01-28,-0.21,-2.43,-2.22,neg_then_down,negative,down
2008-04-28,0.88,-2.14,-2.99,pos_then_down,positive,down
2008-07-28,0.6,0.99,0.4,pos_then_up,positive,up
2008-11-10,-9.42,-23.62,-15.68,neg_then_down,negative,down
2009-01-26,0.45,3.48,3.02,pos_then_up,positive,up
2009-05-04,-0.6,3.85,4.47,neg_then_up,negative,up
2009-08-03,0.54,1.89,1.34,pos_then_up,positive,up
2009-11-23,-0.47,-3.96,-3.51,neg_then_down,negative,down
2010-02-05,1.37,3.0,1.62,pos_then_up,positive,up
2010-05-10,-3.29,-1.21,2.15,neg_then_up,negative,up
2010-08-09,-1.6,-1.35,0.25,neg_then_up,negative,up
2010-11-22,-0.84,-2.47,-1.64,neg_then_down,negative,down
2011-02-04,-0.16,-3.07,-2.91,neg_then_down,negative,down
2011-05-09,-0.34,1.13,1.47,neg_then_up,negative,up
2011-08-08,1.79,6.63,4.76,pos_then_up,positive,up
2011-11-21,-0.46,-0.51,-0.05,neg_then_down,negative,down
2012-02-03,-0.98,-1.19,-0.21,neg_then_down,negative,down
2012-05-07,-0.16,3.27,3.44,neg_then_up,negative,up
2012-08-06,1.13,4.23,3.07,pos_then_up,positive,up
2012-11-19,-0.37,1.87,2.25,neg_then_up,negative,up
2013-02-01,-1.32,0.13,1.47,neg_then_up,negative,up
2013-05-06,1.33,2.07,0.74,pos_then_up,positive,up
2013-08-05,-0.2,3.44,3.64,neg_then_up,negative,up
2013-11-18,-0.2,4.62,4.84,neg_then_up,negative,up
2014-01-31,-0.13,-3.69,-3.56,neg_then_down,negative,down
2014-05-05,0.31,-0.49,-0.8,pos_then_down,positive,down
2014-07-28,0.37,-3.43,-3.78,pos_then_down,positive,down
2014-11-17,-0.07,-0.88,-0.81,neg_then_down,negative,down
2015-05-04,-0.07,-1.02,-0.95,neg_then_down,negative,down
2015-08-03,0.03,4.05,4.03,pos_then_up,positive,up
2015-11-23,0.21,2.08,1.87,pos_then_up,positive,up
2016-05-09,0.92,1.51,0.58,pos_then_up,positive,up
2016-08-08,0.28,0.54,0.26,pos_then_up,positive,up
2016-11-21,0.64,2.36,1.71,pos_then_up,positive,up
2017-02-06,0.44,2.41,1.96,pos_then_up,positive,up
2017-05-08,0.05,-2.69,-2.74,pos_then_down,positive,down
2017-08-07,-0.43,-2.81,-2.39,neg_then_down,negative,down
2017-11-13,0.08,0.64,0.56,pos_then_up,positive,up
2018-02-08,1.23,1.29,0.05,pos_then_up,positive,up
2018-05-07,-0.65,-0.83,-0.18,neg_then_down,negative,down
2018-08-06,-0.82,0.4,1.23,neg_then_up,negative,up
2018-11-13,0.21,1.01,0.81,pos_then_up,positive,up
2019-02-07,-0.91,-1.38,-0.47,neg_then_down,negative,down
2019-05-06,0.12,-0.26,-0.38,pos_then_down,positive,down
2019-08-05,0.84,1.42,0.58,pos_then_up,positive,up
2019-11-12,0.46,-0.01,-0.47,pos_then_down,positive,down
2020-05-04,-0.04,3.02,3.06,neg_then_up,negative,up
2020-08-03,1.07,4.31,3.2,pos_then_up,positive,up
2020-11-16,-1.93,-1.48,0.46,neg_then_up,negative,up
2021-02-11,-0.38,0.34,0.72,neg_then_up,negative,up
2021-05-10,-0.66,0.79,1.46,neg_then_up,negative,up
2021-08-09,0.38,2.91,2.53,pos_then_up,positive,up
2021-11-15,0.52,-0.63,-1.15,pos_then_down,positive,down
2022-02-07,0.74,-0.38,-1.11,pos_then_down,positive,down
2022-05-09,0.62,-0.81,-1.42,pos_then_down,positive,down
2022-08-08,0.15,-0.22,-0.37,pos_then_down,positive,down
2022-11-14,1.33,-0.76,-2.06,pos_then_down,positive,down
2023-02-06,-1.29,0.54,1.86,neg_then_up,negative,up
2023-05-08,-0.85,-3.77,-2.94,neg_then_down,negative,down
2023-08-07,-0.77,1.38,2.17,neg_then_up,negative,up
2023-11-13,0.28,4.65,4.35,pos_then_up,positive,up
2024-02-05,1.57,-3.67,-5.15,pos_then_down,positive,down
2024-05-06,0.32,0.67,0.34,pos_then_up,positive,up
2024-08-05,0.1,-1.55,-1.65,pos_then_down,positive,down
2024-11-12,-0.54,1.02,1.57,neg_then_up,negative,up
2025-02-03,0.05,-1.26,-1.32,pos_then_down,positive,down
2025-05-05,-0.25,-0.59,-0.34,neg_then_down,negative,down
2025-08-04,0.13,1.82,1.69,pos_then_up,positive,up
2025-11-10,0.63,2.99,2.34,pos_then_up,positive,up
