date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2016-11-10,6.74,1.76,8.62,pos_then_up,positive,up
2017-02-16,1.92,-4.68,-2.85,pos_then_down,positive,down
2017-05-11,19.28,9.08,30.11,pos_then_up,positive,up
2017-08-10,10.99,-2.0,8.77,pos_then_down,positive,down
2017-11-09,-13.38,-0.69,-13.98,neg_then_down,negative,down
2018-02-22,13.12,9.48,23.84,pos_then_up,positive,up
2018-05-10,28.48,11.6,43.39,pos_then_up,positive,up
2018-08-09,23.81,10.76,37.13,pos_then_up,positive,up
2018-11-08,-8.9,10.11,0.3,neg_then_up,negative,up
2019-02-21,16.29,12.99,31.39,pos_then_up,positive,up
2019-05-09,0.57,-3.93,-3.38,pos_then_down,positive,down
2019-08-08,-0.76,0.13,-0.63,neg_then_up,negative,up
2019-11-07,-2.13,3.65,1.44,neg_then_up,negative,up
2020-02-27,5.88,8.52,14.9,pos_then_up,positive,up
2020-05-07,-7.19,5.41,-2.17,neg_then_up,negative,up
2020-08-06,3.18,-0.57,2.59,pos_then_down,positive,down
2020-11-05,12.99,12.02,26.58,pos_then_up,positive,up
2021-02-18,-0.65,7.42,6.72,neg_then_up,negative,up
2021-05-10,-3.01,8.32,5.06,neg_then_up,negative,up
2021-08-09,1.88,5.65,7.64,pos_then_up,positive,up
2021-11-08,0.97,8.35,9.4,pos_then_up,positive,up
2022-02-16,-3.01,1.19,-1.85,neg_then_up,negative,up
2022-05-10,-3.75,2.92,-0.94,neg_then_up,negative,up
2022-08-09,25.03,8.95,36.22,pos_then_up,positive,up
2022-11-09,8.8,9.47,19.1,pos_then_up,positive,up
2023-02-15,-2.11,-2.82,-4.87,neg_then_down,negative,down
2023-05-10,4.25,-4.72,-0.68,pos_then_down,positive,down
2023-08-09,-2.24,-2.57,-4.74,neg_then_down,negative,down
2023-11-09,-19.72,3.8,-16.66,neg_then_up,negative,up
2024-02-15,18.21,-0.64,17.46,pos_then_down,positive,down
2024-05-08,2.3,0.76,3.08,pos_then_up,positive,up
2024-08-08,2.04,10.25,12.5,pos_then_up,positive,up
2024-11-07,-12.39,7.77,-5.58,neg_then_up,negative,up
2025-02-12,-30.38,-3.73,-32.98,neg_then_down,negative,down
2025-05-08,16.44,1.85,18.6,pos_then_up,positive,up
2025-08-07,-35.88,-4.25,-38.61,neg_then_down,negative,down
2025-11-06,0.22,-6.52,-6.32,pos_then_down,positive,down
