date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-03-10,-0.14,0.86,1.0,neg_then_up,negative,up
2005-10-27,1.12,0.0,-1.11,pos_then_down,positive,down
2006-07-27,-0.85,2.81,3.7,neg_then_up,negative,up
2007-03-01,-0.44,-1.63,-1.19,neg_then_down,negative,down
2007-07-26,-0.41,-1.79,-1.39,neg_then_down,negative,down
2007-10-25,1.62,11.19,9.42,pos_then_up,positive,up
2008-02-28,-0.85,-1.49,-0.65,neg_then_down,negative,down
2008-07-25,0.23,0.64,0.41,pos_then_up,positive,up
2008-10-27,2.48,9.65,7.0,pos_then_up,positive,up
2009-02-26,-1.1,-0.22,0.89,neg_then_up,negative,up
2009-04-28,2.06,0.29,-1.73,pos_then_down,positive,down
2009-07-30,-0.56,-3.87,-3.33,neg_then_down,negative,down
2009-10-29,-0.32,-0.05,0.26,neg_then_up,negative,up
2010-02-25,-0.22,-1.94,-1.73,neg_then_down,negative,down
2010-04-29,-0.29,-2.46,-2.18,neg_then_down,negative,down
2010-07-29,-0.95,-2.67,-1.73,neg_then_down,negative,down
2010-10-28,-0.55,1.44,2.0,neg_then_up,negative,up
2011-02-24,1.32,-0.18,-1.48,pos_then_down,positive,down
2011-04-29,0.16,-0.65,-0.81,pos_then_down,positive,down
2011-07-28,-1.34,0.12,1.47,neg_then_up,negative,up
2011-10-27,-0.03,0.47,0.5,neg_then_up,negative,up
2012-02-23,1.13,-0.77,-1.88,pos_then_down,positive,down
2012-04-26,-0.05,1.11,1.16,neg_then_up,negative,up
2012-07-26,1.01,5.56,4.51,pos_then_up,positive,up
2012-10-25,0.34,1.47,1.13,pos_then_up,positive,up
2013-02-07,0.24,-0.11,-0.35,pos_then_down,positive,down
2013-04-25,0.19,-0.93,-1.12,pos_then_down,positive,down
2013-07-25,-0.24,-1.56,-1.32,neg_then_down,negative,down
2013-10-24,0.63,-1.69,-2.3,pos_then_down,positive,down
2014-02-06,0.23,-1.18,-1.4,pos_then_down,positive,down
2014-04-24,-0.71,0.08,0.8,neg_then_up,negative,up
2014-07-24,-1.05,-0.61,0.45,neg_then_up,negative,up
2014-10-23,0.3,2.22,1.91,pos_then_up,positive,up
2015-02-05,0.3,0.76,0.46,pos_then_up,positive,up
2015-04-23,0.34,1.4,1.06,pos_then_up,positive,up
2015-07-23,-0.41,-2.01,-1.61,neg_then_down,negative,down
2015-10-22,0.97,-0.13,-1.1,pos_then_down,positive,down
2016-02-18,-0.92,-2.09,-1.19,neg_then_down,negative,down
2016-04-28,0.01,2.21,2.21,pos_then_up,positive,up
2016-07-28,0.05,-1.8,-1.85,pos_then_down,positive,down
2016-10-27,-0.57,1.03,1.61,neg_then_up,negative,up
2017-02-08,0.9,10.05,9.07,pos_then_up,positive,up
2017-04-26,0.69,3.01,2.3,pos_then_up,positive,up
2017-07-26,-3.0,-6.3,-3.41,neg_then_down,negative,down
2017-10-25,4.21,6.66,2.35,pos_then_up,positive,up
2018-02-21,0.92,-1.67,-2.56,pos_then_down,positive,down
2018-05-02,-1.0,0.17,1.19,neg_then_up,negative,up
2018-07-26,2.39,-2.7,-4.98,pos_then_down,positive,down
2018-10-31,-0.99,-7.87,-6.95,neg_then_down,negative,down
2019-02-20,-2.03,-2.11,-0.08,neg_then_down,negative,down
2019-05-01,-2.62,-4.37,-1.8,neg_then_down,negative,down
2019-07-31,0.46,5.78,5.3,pos_then_up,positive,up
2019-10-30,-8.97,-0.23,9.6,neg_then_up,negative,up
2020-02-12,-1.0,-1.26,-0.27,neg_then_down,negative,down
2020-04-29,-1.13,-0.09,1.05,neg_then_up,negative,up
2020-07-29,-1.4,-0.21,1.21,neg_then_up,negative,up
2020-11-04,2.22,0.97,-1.23,pos_then_down,positive,down
2021-02-10,0.18,3.42,3.23,pos_then_up,positive,up
2021-04-28,0.94,-3.22,-4.13,pos_then_down,positive,down
2021-07-28,0.27,-0.87,-1.13,pos_then_down,positive,down
2021-10-27,1.34,2.19,0.84,pos_then_up,positive,up
2022-02-16,-5.37,-8.75,-3.57,neg_then_down,negative,down
2022-04-27,3.44,8.95,5.33,pos_then_up,positive,up
2022-07-27,-1.73,6.41,8.29,neg_then_up,negative,up
2022-10-26,0.95,-2.88,-3.79,pos_then_down,positive,down
2023-02-15,-2.62,1.9,4.64,neg_then_up,negative,up
2023-04-26,0.15,5.21,5.05,pos_then_up,positive,up
2023-07-26,0.86,-6.13,-6.93,pos_then_down,positive,down
2023-11-01,4.53,9.46,4.72,pos_then_up,positive,up
2024-02-14,-3.86,0.22,4.24,neg_then_up,negative,up
2024-04-24,6.38,9.32,2.77,pos_then_up,positive,up
2024-07-24,2.38,9.41,6.87,pos_then_up,positive,up
2024-10-23,2.0,5.06,3.0,pos_then_up,positive,up
2025-02-12,1.75,5.98,4.16,pos_then_up,positive,up
2025-04-23,-2.12,-6.81,-4.79,neg_then_down,negative,down
2025-07-30,1.63,5.39,3.7,pos_then_up,positive,up
2025-10-29,-1.88,0.02,1.93,neg_then_up,negative,up
