date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-22,-0.15,-1.65,-1.51,neg_then_down,negative,down
2005-02-25,-0.21,1.01,1.22,neg_then_up,negative,up
2005-04-28,0.45,2.42,1.96,pos_then_up,positive,up
2005-07-28,-0.06,-1.85,-1.79,neg_then_down,negative,down
2005-10-28,0.33,2.59,2.26,pos_then_up,positive,up
2006-02-28,-0.08,0.64,0.72,neg_then_up,negative,up
2006-07-28,-0.25,-0.52,-0.27,neg_then_down,negative,down
2006-10-27,0.02,-1.23,-1.25,pos_then_down,positive,down
2007-03-01,0.05,0.12,0.07,pos_then_up,positive,up
2007-07-27,1.35,0.15,-1.18,pos_then_down,positive,down
2007-10-30,0.27,-0.49,-0.75,pos_then_down,positive,down
2008-02-28,2.49,4.64,2.1,pos_then_up,positive,up
2008-07-29,0.96,0.84,-0.11,pos_then_down,positive,down
2008-10-28,0.92,2.76,1.82,pos_then_up,positive,up
2009-02-26,5.72,3.34,-2.26,pos_then_down,positive,down
2009-04-28,0.97,4.66,3.66,pos_then_up,positive,up
2009-07-29,0.49,-1.03,-1.51,pos_then_down,positive,down
2009-10-30,0.7,2.84,2.12,pos_then_up,positive,up
2010-02-25,-1.58,0.03,1.64,neg_then_up,negative,up
2010-04-27,0.24,-0.38,-0.62,pos_then_down,positive,down
2010-07-27,0.34,-2.46,-2.78,pos_then_down,positive,down
2010-10-28,-0.57,1.73,2.31,neg_then_up,negative,up
2011-02-28,2.82,3.87,1.02,pos_then_up,positive,up
2011-07-28,-0.96,-0.62,0.34,neg_then_up,negative,up
2011-10-28,-0.85,-2.61,-1.77,neg_then_down,negative,down
2012-02-27,-1.37,1.96,3.37,neg_then_up,negative,up
2012-07-27,-0.47,-1.05,-0.58,neg_then_down,negative,down
2012-10-31,-0.7,5.48,6.23,neg_then_up,negative,up
2013-02-28,-0.85,0.5,1.36,neg_then_up,negative,up
2013-07-26,0.56,0.23,-0.33,pos_then_down,positive,down
2013-10-30,-0.02,-0.2,-0.17,neg_then_down,negative,down
2014-02-27,-2.14,-2.34,-0.2,neg_then_down,negative,down
2014-07-25,0.62,3.68,3.04,pos_then_up,positive,up
2014-10-28,-0.13,-2.54,-2.41,neg_then_down,negative,down
2015-04-28,-0.03,-1.75,-1.72,neg_then_down,negative,down
2015-07-31,0.5,0.39,-0.1,pos_then_down,positive,down
2015-10-28,-0.23,1.23,1.47,neg_then_up,negative,up
2016-02-25,-2.95,1.94,5.04,neg_then_up,negative,up
2016-04-28,0.05,-0.91,-0.96,pos_then_down,positive,down
2016-07-27,-0.96,-0.47,0.49,neg_then_up,negative,up
2016-10-27,-0.34,-1.49,-1.16,neg_then_down,negative,down
2017-02-28,2.56,-0.03,-2.52,pos_then_down,positive,down
2017-07-25,-3.3,-8.15,-5.02,neg_then_down,negative,down
2017-10-25,-1.23,-6.22,-5.06,neg_then_down,negative,down
2018-02-28,1.15,1.59,0.44,pos_then_up,positive,up
2018-07-25,0.3,5.76,5.44,pos_then_up,positive,up
2018-10-25,-0.5,-4.89,-4.41,neg_then_down,negative,down
2019-02-27,0.23,4.26,4.02,pos_then_up,positive,up
2019-07-26,-1.43,0.5,1.96,neg_then_up,negative,up
2019-10-25,-0.17,0.11,0.28,neg_then_up,negative,up
2020-02-26,-0.8,-5.15,-4.39,neg_then_down,negative,down
2020-04-28,0.97,4.9,3.89,pos_then_up,positive,up
2020-07-28,1.0,3.71,2.69,pos_then_up,positive,up
2020-10-30,1.79,3.95,2.13,pos_then_up,positive,up
2021-02-25,-1.32,-7.11,-5.87,neg_then_down,negative,down
2021-04-27,0.65,1.3,0.65,pos_then_up,positive,up
2021-07-27,0.55,-0.77,-1.31,pos_then_down,positive,down
2021-10-26,-1.09,-0.99,0.1,neg_then_up,negative,up
2022-02-24,6.28,6.18,-0.1,pos_then_down,positive,down
2022-04-26,-0.84,-1.38,-0.55,neg_then_down,negative,down
2022-07-26,-0.39,-0.08,0.31,neg_then_up,negative,up
2022-10-25,9.05,13.13,3.74,pos_then_up,positive,up
2023-02-27,-11.95,-8.41,4.02,neg_then_up,negative,up
2023-07-26,0.78,-2.39,-3.15,pos_then_down,positive,down
2023-10-26,-0.47,-0.72,-0.25,neg_then_down,negative,down
2024-02-27,2.89,-2.45,-5.19,pos_then_down,positive,down
2024-07-25,2.24,4.24,1.96,pos_then_up,positive,up
2024-10-25,0.52,0.89,0.37,pos_then_up,positive,up
2025-02-27,-8.3,-5.81,2.72,neg_then_up,negative,up
2025-04-29,0.19,3.02,2.82,pos_then_up,positive,up
2025-07-29,-0.44,1.61,2.05,neg_then_up,negative,up
2025-10-28,-0.69,2.73,3.44,neg_then_up,negative,up
