date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-23,-0.42,0.1,0.52,neg_then_up,negative,up
2004-01-21,-0.15,0.22,0.37,neg_then_up,negative,up
2004-04-29,-0.05,-0.62,-0.57,neg_then_down,negative,down
2004-07-22,0.19,-0.65,-0.85,pos_then_down,positive,down
2004-10-21,0.66,0.0,-0.65,pos_then_down,positive,down
2005-01-24,0.17,0.78,0.61,pos_then_up,positive,up
2005-10-07,0.3,0.07,-0.23,pos_then_down,positive,down
2006-01-19,-0.73,-1.41,-0.69,neg_then_down,negative,down
2006-04-20,2.63,1.52,-1.08,pos_then_down,positive,down
2006-07-20,-0.02,-1.15,-1.13,neg_then_down,negative,down
2006-10-19,0.2,-0.57,-0.76,pos_then_down,positive,down
2007-01-25,0.26,-1.1,-1.35,pos_then_down,positive,down
2007-04-19,0.79,0.64,-0.15,pos_then_down,positive,down
2007-07-19,-0.99,0.1,1.1,neg_then_up,negative,up
2007-10-18,0.02,-2.63,-2.65,pos_then_down,positive,down
2008-01-24,0.92,-0.95,-1.85,pos_then_down,positive,down
2008-04-24,0.47,1.85,1.37,pos_then_up,positive,up
2008-07-24,0.73,0.4,-0.32,pos_then_down,positive,down
2008-10-23,-8.82,0.05,9.73,neg_then_up,negative,up
2009-01-22,-2.27,-1.73,0.54,neg_then_up,negative,up
2009-04-23,0.32,-0.85,-1.17,pos_then_down,positive,down
2009-07-23,-0.74,-1.96,-1.23,neg_then_down,negative,down
2009-10-22,-2.03,-5.55,-3.59,neg_then_down,negative,down
2010-01-21,0.17,-2.44,-2.61,pos_then_down,positive,down
2010-04-22,0.62,1.11,0.5,pos_then_up,positive,up
2010-07-22,0.36,2.07,1.71,pos_then_up,positive,up
2010-10-21,-0.22,1.23,1.46,neg_then_up,negative,up
2011-01-20,0.46,-0.57,-1.03,pos_then_down,positive,down
2011-04-20,0.49,-0.01,-0.5,pos_then_down,positive,down
2011-07-21,-0.11,-0.57,-0.46,neg_then_down,negative,down
2011-10-20,0.89,2.51,1.6,pos_then_up,positive,up
