date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-26,1.16,-1.78,-0.65,pos_then_down,positive,down
2005-02-01,0.9,2.87,3.79,pos_then_up,positive,up
2005-07-26,0.35,0.35,0.7,pos_then_up,positive,up
2005-10-31,-0.48,1.02,0.54,neg_then_up,negative,up
2006-04-25,0.78,-5.57,-4.83,pos_then_down,positive,down
2006-08-01,1.15,-0.9,0.24,pos_then_down,positive,down
2006-10-31,-0.73,-1.54,-2.25,neg_then_down,negative,down
2007-02-01,0.93,-0.57,0.36,pos_then_down,positive,down
2007-04-26,-0.53,-0.21,-0.74,neg_then_down,negative,down
2007-07-31,-0.25,-4.88,-5.12,neg_then_down,negative,down
2007-11-06,0.37,-3.19,-2.83,pos_then_down,positive,down
2008-01-29,-0.51,-1.19,-1.7,neg_then_down,negative,down
2008-04-29,-0.7,-4.46,-5.13,neg_then_down,negative,down
2008-07-29,1.92,3.5,5.49,pos_then_up,positive,up
2008-10-28,3.15,0.63,3.81,pos_then_up,positive,up
2009-01-27,1.69,2.35,4.08,pos_then_up,positive,up
2009-04-28,0.34,-1.91,-1.59,pos_then_down,positive,down
2009-07-28,-1.86,-1.56,-3.38,neg_then_down,negative,down
2009-10-27,1.55,-5.03,-3.56,pos_then_down,positive,down
2010-01-27,-0.21,-1.18,-1.39,neg_then_down,negative,down
2010-04-27,0.6,2.05,2.66,pos_then_up,positive,up
2010-07-27,-0.17,-1.9,-2.07,neg_then_down,negative,down
2010-10-26,-0.28,1.39,1.11,neg_then_up,negative,up
2011-01-26,0.71,-0.43,0.28,pos_then_down,positive,down
2011-04-26,2.14,-2.13,-0.04,pos_then_down,positive,down
2011-07-26,-1.02,-2.94,-3.93,neg_then_down,negative,down
2011-11-01,2.93,0.84,3.8,pos_then_up,positive,up
2012-01-31,2.21,-2.2,-0.04,pos_then_down,positive,down
2012-05-01,-0.81,-1.75,-2.54,neg_then_down,negative,down
2012-07-31,0.62,-1.88,-1.27,pos_then_down,positive,down
2013-01-29,1.1,-1.13,-0.05,pos_then_down,positive,down
2013-04-30,-0.87,-2.98,-3.82,neg_then_down,negative,down
2013-07-23,0.31,-2.37,-2.07,pos_then_down,positive,down
2013-10-29,-0.52,3.52,2.98,neg_then_up,negative,up
2014-01-29,1.34,-1.31,0.02,pos_then_down,positive,down
2014-04-29,-0.05,0.63,0.58,neg_then_up,negative,up
2014-07-30,-0.16,1.64,1.48,neg_then_up,negative,up
2014-11-04,0.28,-2.23,-1.96,pos_then_down,positive,down
2015-01-29,-0.63,2.18,1.54,neg_then_up,negative,up
2015-04-28,0.15,-1.48,-1.33,pos_then_down,positive,down
2015-07-30,0.52,2.24,2.77,pos_then_up,positive,up
2015-10-28,-0.22,4.0,3.77,neg_then_up,negative,up
2016-01-28,0.76,4.37,5.16,pos_then_up,positive,up
2016-07-26,0.06,-0.93,-0.87,pos_then_down,positive,down
2016-10-25,-0.36,1.36,1.0,neg_then_up,negative,up
2017-01-31,1.17,-1.74,-0.59,pos_then_down,positive,down
2017-04-25,-0.64,-0.78,-1.41,neg_then_down,negative,down
2017-07-27,-0.18,-1.16,-1.33,neg_then_down,negative,down
2017-10-26,-0.21,2.13,1.91,neg_then_up,negative,up
2018-02-01,-0.53,-1.06,-1.58,neg_then_down,negative,down
2018-04-26,0.06,-1.64,-1.58,pos_then_down,positive,down
2018-07-26,-0.33,-0.09,-0.41,neg_then_down,negative,down
2018-10-25,-1.55,-0.28,-1.82,neg_then_down,negative,down
2019-01-31,0.2,-3.11,-2.92,pos_then_down,positive,down
2019-04-25,-0.61,-0.22,-0.83,neg_then_down,negative,down
2019-07-25,-0.29,1.32,1.03,neg_then_up,negative,up
2019-10-24,1.12,1.3,2.44,pos_then_up,positive,up
2020-01-30,-0.71,-3.71,-4.4,neg_then_down,negative,down
2020-04-13,0.22,2.29,2.52,pos_then_up,positive,up
2020-07-30,-1.4,1.24,-0.18,neg_then_up,negative,up
2020-10-22,0.97,0.7,1.67,pos_then_up,positive,up
2021-01-28,-0.57,-2.71,-3.26,neg_then_down,negative,down
2021-04-08,-0.45,-2.01,-2.46,neg_then_down,negative,down
2021-07-29,-1.14,0.15,-0.99,neg_then_up,negative,up
2022-01-27,-0.62,-0.07,-0.7,neg_then_down,negative,down
2022-04-26,0.68,3.45,4.16,pos_then_up,positive,up
2022-07-28,0.28,0.87,1.15,pos_then_up,positive,up
2022-10-25,0.7,-0.74,-0.05,pos_then_down,positive,down
2023-01-26,0.06,-4.56,-4.5,pos_then_down,positive,down
2023-04-27,-0.12,0.15,0.03,neg_then_up,negative,up
2023-07-27,1.01,1.84,2.87,pos_then_up,positive,up
2023-10-26,-0.38,-1.06,-1.44,neg_then_down,negative,down
2024-04-25,-1.16,0.37,-0.8,neg_then_up,negative,up
2024-07-25,0.48,0.86,1.35,pos_then_up,positive,up
2024-10-24,1.25,-0.45,0.79,pos_then_down,positive,down
2025-01-30,1.08,-2.83,-1.79,pos_then_down,positive,down
2025-04-16,1.27,1.45,2.74,pos_then_up,positive,up
2025-07-24,1.1,0.06,1.16,pos_then_up,positive,up
2025-10-23,0.63,-1.82,-1.2,pos_then_down,positive,down
