date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-20,11.36,19.59,7.39,pos_then_up,positive,up
2005-01-26,-12.06,-13.05,-1.13,neg_then_down,negative,down
2005-04-20,11.88,13.63,1.57,pos_then_up,positive,up
2005-07-20,-12.79,-15.62,-3.24,neg_then_down,negative,down
2005-09-29,1.11,3.44,2.3,pos_then_up,positive,up
2006-01-26,-4.01,-0.7,3.44,neg_then_up,negative,up
2006-04-20,-4.49,-3.78,0.74,neg_then_up,negative,up
2006-07-20,-4.61,-7.77,-3.31,neg_then_down,negative,down
2006-10-19,0.48,-0.19,-0.68,pos_then_down,positive,down
2007-01-31,3.97,8.74,4.59,pos_then_up,positive,up
2007-05-02,-2.63,-0.96,1.71,neg_then_up,negative,up
2007-07-26,-1.72,-4.16,-2.48,neg_then_down,negative,down
2007-11-01,-1.02,0.5,1.53,neg_then_up,negative,up
2008-01-31,-0.44,5.69,6.16,neg_then_up,negative,up
2008-04-07,-0.92,1.69,2.63,neg_then_up,negative,up
2008-07-03,-3.38,-9.5,-6.34,neg_then_down,negative,down
2008-11-06,7.16,8.7,1.43,pos_then_up,positive,up
2009-02-05,-6.53,-0.59,6.35,neg_then_up,negative,up
2009-05-07,11.19,16.47,4.75,pos_then_up,positive,up
2009-08-06,-2.72,-9.24,-6.7,neg_then_down,negative,down
2009-11-05,-7.92,-3.17,5.16,neg_then_up,negative,up
2010-02-02,-8.71,-0.51,8.98,neg_then_up,negative,up
2010-04-28,-0.93,2.34,3.3,neg_then_up,negative,up
2010-08-02,1.14,4.36,3.18,pos_then_up,positive,up
2010-10-28,-1.67,3.89,5.66,neg_then_up,negative,up
2011-01-27,-0.76,2.58,3.37,neg_then_up,negative,up
2011-04-28,0.16,-0.7,-0.86,pos_then_down,positive,down
2011-07-28,-1.25,-2.56,-1.33,neg_then_down,negative,down
2011-10-27,0.62,1.45,0.83,pos_then_up,positive,up
2012-01-26,2.64,1.11,-1.49,pos_then_down,positive,down
2012-04-26,-4.0,-0.79,3.35,neg_then_up,negative,up
2012-07-13,-0.51,0.19,0.7,neg_then_up,negative,up
2012-10-02,0.06,1.98,1.92,pos_then_up,positive,up
2012-12-20,-0.77,0.4,1.17,neg_then_up,negative,up
2013-04-08,0.52,-1.41,-1.92,pos_then_down,positive,down
2013-07-25,1.68,3.03,1.33,pos_then_up,positive,up
2013-10-24,0.79,1.26,0.47,pos_then_up,positive,up
2014-02-06,-4.35,-4.94,-0.62,neg_then_down,negative,down
2014-04-24,-0.63,-4.26,-3.66,neg_then_down,negative,down
2014-07-24,5.36,11.56,5.89,pos_then_up,positive,up
2014-10-23,0.18,3.92,3.74,pos_then_up,positive,up
2015-02-05,2.62,5.3,2.62,pos_then_up,positive,up
2015-04-23,-4.0,-3.97,0.03,neg_then_up,negative,up
2015-07-23,-0.29,2.59,2.89,neg_then_up,negative,up
2015-10-22,0.54,6.33,5.75,pos_then_up,positive,up
2016-02-11,2.35,3.79,1.41,pos_then_up,positive,up
2016-04-28,2.36,-3.38,-5.6,pos_then_down,positive,down
2016-07-28,-0.95,2.8,3.79,neg_then_up,negative,up
2016-10-27,2.98,4.79,1.76,pos_then_up,positive,up
2017-02-09,0.88,0.75,-0.13,pos_then_down,positive,down
2017-04-27,2.79,0.44,-2.29,pos_then_down,positive,down
2017-07-27,1.39,0.54,-0.84,pos_then_down,positive,down
2017-10-26,-1.44,-0.12,1.34,neg_then_up,negative,up
2018-02-08,1.59,3.29,1.67,pos_then_up,positive,up
2018-04-26,-0.26,-2.15,-1.9,neg_then_down,negative,down
2018-07-26,1.64,-1.11,-2.71,pos_then_down,positive,down
2018-10-25,-0.35,2.08,2.44,neg_then_up,negative,up
2019-02-07,0.55,0.02,-0.52,pos_then_down,positive,down
2019-04-25,2.76,5.65,2.81,pos_then_up,positive,up
2019-07-25,-0.54,0.34,0.89,neg_then_up,negative,up
2019-10-24,6.91,2.39,-4.24,pos_then_down,positive,down
2020-02-06,-3.66,-5.47,-1.88,neg_then_down,negative,down
2020-04-23,2.81,-0.41,-3.13,pos_then_down,positive,down
2020-07-23,0.79,1.48,0.69,pos_then_up,positive,up
2020-10-22,-2.0,-3.4,-1.43,neg_then_down,negative,down
2021-02-11,2.12,-1.06,-3.11,pos_then_down,positive,down
2021-04-22,-1.09,-0.42,0.68,neg_then_up,negative,up
2021-07-22,-3.77,-4.71,-0.97,neg_then_down,negative,down
2021-10-28,2.46,5.68,3.14,pos_then_up,positive,up
2022-02-10,4.93,0.71,-4.02,pos_then_down,positive,down
2022-04-28,-11.14,-14.26,-3.52,neg_then_down,negative,down
2022-07-28,-0.93,3.63,4.59,neg_then_up,negative,up
2022-10-27,5.06,9.46,4.19,pos_then_up,positive,up
2023-02-09,-2.21,1.0,3.28,neg_then_up,negative,up
2023-04-27,-2.17,2.26,4.53,neg_then_up,negative,up
2023-07-27,-0.54,-0.56,-0.02,neg_then_down,negative,down
2023-10-26,-1.99,-5.82,-3.91,neg_then_down,negative,down
2024-02-08,0.6,-1.31,-1.9,pos_then_down,positive,down
2024-04-25,-1.84,-3.94,-2.14,neg_then_down,negative,down
2024-07-25,-0.24,4.16,4.41,neg_then_up,negative,up
2024-10-24,1.02,-2.09,-3.07,pos_then_down,positive,down
2025-02-06,-1.14,0.55,1.71,neg_then_up,negative,up
2025-04-24,-0.23,8.0,8.25,neg_then_up,negative,up
2025-07-24,2.91,6.67,3.66,pos_then_up,positive,up
2025-10-23,1.49,-1.4,-2.84,pos_then_down,positive,down
