date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-01-12,1.27,0.42,-0.84,pos_then_down,positive,down
2004-04-26,1.98,3.52,1.51,pos_then_up,positive,up
2004-07-26,3.33,4.44,1.08,pos_then_up,positive,up
2004-10-25,-0.59,-1.37,-0.79,neg_then_down,negative,down
2005-01-10,2.04,1.3,-0.73,pos_then_down,positive,down
2005-04-26,-0.21,-1.25,-1.05,neg_then_down,negative,down
2005-07-27,-1.12,-4.25,-3.16,neg_then_down,negative,down
2005-10-26,-0.58,-0.62,-0.04,neg_then_down,negative,down
2006-04-25,-4.59,-7.15,-2.68,neg_then_down,negative,down
2006-07-26,-1.35,-6.13,-4.85,neg_then_down,negative,down
2006-10-26,15.71,17.62,1.65,pos_then_up,positive,up
2007-02-01,0.92,-3.07,-3.96,pos_then_down,positive,down
2007-04-30,0.03,-1.79,-1.82,pos_then_down,positive,down
2007-07-24,1.58,10.97,9.24,pos_then_up,positive,up
2007-10-29,-3.89,-3.04,0.88,neg_then_up,negative,up
2008-02-11,-10.05,-5.88,4.64,neg_then_up,negative,up
2008-04-21,1.22,2.54,1.31,pos_then_up,positive,up
2008-07-31,-4.09,-5.22,-1.18,neg_then_down,negative,down
2008-10-27,-0.57,-2.31,-1.75,neg_then_down,negative,down
2009-01-15,0.45,-0.36,-0.81,pos_then_down,positive,down
2009-04-16,0.36,0.72,0.36,pos_then_up,positive,up
2009-08-05,-1.0,-5.52,-4.57,neg_then_down,negative,down
2009-10-26,0.25,3.92,3.67,pos_then_up,positive,up
2010-01-11,0.1,-0.1,-0.19,pos_then_down,positive,down
2010-04-21,-0.74,-3.2,-2.48,neg_then_down,negative,down
2010-07-28,0.15,-1.75,-1.9,pos_then_down,positive,down
2010-10-25,-1.15,0.7,1.87,neg_then_up,negative,up
2011-01-10,3.78,1.38,-2.31,pos_then_down,positive,down
2011-05-03,-2.25,1.04,3.36,neg_then_up,negative,up
2011-07-28,3.98,8.09,3.95,pos_then_up,positive,up
2011-10-27,0.4,-2.35,-2.74,pos_then_down,positive,down
2012-02-02,-2.19,-4.17,-2.02,neg_then_down,negative,down
2012-04-26,-1.71,2.93,4.72,neg_then_up,negative,up
2012-07-30,-0.38,-2.9,-2.53,neg_then_down,negative,down
2012-11-01,-9.79,-10.84,-1.16,neg_then_down,negative,down
2013-01-29,0.26,-3.75,-4.0,pos_then_down,positive,down
2013-04-30,0.69,0.01,-0.67,pos_then_down,positive,down
2013-07-29,2.3,2.82,0.52,pos_then_up,positive,up
