date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2017-05-18,3.04,-1.38,1.62,pos_then_down,positive,down
2017-08-04,0.18,1.98,2.16,pos_then_up,positive,up
2018-02-26,0.16,-0.16,0.0,pos_then_down,positive,down
2018-05-04,0.13,3.3,3.43,pos_then_up,positive,up
2018-08-06,-0.3,1.47,1.16,neg_then_up,negative,up
2018-11-02,0.33,2.04,2.38,pos_then_up,positive,up
2019-02-28,0.5,1.45,1.96,pos_then_up,positive,up
2019-05-03,0.64,-1.94,-1.31,pos_then_down,positive,down
2019-08-02,-0.91,-0.55,-1.45,neg_then_down,negative,down
2019-11-05,0.3,-2.61,-2.31,pos_then_down,positive,down
2020-02-28,0.36,4.35,4.73,pos_then_up,positive,up
2020-05-05,0.21,-2.83,-2.62,pos_then_down,positive,down
2020-08-05,-0.71,3.86,3.12,neg_then_up,negative,up
2020-11-04,1.04,-0.22,0.82,pos_then_down,positive,down
2021-02-26,4.41,-3.33,0.93,pos_then_down,positive,down
2021-08-05,0.49,1.09,1.59,pos_then_up,positive,up
2021-11-05,0.29,-3.99,-3.71,pos_then_down,positive,down
2022-02-25,-0.14,4.34,4.2,neg_then_up,negative,up
2022-05-06,-0.71,-8.7,-9.35,neg_then_down,negative,down
2022-08-05,0.61,-0.08,0.53,pos_then_down,positive,down
2022-11-04,0.44,3.83,4.29,pos_then_up,positive,up
2023-03-01,-0.23,-1.71,-1.93,neg_then_down,negative,down
2023-05-09,1.63,0.88,2.52,pos_then_up,positive,up
2023-08-09,0.43,0.82,1.25,pos_then_up,positive,up
2023-11-07,0.98,-1.2,-0.23,pos_then_down,positive,down
2024-02-28,0.3,2.56,2.87,pos_then_up,positive,up
2024-05-08,0.4,4.03,4.45,pos_then_up,positive,up
2024-08-08,-1.37,0.82,-0.56,neg_then_up,negative,up
2024-11-07,-0.36,4.92,4.55,neg_then_up,negative,up
2025-02-27,-1.55,4.42,2.81,neg_then_up,negative,up
2025-05-07,1.18,-0.16,1.01,pos_then_down,positive,down
2025-08-07,0.25,-1.94,-1.69,pos_then_down,positive,down
2025-11-06,-3.31,7.0,3.46,neg_then_up,negative,up
