date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2020-05-29,-0.35,3.59,3.22,neg_then_up,negative,up
2021-02-22,1.55,-3.3,-1.81,pos_then_down,positive,down
2021-05-10,-0.66,1.34,0.66,neg_then_up,negative,up
2021-08-09,-0.33,0.4,0.07,neg_then_up,negative,up
2022-02-28,1.36,-9.05,-7.81,pos_then_down,positive,down
2022-05-09,-0.95,0.77,-0.19,neg_then_up,negative,up
2022-08-08,-0.59,4.29,3.67,neg_then_up,negative,up
2022-11-07,0.36,0.82,1.19,pos_then_up,positive,up
2023-02-27,0.8,0.97,1.79,pos_then_up,positive,up
2023-08-07,-0.27,1.64,1.36,neg_then_up,negative,up
2023-11-07,4.05,-2.95,0.99,pos_then_down,positive,down
2024-02-28,0.57,0.08,0.65,pos_then_up,positive,up
2024-05-09,-0.27,-0.27,-0.53,neg_then_down,negative,down
2024-08-08,-0.25,-2.4,-2.64,neg_then_down,negative,down
2024-11-07,-0.83,-0.84,-1.67,neg_then_down,negative,down
2025-02-27,1.05,-4.15,-3.15,pos_then_down,positive,down
2025-05-08,-0.77,-2.77,-3.52,neg_then_down,negative,down
2025-08-07,-0.11,3.41,3.3,neg_then_up,negative,up
2025-11-06,-0.2,0.3,0.1,neg_then_up,negative,up
