date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-28,-0.22,-1.1,-1.32,neg_then_down,negative,down
2005-03-01,-0.97,-0.38,-1.34,neg_then_down,negative,down
2005-07-28,-0.09,0.91,0.81,neg_then_up,negative,up
2006-02-28,0.16,-0.64,-0.48,pos_then_down,positive,down
2006-05-02,0.22,1.46,1.69,pos_then_up,positive,up
2006-10-27,0.05,-0.15,-0.1,pos_then_down,positive,down
2007-02-21,0.64,0.11,0.74,pos_then_up,positive,up
2007-05-09,-0.64,-1.37,-2.0,neg_then_down,negative,down
2007-08-09,-0.61,-2.63,-3.22,neg_then_down,negative,down
2007-11-09,-0.52,0.86,0.33,neg_then_up,negative,up
2008-02-14,-0.22,4.08,3.85,neg_then_up,negative,up
2008-05-07,-0.06,0.15,0.09,neg_then_up,negative,up
2008-08-06,-0.76,-0.79,-1.54,neg_then_down,negative,down
2008-11-05,-2.39,-1.06,-3.43,neg_then_down,negative,down
2009-02-12,-0.81,-3.09,-3.87,neg_then_down,negative,down
2009-05-05,0.28,-0.45,-0.17,pos_then_down,positive,down
2009-07-30,-1.94,1.41,-0.56,neg_then_up,negative,up
2009-10-29,-0.86,-0.86,-1.71,neg_then_down,negative,down
2010-01-26,-0.35,1.84,1.48,neg_then_up,negative,up
2010-04-28,1.03,2.26,3.31,pos_then_up,positive,up
2010-07-29,-1.11,1.81,0.67,neg_then_up,negative,up
2010-11-05,-0.34,0.42,0.07,neg_then_up,negative,up
2011-02-17,0.61,0.86,1.48,pos_then_up,positive,up
2011-05-05,0.94,-2.61,-1.69,pos_then_down,positive,down
2011-08-04,1.28,-2.97,-1.73,pos_then_down,positive,down
2011-11-04,0.24,-0.4,-0.17,pos_then_down,positive,down
2012-02-17,0.09,-1.84,-1.75,pos_then_down,positive,down
2012-04-27,-0.08,-0.61,-0.69,neg_then_down,negative,down
2012-07-26,0.68,0.94,1.63,pos_then_up,positive,up
2012-10-26,0.65,-0.28,0.36,pos_then_down,positive,down
2013-02-15,0.12,-0.29,-0.17,pos_then_down,positive,down
2013-04-26,0.43,0.32,0.75,pos_then_up,positive,up
2013-07-26,-0.34,0.28,-0.06,neg_then_up,negative,up
2013-10-25,0.07,-1.16,-1.08,pos_then_down,positive,down
2014-02-14,-0.02,-0.15,-0.16,neg_then_down,negative,down
2014-04-25,0.5,1.64,2.14,pos_then_up,positive,up
2014-08-12,0.57,1.9,2.48,pos_then_up,positive,up
2014-10-24,0.42,0.22,0.64,pos_then_up,positive,up
2015-02-13,0.2,-0.35,-0.16,pos_then_down,positive,down
2015-04-24,0.33,-1.01,-0.69,pos_then_down,positive,down
2015-07-24,0.08,0.98,1.06,pos_then_up,positive,up
2016-02-12,0.68,1.97,2.66,pos_then_up,positive,up
2016-04-29,0.55,0.26,0.8,pos_then_up,positive,up
2016-07-29,-0.41,0.94,0.53,neg_then_up,negative,up
2016-10-28,0.37,1.04,1.42,pos_then_up,positive,up
2017-02-10,0.15,1.52,1.67,pos_then_up,positive,up
2017-04-28,0.34,-0.4,-0.06,pos_then_down,positive,down
2017-07-28,-0.01,0.36,0.34,neg_then_up,negative,up
2017-10-27,0.37,0.83,1.2,pos_then_up,positive,up
2018-02-09,0.12,-2.3,-2.19,pos_then_down,positive,down
2018-04-27,1.18,-1.49,-0.33,pos_then_down,positive,down
2018-07-27,0.09,0.49,0.58,pos_then_up,positive,up
2018-10-26,0.37,0.46,0.83,pos_then_up,positive,up
2019-02-08,-0.28,-0.53,-0.81,neg_then_down,negative,down
2019-04-26,0.02,-1.11,-1.09,pos_then_down,positive,down
2019-07-26,0.66,0.12,0.78,pos_then_up,positive,up
2019-10-25,-2.95,0.92,-2.06,neg_then_up,negative,up
2020-02-20,0.08,0.86,0.95,pos_then_up,positive,up
2020-05-08,-0.33,-3.2,-3.52,neg_then_down,negative,down
2020-08-07,-0.39,2.97,2.58,neg_then_up,negative,up
2020-11-06,9.71,7.73,18.19,pos_then_up,positive,up
2021-02-18,0.25,1.28,1.53,pos_then_up,positive,up
2021-05-07,0.37,-0.07,0.29,pos_then_down,positive,down
2021-08-06,-0.51,-1.0,-1.51,neg_then_down,negative,down
2021-11-05,-0.56,-2.2,-2.74,neg_then_down,negative,down
2022-01-20,0.84,1.37,2.22,pos_then_up,positive,up
2022-05-05,-1.81,1.79,-0.05,neg_then_up,negative,up
2022-08-04,-2.18,-1.63,-3.77,neg_then_down,negative,down
2022-11-04,0.73,2.09,2.84,pos_then_up,positive,up
2023-02-09,-1.25,2.14,0.87,neg_then_up,negative,up
2023-05-08,0.55,-1.76,-1.22,pos_then_down,positive,down
2023-08-03,-2.53,-4.4,-6.82,neg_then_down,negative,down
2023-11-02,1.71,-1.43,0.25,pos_then_down,positive,down
2024-02-15,-1.09,0.07,-1.02,neg_then_up,negative,up
2024-05-01,5.0,0.48,5.5,pos_then_up,positive,up
2024-08-01,0.29,1.69,1.99,pos_then_up,positive,up
2024-10-30,-2.72,1.27,-1.49,neg_then_up,negative,up
2025-02-12,0.23,8.09,8.34,pos_then_up,positive,up
2025-04-30,-2.04,-4.53,-6.48,neg_then_down,negative,down
2025-07-30,-0.99,2.07,1.05,neg_then_up,negative,up
2025-10-29,0.99,5.52,6.56,pos_then_up,positive,up
