date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2006-05-02,0.03,-0.03,0.0,pos_then_down,positive,down
2006-08-01,0.75,0.03,0.78,pos_then_up,positive,up
2006-10-30,-0.77,-0.96,-1.73,neg_then_down,negative,down
2007-01-29,0.03,1.42,1.45,pos_then_up,positive,up
2007-04-30,0.39,0.47,0.86,pos_then_up,positive,up
2007-07-30,1.2,1.45,2.67,pos_then_up,positive,up
2007-10-29,-0.11,-1.26,-1.37,neg_then_down,negative,down
2008-01-28,0.94,0.62,1.57,pos_then_up,positive,up
2008-04-28,0.08,0.61,0.69,pos_then_up,positive,up
2008-07-28,0.57,1.01,1.58,pos_then_up,positive,up
2008-10-27,2.39,11.96,14.63,pos_then_up,positive,up
2009-01-27,0.13,3.07,3.2,pos_then_up,positive,up
2009-04-27,0.88,0.49,1.38,pos_then_up,positive,up
2009-07-27,-0.39,1.68,1.29,neg_then_up,negative,up
2009-10-26,1.22,0.72,1.96,pos_then_up,positive,up
2010-01-26,-0.6,-0.4,-0.99,neg_then_down,negative,down
2010-04-22,-0.72,-0.07,-0.79,neg_then_down,negative,down
2010-07-23,0.04,0.89,0.93,pos_then_up,positive,up
2010-10-22,0.65,0.15,0.81,pos_then_up,positive,up
2011-01-25,1.48,0.22,1.7,pos_then_up,positive,up
2011-04-21,0.43,-0.22,0.22,pos_then_down,positive,down
2011-07-22,-0.76,-0.66,-1.42,neg_then_down,negative,down
2011-10-21,0.11,-1.41,-1.31,pos_then_down,positive,down
2012-01-24,0.11,-0.37,-0.26,pos_then_down,positive,down
2012-04-19,0.24,1.28,1.52,pos_then_up,positive,up
2012-07-19,-0.88,0.77,-0.11,neg_then_up,negative,up
2012-10-18,0.42,-1.76,-1.35,pos_then_down,positive,down
2013-01-22,0.23,-0.58,-0.35,pos_then_down,positive,down
2013-04-18,0.79,1.83,2.63,pos_then_up,positive,up
2013-07-18,0.16,-0.2,-0.04,pos_then_down,positive,down
2013-10-17,0.94,1.32,2.27,pos_then_up,positive,up
2014-01-21,-0.55,-0.23,-0.78,neg_then_down,negative,down
2014-04-24,-0.43,-0.3,-0.73,neg_then_down,negative,down
2015-01-22,0.1,-1.46,-1.36,pos_then_down,positive,down
2015-04-21,0.59,0.22,0.81,pos_then_up,positive,up
2015-07-21,-0.38,-0.73,-1.11,neg_then_down,negative,down
2015-10-20,0.44,-1.28,-0.84,pos_then_down,positive,down
2016-01-21,1.18,1.36,2.55,pos_then_up,positive,up
2016-04-21,0.24,0.8,1.04,pos_then_up,positive,up
2016-07-26,0.26,0.67,0.93,pos_then_up,positive,up
2016-10-20,-0.71,-1.21,-1.91,neg_then_down,negative,down
2017-01-24,-1.24,0.55,-0.7,neg_then_up,negative,up
2017-04-20,-1.01,-1.4,-2.4,neg_then_down,negative,down
2017-07-27,-0.23,0.5,0.27,neg_then_up,negative,up
2017-10-19,0.49,0.16,0.65,pos_then_up,positive,up
2018-01-23,1.11,0.74,1.86,pos_then_up,positive,up
2018-04-24,0.79,0.08,0.87,pos_then_up,positive,up
2018-07-24,0.35,-1.51,-1.16,pos_then_down,positive,down
2018-10-23,-0.37,0.74,0.37,neg_then_up,negative,up
2019-01-29,-0.34,1.69,1.35,neg_then_up,negative,up
2019-04-23,0.33,-0.45,-0.12,pos_then_down,positive,down
2019-08-01,-0.27,0.87,0.6,neg_then_up,negative,up
2019-10-25,0.13,-0.45,-0.31,pos_then_down,positive,down
2020-01-30,-0.03,0.17,0.13,neg_then_up,negative,up
2020-07-24,0.26,-0.23,0.04,pos_then_down,positive,down
2020-10-21,0.32,0.7,1.02,pos_then_up,positive,up
2021-01-26,0.12,-2.67,-2.55,pos_then_down,positive,down
2021-04-21,-0.34,-1.14,-1.48,neg_then_down,negative,down
2021-07-21,0.36,-0.36,0.0,pos_then_down,positive,down
2021-10-20,0.3,-0.71,-0.41,pos_then_down,positive,down
2022-01-25,-0.53,-3.04,-3.55,neg_then_down,negative,down
2022-04-22,-1.1,-2.06,-3.14,neg_then_down,negative,down
2022-07-22,-0.16,0.86,0.7,neg_then_up,negative,up
2022-10-21,0.88,0.87,1.75,pos_then_up,positive,up
2023-01-24,0.3,-0.52,-0.22,pos_then_down,positive,down
2023-04-25,-0.54,-0.49,-1.02,neg_then_down,negative,down
2023-07-25,-1.14,1.45,0.29,neg_then_up,negative,up
2023-10-24,0.58,-2.35,-1.78,pos_then_down,positive,down
2024-04-22,0.8,2.03,2.85,pos_then_up,positive,up
2024-07-22,-0.9,0.39,-0.51,neg_then_up,negative,up
2024-10-22,0.87,2.39,3.28,pos_then_up,positive,up
2025-01-24,1.54,1.22,2.78,pos_then_up,positive,up
2025-04-22,-1.48,0.35,-1.13,neg_then_up,negative,up
2025-07-21,0.61,0.49,1.11,pos_then_up,positive,up
2025-10-29,-0.47,-2.65,-3.11,neg_then_down,negative,down
