date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2008-11-07,4.12,-4.09,-0.14,pos_then_down,positive,down
2009-02-25,1.94,-3.02,-1.14,pos_then_down,positive,down
2009-05-04,-1.19,6.41,5.15,neg_then_up,negative,up
2009-08-04,0.88,-1.07,-0.2,pos_then_down,positive,down
2009-11-03,1.79,-0.14,1.64,pos_then_down,positive,down
2010-02-10,-0.22,0.68,0.47,neg_then_up,negative,up
2010-04-30,0.7,0.92,1.63,pos_then_up,positive,up
2010-08-03,0.36,-0.47,-0.1,pos_then_down,positive,down
2010-11-02,-3.82,-0.44,-4.25,neg_then_down,negative,down
2011-02-11,0.18,-0.91,-0.73,pos_then_down,positive,down
2011-04-28,1.0,1.58,2.6,pos_then_up,positive,up
2011-08-04,1.44,-0.13,1.31,pos_then_down,positive,down
2011-11-01,2.82,1.29,4.14,pos_then_up,positive,up
2012-02-16,0.31,0.31,0.62,pos_then_up,positive,up
2012-05-08,-0.79,0.14,-0.65,neg_then_up,negative,up
2012-07-31,-1.74,-0.9,-2.63,neg_then_down,negative,down
2012-11-06,-0.63,-0.54,-1.17,neg_then_down,negative,down
2013-02-14,0.45,-1.21,-0.76,pos_then_down,positive,down
2013-05-07,0.17,-1.36,-1.19,pos_then_down,positive,down
2013-07-30,0.9,-2.46,-1.58,pos_then_down,positive,down
2013-10-31,0.23,-1.41,-1.19,pos_then_down,positive,down
2014-02-13,0.3,1.62,1.93,pos_then_up,positive,up
2014-07-31,-0.25,-1.96,-2.21,neg_then_down,negative,down
2014-11-04,-0.06,3.54,3.48,neg_then_up,negative,up
2015-02-19,-0.32,-0.23,-0.55,neg_then_down,negative,down
2015-05-05,0.03,-1.84,-1.81,pos_then_down,positive,down
2015-08-05,0.48,3.0,3.5,pos_then_up,positive,up
2015-11-03,0.16,-2.67,-2.51,pos_then_down,positive,down
2016-02-18,-0.51,-0.55,-1.05,neg_then_down,negative,down
2016-05-05,-0.22,2.17,1.95,neg_then_up,negative,up
2016-08-02,1.48,0.07,1.55,pos_then_up,positive,up
2016-11-01,-0.39,-1.91,-2.29,neg_then_down,negative,down
2017-02-14,-0.21,0.07,-0.14,neg_then_up,negative,up
2017-05-09,-0.64,-1.43,-2.06,neg_then_down,negative,down
2017-07-31,0.69,-1.57,-0.89,pos_then_down,positive,down
2017-11-02,-0.58,-4.01,-4.56,neg_then_down,negative,down
2018-02-27,-2.88,-3.84,-6.61,neg_then_down,negative,down
2018-05-08,-0.04,-3.3,-3.34,neg_then_down,negative,down
2018-08-07,-0.67,1.06,0.39,neg_then_up,negative,up
2018-11-08,-1.86,-0.57,-2.43,neg_then_down,negative,down
2019-02-26,0.39,0.49,0.88,pos_then_up,positive,up
2019-05-02,0.65,-0.37,0.27,pos_then_down,positive,down
2019-08-06,-0.68,1.77,1.08,neg_then_up,negative,up
2019-11-07,-0.16,-0.23,-0.39,neg_then_down,negative,down
2020-02-27,-2.15,6.46,4.18,neg_then_up,negative,up
2020-05-06,1.77,-3.25,-1.53,pos_then_down,positive,down
2020-08-05,-0.09,2.51,2.41,neg_then_up,negative,up
2020-11-05,-0.28,-2.06,-2.33,neg_then_down,negative,down
2021-02-22,-2.66,-1.62,-4.23,neg_then_down,negative,down
2021-04-28,2.59,-1.33,1.23,pos_then_down,positive,down
2021-08-03,-0.22,1.91,1.69,neg_then_up,negative,up
2021-11-03,0.23,-0.78,-0.55,pos_then_down,positive,down
2022-02-24,-0.29,2.13,1.84,neg_then_up,negative,up
2022-04-26,0.15,-5.19,-5.04,pos_then_down,positive,down
2022-10-24,-1.29,4.3,2.96,neg_then_up,negative,up
2023-02-23,-2.67,1.57,-1.14,neg_then_up,negative,up
2023-05-05,0.85,3.54,4.42,pos_then_up,positive,up
2023-08-03,0.39,7.96,8.38,pos_then_up,positive,up
2023-11-08,2.87,-0.31,2.55,pos_then_down,positive,down
2024-02-23,1.97,-2.62,-0.7,pos_then_down,positive,down
2024-08-07,-12.32,3.85,-8.95,neg_then_up,negative,up
2024-11-07,-0.53,-1.5,-2.03,neg_then_down,negative,down
2025-02-27,0.64,3.52,4.18,pos_then_up,positive,up
2025-11-06,0.04,1.07,1.12,pos_then_up,positive,up
