date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-08-26,1.2,3.83,2.59,pos_then_up,positive,up
2004-01-22,3.63,2.88,-0.72,pos_then_down,positive,down
2004-07-29,-7.65,-14.82,-7.76,neg_then_down,negative,down
2004-10-25,6.16,-3.02,-8.65,pos_then_down,positive,down
2005-01-27,3.61,-0.38,-3.85,pos_then_down,positive,down
2005-04-21,-1.86,-5.43,-3.63,neg_then_down,negative,down
2005-10-27,0.09,4.14,4.05,pos_then_up,positive,up
2006-01-26,4.66,1.26,-3.25,pos_then_down,positive,down
2006-04-27,7.85,6.53,-1.22,pos_then_down,positive,down
2006-07-27,4.49,6.89,2.29,pos_then_up,positive,up
2006-11-02,5.56,5.22,-0.32,pos_then_down,positive,down
2007-01-25,-3.85,-8.13,-4.45,neg_then_down,negative,down
2007-04-26,0.16,-3.94,-4.1,pos_then_down,positive,down
2007-07-26,-0.44,-6.79,-6.38,neg_then_down,negative,down
2007-11-01,6.3,11.11,4.52,pos_then_up,positive,up
2008-01-23,8.22,7.9,-0.3,pos_then_down,positive,down
2008-04-24,-2.62,-9.09,-6.64,neg_then_down,negative,down
2008-07-24,-10.05,-7.97,2.31,neg_then_up,negative,up
2008-10-23,-5.9,12.64,19.71,neg_then_up,negative,up
2009-01-28,4.17,9.37,5.0,pos_then_up,positive,up
2009-04-23,2.11,-2.89,-4.9,pos_then_down,positive,down
2009-07-28,-3.02,-2.24,0.8,neg_then_up,negative,up
2009-10-22,0.16,-4.5,-4.65,pos_then_down,positive,down
2010-01-21,-0.75,-10.05,-9.37,neg_then_down,negative,down
2010-04-22,3.88,9.91,5.8,pos_then_up,positive,up
2010-07-21,-3.05,-6.69,-3.76,neg_then_down,negative,down
2010-10-19,-3.34,0.99,4.49,neg_then_up,negative,up
2011-01-18,-0.71,-2.86,-2.17,neg_then_down,negative,down
2011-04-20,-1.57,1.45,3.07,neg_then_up,negative,up
2011-07-21,1.08,8.28,7.12,pos_then_up,positive,up
2011-10-19,-7.36,6.22,14.66,neg_then_up,negative,up
2012-01-23,3.8,6.25,2.36,pos_then_up,positive,up
2012-04-26,-12.02,-13.99,-2.24,neg_then_down,negative,down
2012-07-25,17.31,20.94,3.1,pos_then_up,positive,up
2012-10-22,-7.88,-2.41,5.94,neg_then_up,negative,up
2013-01-23,0.38,1.53,1.14,pos_then_up,positive,up
2013-04-24,4.1,-0.57,-4.49,pos_then_down,positive,down
2013-07-24,-5.97,-5.92,0.05,neg_then_up,negative,up
2013-10-24,2.71,2.96,0.25,pos_then_up,positive,up
2014-01-22,-1.37,-1.17,0.21,neg_then_up,negative,up
2014-04-30,-2.9,-6.58,-3.8,neg_then_down,negative,down
2014-07-30,-1.49,-1.27,0.23,neg_then_up,negative,up
2014-10-28,-0.09,2.91,3.0,neg_then_up,negative,up
2015-01-27,6.76,2.25,-4.22,pos_then_down,positive,down
