date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2007-02-07,0.08,0.21,0.12,pos_then_up,positive,up
2007-05-01,-0.2,0.33,0.53,neg_then_up,negative,up
2007-07-31,-0.12,1.65,1.77,neg_then_up,negative,up
2007-10-30,0.51,1.63,1.12,pos_then_up,positive,up
2008-02-05,0.41,0.37,-0.04,pos_then_down,positive,down
2008-04-29,0.3,2.48,2.17,pos_then_up,positive,up
2008-07-31,0.35,-1.6,-1.94,pos_then_down,positive,down
2008-10-29,1.93,4.16,2.19,pos_then_up,positive,up
2009-02-03,0.64,0.4,-0.24,pos_then_down,positive,down
2009-05-05,0.44,-2.62,-3.05,pos_then_down,positive,down
2009-07-30,0.02,-0.88,-0.9,pos_then_down,positive,down
2009-10-29,-0.38,-1.67,-1.29,neg_then_down,negative,down
2010-02-02,-0.36,-1.07,-0.71,neg_then_down,negative,down
2010-05-04,-0.19,-0.72,-0.53,neg_then_down,negative,down
2010-07-29,-1.09,-1.0,0.09,neg_then_up,negative,up
2010-10-26,-0.55,-0.59,-0.03,neg_then_down,negative,down
2011-02-01,-0.31,-2.33,-2.02,neg_then_down,negative,down
2011-05-03,0.16,0.32,0.16,pos_then_up,positive,up
2011-07-28,-0.61,-1.03,-0.42,neg_then_down,negative,down
2011-10-27,0.09,-1.68,-1.76,pos_then_down,positive,down
2012-02-02,0.64,0.73,0.09,pos_then_up,positive,up
2012-04-04,-0.06,-0.34,-0.28,neg_then_down,negative,down
2012-10-31,0.42,-0.29,-0.7,pos_then_down,positive,down
2013-01-30,0.33,0.72,0.38,pos_then_up,positive,up
2013-04-30,-0.36,-1.34,-0.98,neg_then_down,negative,down
2013-07-31,0.48,0.83,0.34,pos_then_up,positive,up
2013-10-30,0.02,-0.14,-0.17,pos_then_down,positive,down
2014-02-06,0.21,0.43,0.21,pos_then_up,positive,up
2014-04-30,0.6,0.97,0.37,pos_then_up,positive,up
2014-07-30,-0.59,-1.89,-1.31,neg_then_down,negative,down
2014-10-29,0.43,2.65,2.21,pos_then_up,positive,up
2015-02-11,0.35,0.99,0.64,pos_then_up,positive,up
2015-05-05,-0.13,-0.67,-0.54,neg_then_down,negative,down
2015-07-29,0.15,1.27,1.12,pos_then_up,positive,up
2015-11-04,-0.04,-0.6,-0.56,neg_then_down,negative,down
2016-02-04,-0.67,1.15,1.84,neg_then_up,negative,up
2016-05-03,-0.05,1.95,2.0,neg_then_up,negative,up
2016-07-27,-0.09,0.28,0.38,neg_then_up,negative,up
2016-10-26,0.09,-0.92,-1.0,pos_then_down,positive,down
2017-02-01,-0.52,0.17,0.7,neg_then_up,negative,up
2017-05-02,0.02,0.05,0.03,pos_then_up,positive,up
2017-07-26,-0.1,-0.19,-0.1,neg_then_down,negative,down
2017-10-26,-0.12,0.83,0.95,neg_then_up,negative,up
2018-01-31,-0.34,-2.64,-2.31,neg_then_down,negative,down
2018-05-01,0.02,-0.45,-0.46,pos_then_down,positive,down
2018-07-31,-0.68,-1.25,-0.58,neg_then_down,negative,down
2018-10-31,-1.02,-0.76,0.27,neg_then_up,negative,up
2019-02-12,-0.21,-0.36,-0.15,neg_then_down,negative,down
2019-04-25,0.72,-0.21,-0.92,pos_then_down,positive,down
2019-08-05,0.22,0.99,0.77,pos_then_up,positive,up
2019-11-06,-1.21,-2.57,-1.38,neg_then_down,negative,down
2020-01-30,-0.11,-0.72,-0.61,neg_then_down,negative,down
2020-05-04,-0.74,0.7,1.45,neg_then_up,negative,up
2020-08-04,0.15,-1.89,-2.04,pos_then_down,positive,down
2020-11-03,-0.45,-2.34,-1.9,neg_then_down,negative,down
2021-02-04,0.52,0.08,-0.44,pos_then_down,positive,down
2021-05-03,-0.08,-0.14,-0.06,neg_then_down,negative,down
2021-08-03,-0.32,0.23,0.56,neg_then_up,negative,up
2022-02-03,-0.68,-1.1,-0.42,neg_then_down,negative,down
2022-05-02,0.67,-0.17,-0.84,pos_then_down,positive,down
2022-08-02,-0.29,0.41,0.71,neg_then_up,negative,up
2022-11-01,-0.58,-1.85,-1.28,neg_then_down,negative,down
2023-02-02,-0.74,-1.43,-0.7,neg_then_down,negative,down
2023-05-01,0.11,-0.72,-0.83,pos_then_down,positive,down
2023-08-01,-0.56,-0.1,0.46,neg_then_up,negative,up
2023-10-31,0.33,1.44,1.1,pos_then_up,positive,up
2024-01-08,-0.58,-0.28,0.31,neg_then_up,negative,up
2024-05-01,0.7,0.59,-0.11,pos_then_down,positive,down
2024-07-31,0.83,3.09,2.25,pos_then_up,positive,up
2024-10-31,3.19,0.04,-3.05,pos_then_down,positive,down
2025-02-04,1.36,1.68,0.32,pos_then_up,positive,up
2025-05-06,-0.41,-0.13,0.28,neg_then_up,negative,up
2025-07-30,-0.41,0.66,1.07,neg_then_up,negative,up
2025-10-30,-0.39,-0.77,-0.38,neg_then_down,negative,down
