date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2018-10-12,0.77,1.39,2.17,pos_then_up,positive,up
2019-01-15,1.01,1.64,2.66,pos_then_up,positive,up
2019-04-12,-1.33,1.96,0.6,neg_then_up,negative,up
2019-07-16,-0.22,0.02,-0.2,neg_then_up,negative,up
2019-10-15,-0.14,-0.9,-1.04,neg_then_down,negative,down
2020-01-14,-0.95,-1.04,-1.99,neg_then_down,negative,down
2020-04-14,-4.67,-1.15,-5.77,neg_then_down,negative,down
2020-07-14,3.01,1.48,4.54,pos_then_up,positive,up
2020-10-14,-0.82,-0.48,-1.29,neg_then_down,negative,down
2021-01-15,1.15,0.68,1.84,pos_then_up,positive,up
2021-04-14,0.26,0.33,0.6,pos_then_up,positive,up
2021-07-14,-0.8,0.92,0.11,neg_then_up,negative,up
2021-10-14,0.9,5.82,6.78,pos_then_up,positive,up
2022-01-14,-0.59,-1.78,-2.36,neg_then_down,negative,down
2022-04-14,-0.28,2.06,1.77,neg_then_up,negative,up
2022-07-15,1.95,-1.76,0.15,pos_then_down,positive,down
2022-10-14,3.45,-1.57,1.83,pos_then_down,positive,down
2023-01-13,-0.86,0.64,-0.23,neg_then_up,negative,up
2023-04-14,0.48,3.69,4.19,pos_then_up,positive,up
2023-10-13,1.25,0.43,1.68,pos_then_up,positive,up
2024-01-12,-1.33,0.11,-1.22,neg_then_up,negative,up
2024-04-12,2.02,-1.11,0.89,pos_then_down,positive,down
2024-07-12,0.9,1.19,2.1,pos_then_up,positive,up
2024-10-11,0.46,1.45,1.92,pos_then_up,positive,up
2025-01-15,-0.13,0.13,0.0,neg_then_up,negative,up
2025-04-11,1.04,-0.09,0.94,pos_then_down,positive,down
2025-07-15,0.04,1.29,1.33,pos_then_up,positive,up
2025-10-14,0.72,1.51,2.25,pos_then_up,positive,up
