date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-11-04,1.53,-0.38,1.14,pos_then_down,positive,down
2005-02-23,0.21,0.74,0.96,pos_then_up,positive,up
2005-05-05,1.13,-0.78,0.34,pos_then_down,positive,down
2005-08-04,0.04,-1.57,-1.53,pos_then_down,positive,down
2005-11-01,-0.77,-1.74,-2.49,neg_then_down,negative,down
2006-02-28,2.27,-0.95,1.3,pos_then_down,positive,down
2006-05-04,2.04,0.89,2.95,pos_then_up,positive,up
2006-08-03,1.01,-1.96,-0.97,pos_then_down,positive,down
2006-11-02,1.11,0.2,1.31,pos_then_up,positive,up
2007-02-22,-1.04,0.69,-0.36,neg_then_up,negative,up
2007-05-03,0.31,0.27,0.58,pos_then_up,positive,up
2007-08-02,1.6,-2.67,-1.12,pos_then_down,positive,down
2007-11-01,0.98,0.83,1.82,pos_then_up,positive,up
2008-02-21,2.14,-1.98,0.11,pos_then_down,positive,down
2008-05-01,0.47,2.96,3.44,pos_then_up,positive,up
2008-08-07,0.37,-4.1,-3.75,pos_then_down,positive,down
2008-11-06,1.22,6.45,7.74,pos_then_up,positive,up
2009-02-19,-2.64,-4.77,-7.28,neg_then_down,negative,down
2009-04-30,0.43,2.05,2.48,pos_then_up,positive,up
2009-08-06,1.53,1.93,3.48,pos_then_up,positive,up
2009-10-29,-0.72,-2.73,-3.43,neg_then_down,negative,down
2010-02-18,-0.41,0.77,0.36,neg_then_up,negative,up
2010-05-05,-0.86,-4.45,-5.27,neg_then_down,negative,down
2010-07-29,-1.41,2.86,1.41,neg_then_up,negative,up
2010-10-28,-0.9,2.62,1.7,neg_then_up,negative,up
2011-02-17,0.57,0.4,0.96,pos_then_up,positive,up
2011-05-05,1.46,-1.15,0.29,pos_then_down,positive,down
2011-08-04,1.78,-1.71,0.04,pos_then_down,positive,down
2011-11-02,1.85,0.88,2.75,pos_then_up,positive,up
2012-02-22,-1.13,0.31,-0.82,neg_then_up,negative,up
2012-04-25,0.12,2.7,2.82,pos_then_up,positive,up
2012-07-23,-0.86,-0.74,-1.59,neg_then_down,negative,down
2012-10-31,-1.94,-1.81,-3.72,neg_then_down,negative,down
2013-02-20,-1.92,-0.2,-2.13,neg_then_down,negative,down
2013-05-07,-4.06,0.34,-3.73,neg_then_up,negative,up
2013-07-31,1.81,3.77,5.65,pos_then_up,positive,up
2013-10-31,-0.06,-0.48,-0.53,neg_then_down,negative,down
2014-02-19,0.25,3.45,3.7,pos_then_up,positive,up
2014-04-30,-1.02,3.67,2.61,neg_then_up,negative,up
2014-07-31,-0.65,-1.26,-1.91,neg_then_down,negative,down
2014-10-29,-1.17,-0.09,-1.26,neg_then_down,negative,down
2015-02-18,1.09,0.41,1.5,pos_then_up,positive,up
2015-04-29,-0.13,-2.46,-2.59,neg_then_down,negative,down
2015-07-29,-0.17,-1.74,-1.91,neg_then_down,negative,down
2015-10-28,-0.7,0.71,0.0,neg_then_up,negative,up
2016-02-17,0.19,1.27,1.47,pos_then_up,positive,up
2016-05-04,-4.26,11.67,6.91,neg_then_up,negative,up
2016-08-01,4.48,1.78,6.35,pos_then_up,positive,up
2016-10-31,1.47,-3.58,-2.16,pos_then_down,positive,down
2017-02-15,0.38,-3.81,-3.45,pos_then_down,positive,down
2017-05-04,-0.03,2.47,2.44,neg_then_up,negative,up
2017-08-02,-2.88,1.07,-1.83,neg_then_up,negative,up
2017-11-01,-0.83,-1.54,-2.36,neg_then_down,negative,down
2018-02-14,-1.4,1.42,0.0,neg_then_up,negative,up
2018-05-02,-1.26,1.08,-0.19,neg_then_up,negative,up
2018-08-01,0.4,2.62,3.03,pos_then_up,positive,up
2018-10-31,2.01,3.75,5.84,pos_then_up,positive,up
2019-02-13,-0.92,0.3,-0.63,neg_then_up,negative,up
2019-05-01,-0.18,-1.68,-1.86,neg_then_down,negative,down
2019-07-31,5.19,-1.54,3.57,pos_then_down,positive,down
2019-10-30,-0.35,-2.19,-2.53,neg_then_down,negative,down
2020-02-19,1.86,0.46,2.32,pos_then_up,positive,up
2020-05-04,2.88,-3.46,-0.68,pos_then_down,positive,down
2020-08-03,0.56,7.61,8.21,pos_then_up,positive,up
2020-11-02,1.39,-0.26,1.12,pos_then_down,positive,down
2021-02-22,0.39,3.65,4.06,pos_then_up,positive,up
2021-05-03,0.28,-1.05,-0.77,pos_then_down,positive,down
2021-08-02,-0.52,1.25,0.72,neg_then_up,negative,up
2021-11-01,0.21,-0.73,-0.53,pos_then_down,positive,down
2022-02-22,0.64,1.41,2.07,pos_then_up,positive,up
2022-05-02,2.12,0.51,2.65,pos_then_up,positive,up
2022-08-01,0.44,-3.78,-3.35,pos_then_down,positive,down
2022-10-31,1.68,0.48,2.17,pos_then_up,positive,up
2023-02-21,0.29,0.1,0.39,pos_then_up,positive,up
2023-05-03,1.04,-0.55,0.48,pos_then_down,positive,down
2023-08-02,1.04,1.2,2.26,pos_then_up,positive,up
2023-11-01,-0.14,3.23,3.08,neg_then_up,negative,up
2024-02-14,-0.06,3.51,3.45,neg_then_up,negative,up
2024-05-06,1.48,-1.34,0.13,pos_then_down,positive,down
2024-08-05,1.24,2.59,3.86,pos_then_up,positive,up
2024-11-06,-1.37,1.59,0.2,neg_then_up,negative,up
2025-02-12,-3.01,8.07,4.82,neg_then_up,negative,up
2025-05-05,-1.63,-0.83,-2.44,neg_then_down,negative,down
2025-08-04,-1.51,-0.59,-2.09,neg_then_down,negative,down
2025-11-03,-3.44,-0.86,-4.27,neg_then_down,negative,down
