date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-02-22,-0.23,-3.7,-3.48,neg_then_down,negative,down
2005-07-21,0.23,3.37,3.14,pos_then_up,positive,up
2006-02-21,0.06,1.58,1.51,pos_then_up,positive,up
2006-04-27,0.71,1.66,0.94,pos_then_up,positive,up
2006-07-19,4.82,4.45,-0.35,pos_then_down,positive,down
2006-11-02,0.36,0.43,0.07,pos_then_up,positive,up
2007-02-20,-0.82,0.69,1.53,neg_then_up,negative,up
2007-04-26,-0.13,-4.5,-4.38,neg_then_down,negative,down
2007-08-02,-0.7,-5.68,-5.01,neg_then_down,negative,down
2007-11-01,-0.78,0.49,1.28,neg_then_up,negative,up
2008-02-21,-0.22,-2.68,-2.47,neg_then_down,negative,down
2008-05-01,0.37,-3.26,-3.62,pos_then_down,positive,down
2008-08-05,-1.07,-5.92,-4.9,neg_then_down,negative,down
2008-11-04,-1.22,-2.57,-1.37,neg_then_down,negative,down
2009-04-30,0.06,-1.07,-1.13,pos_then_down,positive,down
2009-08-04,-0.2,0.68,0.89,neg_then_up,negative,up
2009-11-03,0.96,-2.27,-3.2,pos_then_down,positive,down
2010-02-18,-0.03,-2.03,-2.0,neg_then_down,negative,down
2010-04-29,0.3,-1.92,-2.22,pos_then_down,positive,down
2010-08-03,0.23,2.99,2.76,pos_then_up,positive,up
2010-11-02,0.38,2.78,2.4,pos_then_up,positive,up
2011-02-17,-0.39,2.58,2.99,neg_then_up,negative,up
2011-04-28,0.25,-0.3,-0.55,pos_then_down,positive,down
2011-07-28,-1.58,0.67,2.28,neg_then_up,negative,up
2011-11-01,0.83,1.66,0.82,pos_then_up,positive,up
2012-04-17,-1.22,-3.68,-2.49,neg_then_down,negative,down
2012-08-02,1.66,3.51,1.82,pos_then_up,positive,up
2012-11-01,1.14,-1.57,-2.68,pos_then_down,positive,down
2013-02-21,0.77,1.07,0.3,pos_then_up,positive,up
2013-05-02,1.14,0.36,-0.77,pos_then_down,positive,down
2013-08-01,-4.45,0.47,5.15,neg_then_up,negative,up
2013-10-31,-0.31,-2.79,-2.49,neg_then_down,negative,down
2014-02-20,0.04,-0.62,-0.66,pos_then_down,positive,down
2014-05-01,0.3,1.87,1.56,pos_then_up,positive,up
2014-07-31,-0.15,-1.25,-1.11,neg_then_down,negative,down
2014-10-15,-1.3,-1.05,0.25,neg_then_up,negative,up
2015-02-19,0.15,0.19,0.04,pos_then_up,positive,up
2015-04-30,0.06,0.62,0.56,pos_then_up,positive,up
2015-07-30,0.49,0.15,-0.33,pos_then_down,positive,down
2015-10-29,-0.18,-0.17,0.02,neg_then_up,negative,up
2016-04-28,-0.15,-1.48,-1.33,neg_then_down,negative,down
2016-07-28,-0.05,0.35,0.4,neg_then_up,negative,up
2016-10-27,1.13,1.22,0.08,pos_then_up,positive,up
2017-02-16,-0.88,1.3,2.2,neg_then_up,negative,up
2017-04-27,-0.13,-0.71,-0.58,neg_then_down,negative,down
2017-07-27,-1.09,-2.94,-1.86,neg_then_down,negative,down
2017-10-26,0.26,0.23,-0.03,pos_then_down,positive,down
2018-02-15,-1.96,-1.01,0.97,neg_then_up,negative,up
2018-04-26,-0.2,-1.34,-1.14,neg_then_down,negative,down
2018-07-26,0.89,-1.09,-1.97,pos_then_down,positive,down
2018-10-25,-1.5,-3.09,-1.61,neg_then_down,negative,down
2019-02-01,-0.34,1.5,1.85,neg_then_up,negative,up
2019-04-25,0.29,1.16,0.86,pos_then_up,positive,up
2019-07-25,1.08,3.05,1.94,pos_then_up,positive,up
2019-10-24,0.06,1.46,1.4,pos_then_up,positive,up
2020-02-13,0.23,0.11,-0.12,pos_then_down,positive,down
2020-04-23,1.38,4.33,2.92,pos_then_up,positive,up
2020-07-23,-0.79,0.23,1.02,neg_then_up,negative,up
2020-10-22,0.74,0.9,0.16,pos_then_up,positive,up
2021-02-18,0.32,-5.12,-5.42,pos_then_down,positive,down
2021-04-29,0.09,1.22,1.13,pos_then_up,positive,up
2021-07-29,0.44,1.68,1.23,pos_then_up,positive,up
2021-10-28,-0.03,2.08,2.11,neg_then_up,negative,up
2022-02-17,0.43,-4.6,-5.0,pos_then_down,positive,down
2022-04-28,-0.7,-3.17,-2.48,neg_then_down,negative,down
2022-07-28,-0.31,1.07,1.39,neg_then_up,negative,up
2022-10-27,-1.32,1.93,3.3,neg_then_up,negative,up
2023-02-16,-0.81,-1.89,-1.09,neg_then_down,negative,down
2023-04-27,0.44,1.69,1.25,pos_then_up,positive,up
2023-07-27,1.11,2.98,1.84,pos_then_up,positive,up
2023-10-26,-0.49,-1.96,-1.48,neg_then_down,negative,down
2024-02-15,0.03,3.24,3.2,pos_then_up,positive,up
2024-04-25,-1.08,-2.1,-1.04,neg_then_down,negative,down
2024-07-25,0.89,2.74,1.83,pos_then_up,positive,up
2024-10-24,-0.8,-6.87,-6.12,neg_then_down,negative,down
2025-02-13,1.79,7.84,5.95,pos_then_up,positive,up
2025-04-24,1.95,1.88,-0.07,pos_then_down,positive,down
2025-10-23,0.22,-3.18,-3.4,pos_then_down,positive,down
