date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-28,-1.06,0.48,1.55,neg_then_up,negative,up
2005-04-28,0.82,2.2,1.36,pos_then_up,positive,up
2005-07-28,-0.26,-2.87,-2.61,neg_then_down,negative,down
2005-11-03,-0.03,0.41,0.44,neg_then_up,negative,up
2006-02-09,0.17,0.12,-0.06,pos_then_down,positive,down
2006-05-09,0.12,0.38,0.26,pos_then_up,positive,up
2006-08-04,0.03,0.28,0.25,pos_then_up,positive,up
2006-10-31,-0.18,0.03,0.21,neg_then_up,negative,up
2007-02-13,0.05,0.94,0.89,pos_then_up,positive,up
2007-04-30,0.05,0.44,0.39,pos_then_up,positive,up
2007-08-02,-0.5,-2.41,-1.92,neg_then_down,negative,down
2007-10-24,3.83,5.43,1.53,pos_then_up,positive,up
2008-02-06,-1.46,-4.37,-2.96,neg_then_down,negative,down
2008-05-01,0.92,-1.3,-2.2,pos_then_down,positive,down
2008-07-31,-1.02,-1.41,-0.39,neg_then_down,negative,down
2008-10-27,1.89,12.92,10.83,pos_then_up,positive,up
2009-02-12,-1.08,-3.59,-2.54,neg_then_down,negative,down
2009-04-30,-0.58,-3.67,-3.11,neg_then_down,negative,down
2009-07-30,-0.25,3.1,3.36,neg_then_up,negative,up
2009-10-27,-0.5,0.69,1.2,neg_then_up,negative,up
2010-04-29,0.14,-1.12,-1.26,pos_then_down,positive,down
2010-07-29,-0.43,1.26,1.69,neg_then_up,negative,up
2011-02-10,-0.58,1.21,1.8,neg_then_up,negative,up
2011-05-05,0.72,0.97,0.25,pos_then_up,positive,up
2011-08-04,0.9,-1.87,-2.75,pos_then_down,positive,down
2011-10-25,0.59,-0.19,-0.78,pos_then_down,positive,down
2012-02-15,0.09,-1.16,-1.24,pos_then_down,positive,down
2012-04-27,-2.23,-0.98,1.28,neg_then_up,negative,up
2012-08-02,2.15,4.25,2.05,pos_then_up,positive,up
2012-10-24,0.99,1.08,0.09,pos_then_up,positive,up
2013-02-13,-0.19,-1.47,-1.29,neg_then_down,negative,down
2013-05-01,0.15,1.26,1.11,pos_then_up,positive,up
2013-07-25,-1.92,-0.55,1.39,neg_then_up,negative,up
2013-10-30,-0.36,0.33,0.69,neg_then_up,negative,up
2014-02-12,-0.58,-0.62,-0.05,neg_then_down,negative,down
2014-04-29,-1.83,-5.12,-3.35,neg_then_down,negative,down
2014-07-30,0.44,0.39,-0.05,pos_then_down,positive,down
2014-10-28,-1.25,-3.44,-2.22,neg_then_down,negative,down
2015-02-10,0.2,6.42,6.21,pos_then_up,positive,up
2015-04-29,-0.06,-0.96,-0.9,neg_then_down,negative,down
2015-07-29,-0.26,-0.53,-0.28,neg_then_down,negative,down
2015-10-28,0.54,0.04,-0.49,pos_then_down,positive,down
2016-02-09,-3.54,-2.83,0.74,neg_then_up,negative,up
2016-05-06,0.59,1.55,0.95,pos_then_up,positive,up
2016-08-05,-0.29,0.56,0.85,neg_then_up,negative,up
2016-11-04,2.0,0.78,-1.2,pos_then_down,positive,down
2017-02-09,-0.08,1.25,1.33,neg_then_up,negative,up
2017-05-04,0.01,1.31,1.3,pos_then_up,positive,up
2017-08-03,0.63,1.63,0.99,pos_then_up,positive,up
2017-11-02,0.01,1.34,1.33,pos_then_up,positive,up
2018-02-08,1.17,-0.14,-1.3,pos_then_down,positive,down
2018-05-07,0.15,1.33,1.19,pos_then_up,positive,up
2018-08-02,3.62,2.12,-1.44,pos_then_down,positive,down
2018-11-02,0.42,1.35,0.92,pos_then_up,positive,up
2019-02-07,-0.5,3.1,3.62,neg_then_up,negative,up
2019-05-01,-0.13,1.78,1.91,neg_then_up,negative,up
2019-07-31,0.35,0.42,0.07,pos_then_up,positive,up
2019-10-31,0.24,1.12,0.88,pos_then_up,positive,up
2020-02-06,0.06,0.65,0.59,pos_then_up,positive,up
2020-04-30,-2.32,2.83,5.28,neg_then_up,negative,up
2020-07-30,-0.1,-0.7,-0.6,neg_then_down,negative,down
2020-10-29,-0.09,-2.02,-1.94,neg_then_down,negative,down
2021-02-09,-0.07,-1.25,-1.18,neg_then_down,negative,down
2021-04-29,-0.19,4.32,4.52,neg_then_up,negative,up
2021-08-03,0.03,-0.82,-0.85,pos_then_down,positive,down
2021-10-28,-0.62,-2.51,-1.91,neg_then_down,negative,down
2022-02-08,-0.07,1.55,1.61,neg_then_up,negative,up
2022-04-28,-0.35,-6.13,-5.81,neg_then_down,negative,down
2022-07-28,-0.18,1.13,1.31,neg_then_up,negative,up
2022-10-27,-0.87,4.08,4.99,neg_then_up,negative,up
2023-02-09,-0.23,2.4,2.63,neg_then_up,negative,up
2023-04-27,-0.8,2.56,3.39,neg_then_up,negative,up
2023-07-27,-0.04,-1.48,-1.44,neg_then_down,negative,down
2023-10-26,-0.22,-0.07,0.15,neg_then_up,negative,up
2024-02-06,0.63,1.24,0.61,pos_then_up,positive,up
2024-04-25,-0.43,-2.32,-1.9,neg_then_down,negative,down
2024-07-25,1.07,1.98,0.9,pos_then_up,positive,up
2024-10-31,-0.27,-0.96,-0.69,neg_then_down,negative,down
2025-02-04,2.99,0.11,-2.8,pos_then_down,positive,down
2025-04-24,-1.7,-1.59,0.11,neg_then_up,negative,up
2025-07-31,-0.16,-0.33,-0.16,neg_then_down,negative,down
2025-10-30,-1.4,-1.23,0.17,neg_then_up,negative,up
