date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2011-11-21,5.93,0.04,-5.56,pos_then_down,positive,down
2012-02-28,-0.3,-3.2,-2.91,neg_then_down,negative,down
2012-08-02,0.34,1.95,1.61,pos_then_up,positive,up
2012-11-01,0.79,0.91,0.12,pos_then_up,positive,up
2013-02-07,0.37,0.67,0.3,pos_then_up,positive,up
2013-04-30,-0.5,-0.9,-0.4,neg_then_down,negative,down
2013-07-30,-0.35,-2.39,-2.04,neg_then_down,negative,down
2013-10-29,-0.15,2.92,3.08,neg_then_up,negative,up
2014-02-04,0.11,-2.07,-2.18,pos_then_down,positive,down
2014-04-29,1.95,3.16,1.18,pos_then_up,positive,up
2014-07-29,0.73,-2.07,-2.78,pos_then_down,positive,down
2014-10-28,0.19,-2.11,-2.3,pos_then_down,positive,down
2015-02-05,0.03,0.95,0.92,pos_then_up,positive,up
2015-04-30,0.73,0.32,-0.4,pos_then_down,positive,down
2015-07-13,-0.06,1.19,1.25,neg_then_up,negative,up
2015-10-29,0.47,0.19,-0.27,pos_then_down,positive,down
2016-02-04,-0.05,-1.13,-1.08,neg_then_down,negative,down
2016-05-03,-0.29,-1.5,-1.22,neg_then_down,negative,down
2016-08-02,-0.02,-0.39,-0.37,neg_then_down,negative,down
2016-11-01,0.81,-0.49,-1.28,pos_then_down,positive,down
2017-02-02,1.17,0.92,-0.24,pos_then_down,positive,down
2017-05-02,-0.14,-0.89,-0.75,neg_then_down,negative,down
2017-08-01,0.27,1.05,0.77,pos_then_up,positive,up
2017-10-31,1.01,-0.3,-1.3,pos_then_down,positive,down
2018-02-01,0.15,1.1,0.95,pos_then_up,positive,up
2018-05-01,-0.61,-2.12,-1.52,neg_then_down,negative,down
2018-07-31,-0.09,-2.14,-2.05,neg_then_down,negative,down
2018-10-30,0.82,1.02,0.2,pos_then_up,positive,up
2019-01-31,0.51,-1.56,-2.05,pos_then_down,positive,down
2019-05-02,0.93,3.46,2.5,pos_then_up,positive,up
2019-08-01,-1.26,-1.62,-0.37,neg_then_down,negative,down
2019-10-31,1.03,3.17,2.12,pos_then_up,positive,up
2020-02-06,0.29,1.3,1.01,pos_then_up,positive,up
2020-05-05,0.14,-3.06,-3.19,pos_then_down,positive,down
2020-07-14,1.35,2.25,0.89,pos_then_up,positive,up
2020-10-29,0.21,0.32,0.11,pos_then_up,positive,up
2021-02-04,-0.24,1.05,1.29,neg_then_up,negative,up
2021-05-04,1.03,1.22,0.19,pos_then_up,positive,up
2021-08-03,-0.7,-0.99,-0.29,neg_then_down,negative,down
2021-11-02,-0.56,-2.66,-2.11,neg_then_down,negative,down
2022-02-03,-0.71,-1.24,-0.54,neg_then_down,negative,down
2022-05-04,-1.15,-4.45,-3.34,neg_then_down,negative,down
2022-08-02,1.29,2.03,0.73,pos_then_up,positive,up
2022-11-01,0.06,-1.2,-1.26,pos_then_down,positive,down
2023-02-07,-0.8,-1.42,-0.63,neg_then_down,negative,down
2023-05-04,1.57,2.48,0.9,pos_then_up,positive,up
2023-08-02,-0.49,-3.28,-2.81,neg_then_down,negative,down
2023-10-31,-0.28,1.0,1.29,neg_then_up,negative,up
2024-02-06,0.93,3.17,2.22,pos_then_up,positive,up
2024-05-02,1.11,0.9,-0.21,pos_then_down,positive,down
2024-07-30,1.05,0.02,-1.02,pos_then_down,positive,down
2024-10-31,-0.28,-1.91,-1.63,neg_then_down,negative,down
2025-01-30,-1.35,1.85,3.25,neg_then_up,negative,up
2025-04-29,-0.47,1.64,2.13,neg_then_up,negative,up
2025-07-31,-0.64,-1.69,-1.05,neg_then_down,negative,down
2025-10-28,1.02,1.63,0.61,pos_then_up,positive,up
