date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2016-03-09,2.91,-8.72,-6.07,pos_then_down,positive,down
2016-08-03,15.8,-6.37,8.43,pos_then_down,positive,down
2016-11-01,3.43,2.88,6.41,pos_then_up,positive,up
2017-02-22,10.84,2.88,14.03,pos_then_up,positive,up
2017-05-03,5.2,3.48,8.86,pos_then_up,positive,up
2017-08-02,-4.01,-0.71,-4.69,neg_then_down,negative,down
2017-11-08,-0.71,4.14,3.41,neg_then_up,negative,up
2018-02-27,-0.02,0.33,0.3,neg_then_up,negative,up
2018-05-02,-4.03,5.37,1.13,neg_then_up,negative,up
2018-08-01,-2.41,11.34,8.66,neg_then_up,negative,up
2018-11-07,-3.94,-5.29,-9.02,neg_then_down,negative,down
2019-02-27,-4.29,7.01,2.42,neg_then_up,negative,up
2019-05-01,-5.19,-2.95,-7.99,neg_then_down,negative,down
2019-08-01,-12.57,-1.69,-14.05,neg_then_down,negative,down
2019-11-06,0.93,4.04,5.0,pos_then_up,positive,up
2020-02-26,6.27,-2.56,3.55,pos_then_down,positive,down
2020-05-06,2.58,6.81,9.57,pos_then_up,positive,up
2020-08-05,2.19,2.83,5.08,pos_then_up,positive,up
2020-11-05,5.71,6.93,13.04,pos_then_up,positive,up
2021-02-23,-5.25,-2.38,-7.51,neg_then_down,negative,down
2021-05-06,7.2,-2.81,4.19,pos_then_down,positive,down
2021-08-02,-0.72,-0.35,-1.06,neg_then_down,negative,down
2021-11-04,0.07,-4.14,-4.07,pos_then_down,positive,down
2022-02-24,20.96,4.28,26.14,pos_then_up,positive,up
2022-05-05,3.27,-2.51,0.67,pos_then_down,positive,down
2022-08-04,-6.74,4.88,-2.2,neg_then_up,negative,up
2022-11-03,11.95,-0.4,11.5,pos_then_down,positive,down
2023-02-23,4.48,-0.14,4.33,pos_then_down,positive,down
2023-05-04,0.35,-2.29,-1.95,pos_then_down,positive,down
2023-08-03,-7.98,-6.15,-13.64,neg_then_down,negative,down
2023-11-02,15.51,-4.17,10.69,pos_then_down,positive,down
2024-02-22,17.44,-1.12,16.13,pos_then_down,positive,down
2024-05-02,8.81,-9.18,-1.18,pos_then_down,positive,down
2024-08-01,-2.42,3.3,0.8,neg_then_up,negative,up
2024-11-07,-4.49,3.71,-0.94,neg_then_up,negative,up
2025-02-20,-9.72,-8.83,-17.69,neg_then_down,negative,down
2025-05-01,-22.49,2.66,-20.43,neg_then_up,negative,up
2025-08-07,6.86,-10.64,-4.5,pos_then_down,positive,down
2025-11-06,-13.49,6.67,-7.73,neg_then_up,negative,up
