date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2018-06-06,17.46,23.3,4.97,pos_then_up,positive,up
2018-09-05,-4.67,-4.99,-0.33,neg_then_down,negative,down
2018-12-04,2.93,15.51,12.22,pos_then_up,positive,up
2019-02-28,15.72,21.92,5.36,pos_then_up,positive,up
2019-05-30,-1.38,-5.97,-4.65,neg_then_down,negative,down
2019-12-03,-7.69,-5.59,2.28,neg_then_up,negative,up
2020-02-20,-12.99,-16.37,-3.89,neg_then_down,negative,down
2020-05-28,14.88,29.41,12.64,pos_then_up,positive,up
2020-09-09,4.33,-1.18,-5.28,pos_then_down,positive,down
2020-12-02,11.35,26.45,13.56,pos_then_up,positive,up
2021-02-25,8.84,4.72,-3.79,pos_then_down,positive,down
2021-05-25,12.89,12.42,-0.41,pos_then_down,positive,down
2021-09-09,3.14,-3.42,-6.36,pos_then_down,positive,down
2021-11-30,6.94,-8.29,-14.24,pos_then_down,positive,down
2022-02-24,-14.77,-15.77,-1.18,neg_then_down,negative,down
2022-05-26,10.08,12.57,2.26,pos_then_up,positive,up
2022-09-08,13.42,21.88,7.46,pos_then_up,positive,up
2022-12-01,-11.91,-10.73,1.34,neg_then_up,negative,up
2023-03-02,-10.91,-11.1,-0.22,neg_then_down,negative,down
2023-05-08,0.81,1.97,1.15,pos_then_up,positive,up
2023-09-05,-2.2,-2.7,-0.51,neg_then_down,negative,down
2023-11-27,-4.25,1.01,5.5,neg_then_up,negative,up
2024-02-29,-6.19,-9.4,-3.42,neg_then_down,negative,down
2024-05-30,16.82,8.5,-7.13,pos_then_down,positive,down
2024-09-03,-17.83,-18.67,-1.01,neg_then_down,negative,down
2024-12-02,-6.05,-4.73,1.4,neg_then_up,negative,up
2025-03-05,2.17,2.91,0.72,pos_then_up,positive,up
2025-05-29,4.67,9.79,4.9,pos_then_up,positive,up
2025-09-02,-0.75,-1.45,-0.7,neg_then_down,negative,down
